MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nMerci de vous entraîner avec moi, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nマデリーン\nMaintenant, si vous permettez,\nle devoir m'appelle.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Si vous cherchez une partenaire d'entraînement,\nn'hésitez pas à faire à nouveau appel à moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nUne frappe éclair et c'en sera fini de\ncette infamie ! Le temps de m'approcher\nun peu... Argh !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nMadeline, vous brandissez votre arme !\nQue se passe-t-il ?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	Oh, regardez la petite coccinelle,\ntoute mignonne !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nToute mignonne ? Cette créature tente\nune incursion sur le territoire de Somniel !\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Il me faut l'éliminer, ou elle entraînera\nnotre destruction à tous !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nOh... Vous avez peur des insectes.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nマデリーン\nJe n'ai jamais dit une chose pareille ! La peur\nne pénètre pas le cœur d'un chevalier, aussi\nredoutable soit l'adversaire qui lui fait face !\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Mais en effet. Je souffre d'une certaine...\naversion pour les insectes.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas grave. Nous avons tous des\ncraintes comme celle-ci. Alors je vous en\nprie, rangez votre arme.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Cet insecte ne vous fera aucun mal.\nJe vous en fais la promesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nマデリーン\nComment pouvez-vous en être aussi sûr\x0E\x0A\x00\x06
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nVoyez par vous-même.\nAllez, ouste !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nマデリーン\nArgh ! La bête se met en mouvement !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nDu calme. Regardez, elle s'est envolée.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nマデリーン\nVous l'avez laissée s'échapper...\nEt si elle se livrait au pillage et au meurtre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nJ'en doute. Par ailleurs, je préfère régler\nles problèmes par la voie diplomatique.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nマデリーン\nHmm... Ça se défend. Merci de vous être\nchargé\x0E\x0A\x00\x06
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie. Pour être franc\x0E\x0A\x00\x08
MID_RELIANCE_B_#019	Vous si courageuse sur le champ de bataille...\nQui aurait cru qu'un insecte puisse vous faire\nainsi sautiller de frayeur ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nSautiller ? Un chevalier ne sautille jamais !\nJ'exige que vous fassiez disparaître ce sourire\nnarquois immédiatement !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nPeut-être est-il temps de nous octroyer\nune pause, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nBonne idée. Merci de vous entraîner à nouveau\navec moi, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nTout le plaisir est pour moi. Je ne refuse jamais\nune occasion de faire un peu d'exercice.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nQuelque chose ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nNon... Au contraire, je méditais sur la joie que\nme procure le fait d'être dans ce monde.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Je mentirais en prétendant ne pas nourrir\nle moindre doute, ni sentir parfois une once\nde regret...\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Mais quand je suis là, avec vous, j'ai\nl'impression de devenir enfin le chevalier\nque j'étais destinée à être.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nJe suis heureu\x0E\x0A\x00\x0A\x02x\x04se d'entendre cela.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Toutefois... Je suis navré\x0E\x0A\x00\x06
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nInutile de vous excuser. Depuis que je suis\narrivée ici, j'ai accumulé beaucoup d'expérience,\nde sorte que désormais...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	AAH !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nUn insecte ! Soyez sans crainte, Madeline,\nj'en fais mon affaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nマデリーン\nNon... Laissez-moi m'en charger.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Je peux le faire, oui, je peux le... Hmm...\nAllez, ouste ! Ouste !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nBravo ! Vous vous en êtes tirée à merveille.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nマデリーン\nOuf... J'ai eu peur... tellement peur...\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Mais la frayeur était moindre que la dernière\nfois, ce qui constitue un progrès tangible.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Je suis heureuse d'être là et d'apprendre à\nsurmonter mes faiblesses, aux côtés d'alliés\nqui m'inspirent autant d'estime que d'amitié.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Si je n'étais pas venue dans ce monde,\nje n'aurais jamais acquis cette maturité.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Voilà les paroles que je voulais vous adresser.\nEn un mot : merci, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nMerci à vous d'être un grand chevalier.\nEt une si bonne partenaire d'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nマデリーン\nHa ha ! Oui ! Je m'évertue à exceller\nsur les deux tableaux.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nC'est ce que je constate.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nMadeline, vous veillez tard.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nマデリーン\nBonsoir, Votre Divinité. Oui, je... J'étais en\nproie à une légère insomnie.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nJ'en suis navré\x0E\x0A\x00\x06
MID_RELIANCE_S_#004	Je ne veux pas être indiscr\x0E\x0A\x00\x0E\x04et\x06ète, c'est seulement\nque lorsque j'ai quelque chose sur le cœur,\ncela me soulage d'en parler.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nマデリーン\nOui, vous avez raison.\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Il se trouve que... je n'arrive pas à me sortir\nMauvier de l'esprit. Celui de mon monde,\nj'entends.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nAh... Je vois.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nマデリーン\nNon que je regrette d'être venue ici. Ce n'est\npas le cas. Mais je ne peux m'empêcher\nde songer que je n'ai pas été à la hauteur.\x0E\x04\x02\x00
MID_RELIANCE_S_#009	Si seulement j'avais vu le bâton de Téléport\nplus tôt... Si seulement j'avais été plus forte.\x0E\x04\x02\x00
MID_RELIANCE_S_#010	À l'heure qu'il est, il serait peut-être encore\nen vie, il serait peut-être encore parmi nous.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	Voilà les pensées qui m'assaillent quand\nla nuit tombe, et qui me privent de sommeil.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nMadeline...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nマデリーン\nJe suis désolée, ne faites pas attention. Je sais\nbien que ressasser ainsi les choses ne mène\nà rien.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nSans doute, mais je vous comprends. J'ai moi\naussi des regrets au sujet de ce qui est arrivé\nà ma mère.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Plus j'essaie de chasser ces pensées,\nplus elles reviennent à la charge pour me hanter.\x0E\x04\x02\x00
MID_RELIANCE_S_#016	Mais je fais avec. Si le remords revient vous\nronger, venez donc en parler avec moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nマデリーン\nVous êtes bien généreu\x0E\x0A\x00\x0A\x02x\x04se, mais ce n'est pas\naussi simple qu'une séance d'entraînement.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Vous êtes le Dragon divin, et je ne suis qu'un\nmodeste chevalier. Je ne saurais vous ennuyer\navec mes problèmes personnels.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nLes choses seraient peut-être différentes\nsi vous n'étiez plus un simple chevalier...\nmais mon chevalier.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nマデリーン\nComment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nPardon. Cela peut vous sembler soudain,\nmais il y a longtemps que j'y songe.\x0E\x04\x02\x00
MID_RELIANCE_S_#022	L'effort vous galvanise, votre cœur déborde de\nbravoure, vous honorez toujours votre devoir...\nQui serait plus apte à être mon bras droit ?\x0E\x04\x02\x00
MID_RELIANCE_S_#023	De plus, cela me permettrait de vous aider\nà mon tour. Je vous en prie... Acceptez ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nマデリーン\nL'Anneau du Pacte ! Votre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nJe sais que Mauvier occupera toujours une place\nparticulière dans votre cœur. Et loin de moi\nl'idée de l'en déloger.\x0E\x04\x02\x00
MID_RELIANCE_S_#026	Je n'exigerai jamais que vous vous départissiez\nd'une loyauté aussi profonde que celle que\nvous lui vouez.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Si je vous donne cet anneau, c'est pour vous\nmontrer que vous comptez autant à mes yeux\nqu'il ne compte aux vôtres.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nマデリーン\nOh...\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Je ne trouve pas les mots pour exprimer\nne serait-ce qu'une part du bonheur\nque vous me procurez.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Mais... Puis-je vraiment accepter ?\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nVous seule connaissez la réponse\nà cette question.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0C\nマデリーン\n... C'est vrai...\x0E\x04\x02\x00
MID_RELIANCE_S_#033	Mauvier a dit qu'il voulait que je sois heureuse.\x0E\x04\x02\x00
MID_RELIANCE_S_#034	S'il me regarde en ce moment, je suis sûre qu'il\nsouscrit à ma décision, quelle qu'elle soit.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	Alors voilà ma réponse, Votre Divinité.\x0E\x04\x02\x00
MID_RELIANCE_S_#036	Oui, j'accepte cet anneau, et je me mets à votre\nservice en tant que chevalier !\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nMerci, Madeline. Ensemble, nous n'avons\nrien à craindre de l'avenir.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0C\nマデリーン\nEn effet. Et je fais le serment de me montrer\ndigne de l'honneur que vous me faites.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nマデリーン\nDe devenir toujours plus forte, afin de\nmieux vous protéger et de nous assurer\nune existence longue et heureuse.\x0E\x04\x00\x00
