MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06フラン\nLapis ! Hé, Lapis ! On raconte que tu as tué\nun ours ! C'est vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nUn nounou ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nUN OUUUUUURS !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x04\x03\x04
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nOù... Où suis-je ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nFramme ? Oh... Contente de te revoir parmi\nnous. Tu as vu l'ours et tu t'es évanouie.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06フラン\nAh ! L'ours ! Ça me revient. Où est-il ?\nSommes-nous en sécurité ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ラピス\nTout va bien. J'ai réussi à l'effrayer, il est parti.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nOh non, c'est ce que je voulais faire !\nJe suis désolée, Lapis ! J'ai été tellement\nsurprise que...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ラピス\nN'en parlons plus. Ça suffit pour cette fois,\nrentrons. Nous avons toutes les deux besoin\nd'un peu de repos.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06フラン\nJe dois faire plus d'efforts...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nHYAAA !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nPfiou. Et voilà le travail.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nC'était incroyable...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nFramme ! Que fais-tu ici ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nJe t'ai vue filer seule en douce vers la forêt,\net je t'ai suivie discrètement.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nEt puis tu as éliminé cet énorme ours\nsans aide...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nHm...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nTu es partie sans moi ? C'est parce que\nje suis trop empotée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nOh, Framme, je suis navrée. Cet ours était trop\ndangereux. Je ne voulais pas qu'il t'arrive\nmalheur.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nOuais, je comprends...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nNon, vraiment, Framme. Et si tu veux mon avis,\ntu viens de faire du bon travail.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\nFaire quoi ? Rien du tout ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nTu es restée parfaitement silencieuse et\nimmobile pendant que j'affrontais cet ours,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nEuh, oui, mais ce n'est pas...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nAlors tu as fait mieux que la dernière fois.\nEt la prochaine fois, tu feras encore mieux !\nC'est comme ça qu'on grandit.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nOh, Lapis !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nAllons, ne pleure pas ! Viens, allons préparer\nquelque chose à manger.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nÀ manger ? Mais on n'a pas emporté\nde nourriture...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x04\x03\x04
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nEt voilà ! Une soupe d'ours bien chaude.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nOuah, ça a l'air si appétissant !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nMmm. Et ça sent très bon ! Ça me ravive des\nsouvenirs... on en mangeait beaucoup, chez moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nTu ne veux pas qu'on sache que tu viens\nde la campagne, mais cette vie t'a beaucoup\nplu, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nHé hé, tu as raison. J'ai énormément\nde bons souvenirs...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nAllez, mangeons. Mais attention, c'est\ntrès chaud.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06フラン\nOUAAAH ! C'EST CHAUUUUD !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nAaaaah, je me suis brûlé la langue...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\nOh non. J'ai essayé de te mettre en garde !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06フラン\nIl faut dire que ça sent tellement bon...\x0E\x04\x00\x00
