MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x10\nヴェロニカ\x023\n\x0E\x03\x02\x0A\x08リュール\nUne autre île suspendue dans les cieux ?\nC'est incroyable.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nHm... Une dalle isolée ne produit aucun\nrésultat, mais il me vient une idée : et si\nnous les utilisions en même temps ?\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Divinité, nous devrions tenter de poser\négalement le pied sur la dalle qui se trouve\nde l'autre côté.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1E\nヴァンドレ\x10Surprise\n\x0E\x03\x02\x0C\nヴァンドレ\nQu'arrive-t-il ?! Les îles sont prises\nde secousses !\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nEh bien, il semblerait que nous nous soyons\nménagé un chemin... Nous allons pouvoir en\ndécoudre directement avec l'Emblème Veronica.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴェロニカ\x02b\n\x0E\x05\x01\x18\nヴェロニカ\nRelax\n\x0E\x03\x02\x0C\nヴェロニカ\nVous avez dépassé mes attentes,\nje vous en félicite.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nSi nous parvenons à vous vaincre, faites-vous\nla promesse de vous joindre à nous ?\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x05\x01\x14\nヴェロニカ\x06Sad\n\x0E\x03\x02\x0C\nヴェロニカ\nVous avez bien peu à y gagner.\x0E\x04\x02\x00
MID_BT1_#004	\x0E\x05\x01\x1C\nヴェロニカ\x0EStandBy\nAlors que moi, je pourrai m'arroger\nles services d'un\x0E\x0A\x00D\x1C nouveau héros$e nouvelle héroïne.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴェロニカ\x02b\n\x0E\x05\x01\x1A\nヴェロニカ\x0CNormal\n\x0E\x03\x02\x0C\nヴェロニカ\nFerais-tu partie des Gardiens d'Askr ? Non,\ntu sembles un peu trop... petite pour cela.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x16\x06アンナ\x0CNormal\n\x0E\x03\x02\x08\x06アンナ\nLes Gardiens d'Askr ? Ça me dit rien, non...\nMais ça sonne bien ! Vous me confondez\npeut-être avec ma sœur !\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x03\x02\x08\x06アンナ\nJe pense que mes sœurs doivent aussi exister\ndans votre monde. Oh, je serais curieuse de\nsavoir ce qu'elles vendent à leurs clients !\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\nヴェロニカ\x06Sad\n\x0E\x03\x02\x0C\nヴェロニカ\nTu es tout à fait... surprenante, tu dois avoir des\nhistoires de famille insolites à raconter.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nPourquoi ? Pourquoi suis-je condamnée à\nsubir défaite après défaite ? C'est injuste...\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nLes vainqueurs prennent le commandement\ndes vaincus, vous l'avez dit vous-même.\nAllez-vous bel et bien rejoindre nos rangs ?\x0E\x04\x02\x00
MID_ED1_#003	Nous combattons au nom de la paix.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0C\nヴェロニカ\nLa cause que vous défendez ne m'importe\naucunement.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nVous étiez la princesse d'un empire,\nil vous est certainement arrivé d'avoir\nà vous battre pour vos sujets.\x0E\x04\x02\x00
MID_ED1_#006	C'est ce que nous nous efforçons\nd'accomplir ici, et je sais que vous\nn'êtes pas indifférente à cela.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0C\nヴェロニカ\nIl est vrai que le devoir d'un souverain est\nenvers ses sujets, et j'ai déjà dû faire face\nà de telles responsabilités par le passé...\x0E\x04\x02\x00
MID_ED1_#008	Mais malgré mes efforts acharnés, je n'ai\njamais pu triompher au nom d'Embla.\x0E\x04\x02\x00
MID_ED1_#009	Vous possédez de nombreux alliés, ainsi\nque le pouvoir d'invoquer les Emblèmes...\x0E\x04\x02\x00
MID_ED1_#010	N'est-ce pas suffisant à vos yeux ?\nVous possédez déjà tous les atouts\ndont vous pourriez rêver.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nToute aide est néanmoins la bienvenue, et je\nme sentirais personnellement rassuré\x0E\x0A\x00\x06
MID_ED1_#012	\x0E\x03\x02\x0C\nヴェロニカ\nJe n'ai rien à vous offrir.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nC'est faux, vous êtes une commandante\nredoutable et fort capable, vous feriez\npour nous une alliée de poids.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0C\nヴェロニカ\nVous avez décidément le don de proférer\ndes inanités.\x0E\x04\x02\x00
MID_ED1_#015	Je n'ai jamais recherché l'amitié d'autrui, mais\npeut-être est-ce préférable à la solitude ?\x0E\x04\x02\x00
MID_ED1_#016	Soit, j'accepte de vous prêter assistance,\nne serait-ce qu'un temps.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nJe vous en remercie, Emblème Veronica.\x0E\x04\x02\x00
MID_ED1_#018	Rentrons, vos nouveaux alliés seront\nheureux de faire votre connaissance.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0C\nヴェロニカ\nHm... Cela reste à déterminer.\x0E\x04\x02\x00
MID_ED1_#020	Voilà bien longtemps que je n'ai pas paru en\nsociété, ce n'est plus dans mes habitudes.\x0E\x04\x02\x00
MID_ED1_#021	Pourtant... cette perspective ne m'est point\ndésagréable. Je ferai donc connaissance\navec vos alliés.\x0E\x04\x00\x00
