MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nMaintenant que l'Emblème Corrin a rejoint nos\nrangs, tous les anneaux ont été retrouvés.\x0E\x04\x02\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nSi les choses tournent mal, ils risquent de nous\ndérober d'autres anneaux. Et j'avoue que cela\nm'inquiète sincèrement.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08アイビー\nNous n'aurions alors plus aucun espoir\nde renverser le Dragon déchu.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nD'un autre côté, plus nous attendons et plus\nil est probable qu'ils nous attaquent.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nIl vaut mieux frapper les premiers. Mieux vaut\ntendre une embuscade qu'en être victimes.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMais nous ne sommes pas encore prêts à\nlancer l'offensive.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x02\x0C\nヴァンドレ\nVeuillez me pardonner mon interruption.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nVander. Qu'y a-t-il ?\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0C\nヴァンドレ\nDes nouvelles du port de Solm. Des navires de\nguerre ont été repérés à l'horizon.\x0E\x04\x02\x00
MID_OP1_#023	À en juger par leurs armoiries, ce sont des\nvaisseaux elusiens.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nIls s'en prennent à nouveau au royaume\nde Solm ?\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x0C\nヴァンドレ\nNon. En fait... la flotte vogue vers Firene.\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMon royaume...\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x0A\x08リュール\nAllons voir cela de plus près.\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x0C\nミスティラ\nRejoignons la côte azurine. Elle se trouve près\nde la frontière firénienne et offre une vue\nimprenable sur la mer.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06マロン\nLa la la ! Quelle mer d'huile ! À ce rythme,\nnous serons les premiers arrivés en Firene.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x08\x06モーヴ\nOn dirait bien.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06マロン\nJe me demande pourquoi Zephia nous a dit d'y\naller. Nos ordres consistent bien à massacrer\ntout ce qui bouge, n'est-ce pas ?\x0E\x04\x02\x00
MID_OP2_#004	Avec notre avance, imaginez un peu toutes les\nvictimes que nous allons engranger. Nous\nallons devenir des héros !\x0E\x04\x02\x00
MID_OP2_#005	À croire que Zephia a un petit faible pour\nnous. Qu'est-ce que t'en penses, Mauvier ?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06モーヴ\nJe ne m'en soucie guère. J'ai des ordres, et je\ncompte bien les suivre à la lettre.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x08\x06マロン\nGrrr. Voilà pourquoi je te déteste. Tu ne me\nfélicites jamais, et tu es vraiment un rabat-joie !\x0E\x04\x02\x00
MID_OP2_#008	Dire que je n'appréciais guère Griss ! Mais lui,\nau moins, ce n'est pas l'homme le plus\nennuyeux de tout l'univers...\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x00("M016_イルシオン兵_パラディン\x023\n\x0E\x03\x02$"M016_イルシオン兵_パラディン\nDame Marni. Messire Mauvier.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x08\x06マロン\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02$"M016_イルシオン兵_パラディン\nDeux soldats ont déserté la flotte.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x08\x06モーヴ\nHm. Peut-être avaient-ils des réserves quant à\nla stratégie actuelle.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x08\x06マロン\nQu'importe. Laissons-les. Nous les retrouverons\ntôt ou tard et les punirons comme il se doit.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02$"M016_イルシオン兵_パラディン\nEuh, par contre... ils ont volé un Anneau\nd'Emblème.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06マロン\nQuoi ?!\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x08\x06モーヴ\nExplique-toi !\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02$"M016_イルシオン兵_パラディン\nPour éviter le pire, nous avions placé chacun\ndes anneaux sur un navire différent de la flotte.\x0E\x04\x02\x00
MID_OP2_#019	Ces soldats ont attaqué le garde et dérobé\nl'Anneau des Jumeaux Célestes.\x0E\x04\x02\x00
MID_OP2_#020	Les navires de guerre sont déjà à leurs trousses.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x08\x06モーヴ\nNous allons nous aussi les prendre en chasse.\nIl faut récupérer l'anneau coûte que coûte.\x0E\x04\x02\x00
MID_OP2_#022	Qui sont donc ces soldats ?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02$"M016_イルシオン兵_パラディン\nRosado et Goldmary.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x08\x06マロン\nLes vassaux de la princesse Hortensia ?\nMoi qui pensais justement qu'ils avaient\nenfin appris à se tenir.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x08\x06モーヴ\nJ'imagine qu'ils voulaient noyer le poisson.\nSait-on dans quelle direction ils sont partis ?\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02$"M016_イルシオン兵_パラディン\nIls font route vers Solm à dos de wyverne.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x08\x06マロン\nTrès bien, faites demi-tour ! Direction la côte\nde Solm !\x0E\x04\x02\x00
MID_OP2_#028	Grrr. Et dire que nous étions en avance.\nCes deux-là vont avoir de gros ennuis.\x0E\x04\x02\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nNous voilà en Solm. Je pense pouvoir affirmer\nsans crainte que nous les avons semés.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors, que dirais-tu de faire une petite pause ?\nJe parie que ta wyverne aurait bien besoin de\nse dégourdir un peu les ailes.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0A\x08ロサード\nBonne idée. Soufflons un instant, puis\npartons à la recherche d'Hortensia.\x0E\x04\x02\x00
MID_OP3_#004	Nous devons lui livrer l'Anneau des Jumeaux\nCélestes en main propre.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEntièrement d'accord.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00.(M016_イルシオン兵_ランスファイター\x021\n\x0E\x03\x02*(M016_イルシオン兵_ランスファイター\nAh ah ! Les voilà !\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00,&M016_イルシオン兵_ソードペガサス\x023\n\x0E\x03\x02(&M016_イルシオン兵_ソードペガサス\nAttrapons-les !\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x01*(M016_イルシオン兵_ランスファイター\n\x0E\x03\x01(&M016_イルシオン兵_ソードペガサス\n\x0E\x03\x00\x12\x0Cゴルドマリー\x024\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuelques minutes de repos, c'était vraiment\ntrop demander ?\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0A\x08ロサード\nFuyons, Goldmary !\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nC'est effectivement une flotte elusienne. Et elle\nsemble se diriger vers Firene.\x0E\x04\x02\x00
MID_OP5_#002	\x0E\x05\x01\x18\x08リュール\x0CStrike\nNous devons y être avant elle.\x0E\x04\x00\x00
MID_OP5_#003	\x0E\x03\x00\x10\nミスティラ\x02b\n\x0E\x05\x01\x18\nミスティラ\nAngry\n\x0E\x03\x02\x0C\nミスティラ\nCe serait bien, mais regardez. Il y a des soldats\nelusiens sur la plage.\x0E\x04\x02\x00
MID_OP5_#004	Ils veulent encore nous attaquer ? Je vais\nleur montrer comment Solm accueille l'ennemi...\x0E\x04\x00\x00
MID_OP5_#005	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nIls ne sont pas assez nombreux pour une\ninvasion. On dirait plutôt une équipe de\nrecherche.\x0E\x04\x00\x00
MID_OP5_#006	\x0E\x05\x01\x1E\nミスティラ\x10Surprise\n\x0E\x03\x02\x0C\nミスティラ\nVotre Divinité ! Une wyverne fonce droit\nsur nous !\x0E\x04\x00\x00
MID_OP5_#007	\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nIls ont dû nous repérer.\nSoyez sur vos gardes !\x0E\x04\x00\x00
MID_OP5_#008	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x12\x0Cオルテンシア\x02b\n\x0E\x05\x01 \x0Cオルテンシア\x10Surprise\n\x0E\x03\x02\x0E\x0Cオルテンシア\nUne petite minute... Rosado ? Goldmary ?\x0E\x04\x00\x00
MID_OP5_#009	\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x02\x0A\x08ロサード\nHortensia !\x0E\x04\x00\x00
MID_OP6_#002	\x0E\x03\x01\x0A\x08ロサード\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nTout va bien ? J'étais si inquiète...\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPas autant que moi ! Oh, je suis si contente\nque vous soyez tous les deux en vie !\x0E\x04\x00\x00
MID_OP6_#004	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nQuel soulagement de vous voir à nouveau\nréunis, vos vassaux et vous !\x0E\x04\x00\x00
MID_OP6_#005	\x0E\x03\x01\x0E\x0Cゴルドマリー\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x02\x0A\x08ロサード\nAttention ! C'est le Dragon divin !\x0E\x04\x00\x00
MID_OP6_#006	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nTout doux, Rosado !\x0E\x04\x02\x00
MID_OP6_#007	Je suis dans le camp du Dragon divin,\ndésormais. Et ma sœur aussi.\x0E\x04\x00\x00
MID_OP6_#008	\x0E\x03\x01\x0A\x08ロサード\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nLa princesse Ivy aussi ?\x0E\x04\x00\x00
MID_OP6_#009	\x0E\x03\x01\x0E\x0Cゴルドマリー\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x02\x0A\x08ロサード\nPsst ! Si tu es retenue contre ton gré,\ncligne des yeux trois fois.\x0E\x04\x00\x00
MID_OP6_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nCe n'est pas ce que tu crois. J'ai rejoint son\narmée parce que j'en avais décidé ainsi.\x0E\x04\x02\x00
MID_OP6_#011	J'ai fait ce choix pour le bien d'Elusia.\nEt vous, mes vassaux et amis, vous\njoindrez-vous à moi ?\x0E\x04\x00\x00
MID_OP6_#012	\x0E\x03\x02\x0A\x08ロサード\nTrès bien. Si c'est ce que tu souhaites,\nalors moi aussi.\x0E\x04\x00\x00
MID_OP6_#013	\x0E\x03\x01\x0A\x08ロサード\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuelle que soit ta bannière, je m'y rangerai\net combattrai de toutes mes forces.\x0E\x04\x00\x00
MID_OP6_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nFormidable. Je savais que je pouvais compter\nsur vous deux.\x0E\x04\x00\x00
MID_OP6_#015	\x0E\x03\x01\x0E\x0Cゴルドマリー\n\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ロサード\nHum, Votre Divinité ? Pardonnez-moi de vous\navoir menac\x0E\x0A\x00\x0A\x02é\x04ée. Tenez, c'est pour vous.\x0E\x04\x00\x00
MID_OP6_#016	\x0E\x03\x02\x0A\x08リュール\nSerait-ce... ?\x0E\x04\x00\x00
MID_OP6_#017	\x0E\x03\x02\x0A\x08ロサード\nL'Anneau des Jumeaux Célestes. Nous\nl'avons dérobé sur le navire sur lequel\nnous nous trouvions.\x0E\x04\x00\x00
MID_OP6_#018	\x0E\x03\x02\x0A\x08リュール\nMerci.\x0E\x04\x00\x00
MID_OP6_#019	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nBeau travail !\x0E\x04\x00\x00
MID_OP6_#020	\x0E\x03\x01\x0A\x08ロサード\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHi hi... J'espère que mes talents incroyables\nne vous éblouissent pas trop.\x0E\x04\x00\x00
MID_OP6_#021	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nVoilà exactement ce qu'il nous manquait.\x0E\x04\x02\x00
MID_OP6_#022	Restaurez la quiétude, Emblème du Sacré !\x0E\x04\x00\x00
MID_OP7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02t\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nMe revoilà enfin à vos côtés. Je me nomme\nEirika.\x0E\x04\x02\x00
MID_OP7_#002	\x0E\x05\x01\x1A\nエイリーク\x0CNormal\nJe brandis ma lame dans l'espoir que ce monde\nconnaisse enfin une paix durable.\x0E\x04\x00\x00
MID_OP7_#003	\x0E\x03\x00\x0E\x08リュール\x02b\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nJe sais que nous pouvons compter sur vous,\nEirika.\x0E\x04\x02\x00
MID_OP7_#004	\x0E\x05\x01\x18\x08リュール\x0CNormal\nBien, à qui vais-je confier cet anneau ?\nVous le méritez tous les deux pour l'avoir\nramené ici.\x0E\x04\x00\x00
MID_OP7_#005	\x0E\x03\x01\x0C\nエイリーク\n\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x1A\x0Cゴルドマリー\nSmile\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous devriez le donner à Rosado.\x0E\x04\x02\x00
MID_OP7_#006	Sans lui, nous n'aurions pas pu fuir. Jamais\nnous ne serions arrivés ici, après tout.\x0E\x04\x00\x00
MID_OP7_#007	\x0E\x03\x01\x0E\x0Cゴルドマリー\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x12\x08ロサード\x06Shy\n\x0E\x03\x02\x0A\x08ロサード\nTu as aussi fait ta part, Goldmary ! Enfin,\nce n'est pas le moment de se chamailler.\x0E\x04\x02\x00
MID_OP7_#008	\x0E\x05\x01\x16\x08ロサード\nAngry\nConfiez-moi l'anneau, et je vous promets\nd'honorer la charge qui m'incombe.\x0E\x04\x00\x00
MID_OP7_#009	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nAlors c'est réglé. Tenez, Rosado.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M016_マロン\x02b\n\x0E\x05\x01\x1E\x10M016_マロン\nAngry\n\x0E\x03\x02\x12\x10M016_マロン\nEnfiiin ! C'est là que ces voleurs se sont enfuis,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x16\x10M016_モーヴ\x02t\n\x0E\x05\x01\x1E\x10M016_モーヴ\nAngry\n\x0E\x03\x02\x12\x10M016_モーヴ\nC'est ce qu'on dit, oui.\nMaintenant, débusquons-les.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl y a quelques instants, la plage était au sec,\nmais là, les vagues m'arrivent aux chevilles.\x0E\x04\x02\x00
MID_EV2_#002	La marée semble monter et descendre\nen un temps record.\x0E\x04\x02\x00
MID_EV2_#003	J'aimerais autant rester sur la terre ferme, si\npossible. Argh, j'ai horreur de patauger\ndans l'eau...\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x14\x08ロサード\x08Pain\n\x0E\x03\x02\x0A\x08ロサード\nNos troupes ont plus de charme, mais on dirait\nque les leurs sont plus redoutables...\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nAngry\n\x0E\x03\x02\x0C\nエイリーク\nN'ayez crainte, Rosado. Grâce à mon pouvoir,\nvous pourrez infliger de lourds dégâts même\naux adversaires opposant une défense robuste.\x0E\x04\x02\x00
MID_EV3_#003	\x0E\x05\x01\x18\nエイリーク\nRelax\nVous pouvez également faire appel aux\ncompétences de mon frère jumeau si vous\nle souhaitez.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M016_村人おばさん\x02t\n\x0E\x05\x01*\x16M016_村人おばさん\x10Surprise\n\x0E\x03\x02\x18\x16M016_村人おばさん\nOui, j'ai vu les troupes sur la côte.\nSoyez prudents, je vous en prie. Et tenez.\nÇa vous sera peut-être utile.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M016_マロン\x02b\n\x0E\x05\x01$\x10M016_マロン\x10Surprise\n\x0E\x03\x02\x12\x10M016_マロン\nHein ? Nous étions à la poursuite de deux\nvoleurs. Que faites-vous donc ici, misérables ?\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M016_マロン\x02b\n\x0E\x05\x01\x1E\x10M016_マロン\nAngry\n\x0E\x03\x02\x12\x10M016_マロン\nAh ah ! Tu vas me le payer, traître ! Tu veux\nsavoir ce qu'encourent les voleurs ?\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M016_マロン\x02b\n\x0E\x05\x01\x1C\x10M016_マロン\x08Pain\n\x0E\x03\x02\x12\x10M016_マロン\nBien, nous sommes quittes pour aujourd'hui.\nMais la prochaine fois qu'on se rencontre,\nvous êtes tous morts. Morts et enterrés.\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M016_モーヴ\x02b\n\x0E\x05\x01\x1E\x10M016_モーヴ\nAngry\n\x0E\x03\x02\x12\x10M016_モーヴ\nHm. J'aurais dû me douter que les vassaux\nd'Hortensia tenteraient de vous rejoindre.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M016_モーヴ\x02b\n\x0E\x05\x01\x1E\x10M016_モーヴ\nAngry\n\x0E\x03\x02\x12\x10M016_モーヴ\nPas de pitié pour les mutinés.\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M016_モーヴ\x02b\n\x0E\x05\x01\x1C\x10M016_モーヴ\x08Pain\n\x0E\x03\x02\x12\x10M016_モーヴ\nJe bats en retraite, mais nous nous reverrons.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nLes soldats elusiens ont pris la fuite. Marni et\nMauvier aussi.\x0E\x04\x02\x00
MID_ED1_#002	Nous pouvons faire route vers Firene,\ndésormais.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nOui, tout de suite ! Si ces navires accostent,\nmon peuple est en danger.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x02\x08\x06セピア\nHum, rien de tel que la brise marine,\nn'est-ce pas ? Dommage que nous accostions\nbientôt en Firene.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis surprise que vous vous soyez\njointe à nous, Zephia.\x0E\x04\x02\x00
MID_ED2_#003	Vous êtes si loyale envers Papa que je n'aurais\njamais cru que vous accepteriez.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x08\x06セピア\nOh ? Eh bien, votre père est mon maître. Mais...\x0E\x04\x02\x00
MID_ED2_#005	Depuis peu, ses ordres sont\nplutôt déconcertants.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJe vois ce que vous voulez dire. Il sème la mort\net n'en semble pas affecté le moins du monde.\x0E\x04\x02\x00
MID_ED2_#007	Le même sang coule dans mes veines, bien sûr.\nC'est peut-être normal que les gens ne me\nfassent pas confiance.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x08\x06セピア\nOh, Dame Veyle, non. J'ai entendu toutes ces\nhorreurs qu'a dites le Dragon divin.\x0E\x04\x02\x00
MID_ED2_#009	Que vous auriez tué Lumera et volé les\nanneaux... Si j'étais vous, je n'en croirais\npas un mot.\x0E\x04\x02\x00
MID_ED2_#010	Après avoir découvert qui était votre père,\nle Dragon divin a sûrement dit ça pour\nvous blesser.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x0A\x08ヴェイル\nHmm... J'ai décidé de ne plus jamais faire de\nmal à qui que ce soit. Même si ça doit me\ncoûter la vie.\x0E\x04\x02\x00
MID_ED2_#012	Je ne peux donc pas retourner auprès de Papa.\nJe n'ai aucune envie de détruire le monde.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x08\x06セピア\nComme c'est adorable.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0A\x08ヴェイル\nSi vous voulez vraiment m'aider, une fois que\nnous aurons dissipé ce malentendu...\x0E\x04\x02\x00
MID_ED2_#015	... accepterez-vous de m'aider\nà trouver m\x0E\x0A\x00 \x10on frère\x0Ca sœur ?\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x08\x06セピア\nSottises ! Vous êtes l'unique enfant\ndu seigneur Sombron.\x0E\x04\x02\x00
MID_ED2_#017	Vous n'avez ni frère ni sœur.\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x0A\x08ヴェイル\nC'est faux. Nous avons déjà fait connaissance.\x0E\x04\x02\x00
MID_ED2_#019	Regardez.\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x02\x08\x06セピア\nMagnifique. On dirait une dracopierre.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x0A\x08ヴェイル\nC'en est bien une.\x0E\x04\x02\x00
MID_ED2_#022	Il y a mille ans, alors que je pleurais, un\x0E\x0A\x00\x06
