MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHyah !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nUne personne comme toi doit être protégée.\nC'est ce que je ressens depuis que nous\nsommes enfants.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nMais j'ai été stupide de croire que j'en serais\ncapable. Il ne suffit pas d'avoir des convictions.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nJe ne suis tout simplement pas assez forte pour\nte protéger.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nCe n'est pas vrai !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nJe suis désolée, Alcryst. Je suis tellement\ndésolée d'avoir été choisie pour être ta vassale.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\nSi tu n'étais pas contraint de composer avec\nmoi... Je suis sûre que tu aurais quelqu'un de\nfort à tes côtés.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nスタルーク\nCitrinne, tu as un instant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nOh, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nJ'ignore si c'est parce que nous sommes\ncousins ou quoi, mais... nous avons beaucoup\nen commun.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nComme tu le sais, j'ai... du mal... à reconnaître\nmes propres mérites. Et il me semble que ce\nmême conflit intérieur te tourmente.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\nQue veux-tu dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nTu te crois trop faible pour être ma vassale,\nmais tu te trompes complètement.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst, tu n'as pas à te sentir obligé de venir\nme réconforter.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nEn termes de force, je suis inférieure aux autres\nvassaux royaux. C'est incontestable.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nSi tu parles de force brute, peut-être.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nMais c'est pour cette raison que tu t'entraînes\nnuit et jour, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nQu'il pleuve ou qu'il neige, tu n'as pas manqué\nun seul entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nTu manques peut-être de puissance physique,\nmais tu compenses amplement par ta force\nde caractère. Ça compte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nPeut-être, mais... l'assiduité à l'entraînement\nne fait pas la valeur d'un vassal.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nEncore une fois, je ne suis pas d'accord.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nSachant à quel point tu prends ton rôle au\nsérieux, je sais que je peux te faire confiance\nles yeux fermés. Et c'est ce que je fais.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nVraiment ? Tu me fais confiance ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nAs-tu idée du soulagement que j'ai ressenti\nen apprenant que tu serais ma vassale ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nAttends. Soulagement n'est pas le bon terme.\nLaisse-moi formuler ça plus clairement.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nJe suis tellement, tellement content que tu sois\ndevenue ma vassale.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nD'accord, nous sommes cousins. D'accord,\nnous nous connaissons depuis tout petits.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nMais je me fiche des raisons pour lesquelles\ntu as été choisie.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nCe qui compte pour moi, c'est que tu aies\nvolontairement sollicité cette charge.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nJe voulais protéger mon merveilleux cousin.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nPrécisément. Je ne mérite pas cette protection,\nmais... le fait que tu penses le contraire signifie\nbeaucoup pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nC'est pour ça que je suis heureux que les\nchoses soient ainsi, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nJe suis... si heureuse de t'entendre dire ça.\nÇa me donne envie de redoubler d'efforts\ndans mes entraînements !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nJ'ai encore du chemin à faire avant d'être sûre\nde pouvoir te protéger, après tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nスタルーク\nEh ! C'est moi qui suis censé te protéger !\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nシトリニカ\nHa ha, Bien sûr. Merci, Alcryst.\x0E\x04\x00\x00
