MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nJe dois trouver quelque chose pour mes parents,\nmais quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nMerci pour ton achat ! Si tu as encore\nun instant, je te fais un joli paquet cadeau.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\nTu es peut-être jeune, mais tu as vraiment\nla fibre commerçante en toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nEt tu peux être sûre que je ne ferai plus l'erreur\nde t'appeler simplement Anna !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nMerci beaucoup, Mademoiselle Anna !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nMerci ? Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nJ'ai envoyé le cadeau que je t'ai acheté à mes\nparents, et ils m'ont répondu avec une lettre\nde remerciement !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nOh, super ! Il faut dire que tu avais trouvé\nun cadeau d'exception.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nOuais ! Et ils l'ont adoré, exactement comme\ntu l'avais prédit.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nJe mets un point d'honneur à satisfaire mes\nclients. J'espère qu'on refera affaire ensemble.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nSans aucun doute ! Oh, et regarde ce passage\nque ma mère a écrit.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\nVoyons ce qu'elle raconte...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\n« La statuette est magnifique. Remercie\nchaleureusement ton amie Mademoiselle Anna\nde notre part. »\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\n« Si un jour vous passez toutes les deux par ici,\nnous serions heureux de l'accueillir chez nous. »\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\n« Dis-lui que je lui préparerai un de mes\ncélèbres plats maison, si elle nous fait\nl'honneur de sa visite. »\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nMa mère ne plaisante pas, sa cuisine est\nvraiment réputée. Il faut qu'on passe les voir,\nun de ces jours !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nJ'ai dit quelque chose de mal ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nMoi aussi, je veux écrire une lettre à ma famille !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nOh, Mademoiselle Anna...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nJ'avais oublié que tu es seule et loin\nde ta famille...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nDésolée de t'avoir fait penser à des choses\ntristes. Mais tu n'es pas toute seule ! On est là,\nnous !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nMerci, Framme... Ça me touche vraiment.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06アンナ\nRemercie aussi ta mère. Et dis-lui que je serais\nheureuse de passer la voir un de ces jours.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nCompte sur moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06アンナ\nAllez, fini les pleurnicheries !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06アンナ\nPersonne n'a envie d'acheter des choses\nà une marchande dépressive. C'est le sourire\nqui fait vendre !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nApprochez, approchez ! Venez voir\nles merveilles que je propose !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nPour une durée limitée, j'ai plein d'objets rares\nen promotion ! Profitez-en maintenant, ou vous\nle regretterez plus tard !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nComment vont les affaires,\nMademoiselle Anna ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nElles fleurissent ! Mes marchandises quittent\nmon étal bien plus vite que je ne peux le\nréapprovisionner.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nDans ce cas, tiens. Une marchande bosseuse\nque je connais bien les a amplement méritées.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nEst-ce que ce sont des tourtes ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nGagné ! Des tourtes à la betterave, même.\nC'est moi qui les ai préparées, alors je sais\nque tu vas te régaler.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nJe peux en goûter une ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\nBien sûr !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nSuper ! Allez, dans le gosier !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nMmm ! Tu n'avais pas menti, elles sont vraiment\ndélicieuses !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nHi hi hi ! Ravie qu'elles te plaisent.\nJe tiens la recette de ma mère.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nTa mère...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\nOh non ! Euh, je veux dire...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nVraiment désolée, Mademoiselle Anna !\nJe voulais pas te saper le moral !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nJ'ai trouvé le créneau idéal pour vendre\nces tourtes !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nOn va les appeler « Délices à la betterave\nde maman » ! Ça va faire un malheur chez\nles petits comme chez les grands !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nOh, il faut que tu m'apprennes à les préparer !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nHa ha ! Ouf, je croyais avoir encore dit\nune bêtise.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06アンナ\nPas du tout. Tu te souviens, je t'ai dit que\nc'est le sourire qui fait vendre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nEh bien ce sourire m'apportera la montagne\nd'argent qui me servira ensuite à retrouver\nma famille !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nOh, Très bonne idée ! Je vais t'aider en\nt'apprenant la recette pour que tu gagnes\nplein d'argent !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nFormidable ! Oh, merci !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nUne fois que ces tourtes seront sur le marché,\non nagera dans la richesse ! Par ici la monnaie !\x0E\x04\x00\x00
