MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nBonjour, Zelkov ! Moi, c'est Anna, mais vous\npouvez m'appeler Mademoiselle Anna ! Je suis\nravie de vous rencontrer !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nTout de suite !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nIl me dit rien qui vaille, ce soupir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nJe regrette de te *présenter* les choses ainsi,\nmais je ne vois rien ici qui vaille la dépense.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nQuoi ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nMes paroles vont sembler bien dures à tes\noreilles d'enfant, mais ces objets n'ont hélas\npas la moindre *valeur* à mes yeux.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nNon mais, attendez une seconde ! Qu'est-ce\nque vous lui reprochez, à ma marchandise ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nSoit. Je vais donc endurcir mon cœur afin de\nte *répondre*.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nTes articles manquent cruellement de *passion*.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\nOn peut savoir ce que ça veut dire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nTu ne comprends *pas* ? Voilà qui explique\nque tu proposes de tels articles à la vente...\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06アンナ\nNon mais je rêve !\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nTout objet doit porter la *marque* indélébile\nque la passion de son créateur lui a imprimée.\nDans le cas contraire, sa valeur est nulle.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06アンナ\nAlors c'est quoi, la différence entre un article\navec passion, et un sans ? Je ne demande\nqu'à voir !\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nTrès bien. Il se trouve que je possède justement\nce type de merveilles *en quantité*. Je te les\nmontrerai avec plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x08\x06アンナ\nJe sens qu'on va s'amuser...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nDonc ça, c'est le top du top, pour vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nEn effet. Contemple mes *créations* :\ntoiles diverses, sculptures, chandelles...\nRien ne *manque*.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nChacune de ces œuvres a été amoureusement\n*façonnée* par ton serviteur. Prends donc celle\nqui te plaît le plus.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nCes œuvres ont toutes le potentiel de générer\nun profit *conséquent*, ne crois-tu pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nMouais...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nDésolée de vous le dire, mais rien de tout ça\ntrouvera jamais acquéreur, d'après moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nJe te *demande* pardon ? Et pourquoi cela,\nje te prie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nJe dis pas que c'est de la camelote, attention !\nMais c'est beaucoup trop raffiné, ça se voit\ntout de suite.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nPour qu'un produit se vende, il faut qu'il soit\ntout simple.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\n*Balivernes*.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est de la *passion* du créateur que découle\nla valeur d'une création, et c'est cela que le\nclient achète.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nBen non, en fait. Je comprends votre point de\nvue, hein, mais plus personne pense comme ça,\nde nos jours.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nMa génération a des goûts différents.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nQuelle *humiliation*...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEh bien, soit. Je vais donc m'atteler à la\n*confection* d'une œuvre qui ne manquera\npas de t'enchanter.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nCrois-moi, tu en resteras *sans voix*.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\nHa ha ha ! Si vous pensez que vous y arriverez,\nallez-y, faut pas hésiter ! Je suis impatiente de\nvoir le résultat.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nPrépare-toi, car tu t'apprêtes à contempler\nl'expression de mon génie artistique dans\ntoute sa conquérante *simplicité*.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nEh bien ? Que dis-tu de cette sculpture ?\nTe paraît-elle correspondre à tes *standards*\nde qualité ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nMouais...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nJe m'attendais à mieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nQu'est-ce qui te fait dire une chose aussi\n*blessante* ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nJe sais bien que j'ai dit que c'était les choses\nsimples qui se vendaient.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nMais vous êtes un artiste, non ? Je pensais pas\nque vous alliez céder aussi facilement.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nAprès tous vos beaux discours sur l'importance\nde la passion, j'espérais un peu que vous la\ndéfendriez mieux que ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nHa ha, quelque chose *t'échappe*, à l'évidence.\nT'échappe même totalement...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nAh bon ? Mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nLa simplicité *apparente* de cette œuvre n'est\nrien de plus qu'une façade habilement modelée.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nIl s'agit pourtant, *en réalité*, d'une œuvre\nadmirablement complexe.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nRedites-moi ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai commencé par façonner ma sculpture en\nlaissant libre cours à mon penchant naturel\npour la *sophistication*.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEnsuite, je l'ai ornée d'une couche\nsupplémentaire pensée pour *dissimuler*\nladite sophistication...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nL'œuvre qui en résulte est certainement la plus\n*sophistiquée* qu'il m'ait été donné de créer.\nElle n'en paraît pas moins parfaitement simple.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nÀ présent, tu peux t'abandonner à\nsa *vénération*.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nBen ça alors. C'est extraordinaire... un peu trop,\nmême, pour tout vous dire. En fait, ça veut rien\ndire du tout, votre histoire !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nMais quoi qu'il en soit, j'en voudrais toujours\npas sur mon étal, désolée de vous le dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nQue dis-tu ? Et pourquoi donc ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06アンナ\nÀ votre avis ? C'est bien trop compliqué !\nJ'aurais mis la clé sous la porte avant d'en\navoir fabriqué le moindre exemplaire !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nSans compter qu'un coût de production élevé se\nrépercute sur le prix de vente. Et quand c'est\ncher, les clients se bousculent pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est un argument qui *semble* recevable...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nMais je vais quand même vous la prendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nJ'aime beaucoup votre manière de voir les\nchoses.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nJ'ai jamais tellement réfléchi à l'importance de\nla passion, alors que c'est absolument essentiel\ndans le commerce !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06アンナ\nSans passion, j'aurai jamais la moindre\nchance de me faire une place dans le monde\ndes affaires !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nC'est pour ça que je veux vous l'acheter, pour\nl'avoir toujours sous les yeux et ne jamais\noublier que la passion fait tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nAnna...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06アンナ\nMademoiselle Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nMademoiselle Anna...\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06アンナ\nHa ha, je préfère ça ! Bon, je peux pas vous\ndonner grand-chose, par contre. Un écu,\nc'est mon dernier mot.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est bien *peu*...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nCependant, *l'important* n'est pas l'or que je\npeux en tirer.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nSi cette transaction t'apporte quelque chose,\nMademoiselle Anna, cela lui donne du *sens*\nà mes yeux.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08ゼルコバ\nJe te souhaite bonne chance, jeune marchande.\nPuisses-tu rencontrer tout le *succès* que tu\nmérites.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x08\x06アンナ\nOh, merci ! Vous êtes beaucoup plus gentil que\nvous en avez l'air, vous savez.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06アンナ\nÇa vous dit, des friandises ? J'ai une réserve\nsecrète où je mets que les meilleures de toutes !\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'accepte avec joie.\x0E\x04\x00\x00
