MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nLe combat final est proche. Quand vous serez\nprêts, nous approcherons Somniel du portail.\x0E\x04\x02\x00
MID_OP3_#009	Vous pouvez rester chez vous. Moi, je compte\nbien visiter d'autres mondes. Ainsi, nous\nsommes tous gagnants.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x0A\x08リュール\nVous reviendrez vous en prendre à Elyos.\nJamais nous ne vous ferons confiance.\x0E\x04\x02\x00
MID_OP3_#011	Et vous avez fait tant de victimes et causé\ntant de souffrance que nous ne pouvons pas\nvous laisser vous en tirer comme ça.\x0E\x04\x02\x00
MID_OP3_#012	Nous allons vous vaincre immédiatement et\nvous empêcher d'envahir d'autres mondes.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08ソンブル\nHmpf. Envahir d'autres mondes. Vous pensez\nvraiment que mes désirs sont si simples ?\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x0A\x08リュール\nEst-ce que je me trompe ?\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x0A\x08ソンブル\nL'invasion n'est qu'un moyen d'atteindre mon\nbut. Ce que je cherche vraiment, ce sont des\nretrouvailles.\x0E\x04\x02\x00
MID_OP3_#016	Des retrouvailles avec l'Emblème Zéro.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x0A\x08リュール\nL'Emblème Zéro ?\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x00\x0C\x06マルス\x023\n\x0E\x03\x02\x08\x06マルス\nJe n'en ai jamais entendu parler.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x0A\x08ソンブル\nÉvidemment. Il n'est pas de ce monde.\x0E\x04\x02\x00
MID_OP3_#020	Tout comme moi.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x0A\x08リュール\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x02\x0A\x08ソンブル\nPar-delà ce portail se trouve un nombre infini\nde mondes. L'un d'eux était le mien.\x0E\x04\x02\x00
MID_OP3_#023	Il possédait ses propres Anneaux d'Emblèmes,\net une guerre a éclaté pour déterminer qui en\naurait le contrôle.\x0E\x04\x02\x00
MID_OP3_#024	Mon espèce a perdu. L'ennemi a fait appel au\npouvoir des anneaux pour massacrer les miens.\x0E\x04\x02\x00
MID_OP3_#025	Comme j'étais encore jeune, il a montré\nune certaine clémence à mon égard en\nme condamnant à l'exil.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x08\x06マルス\nVous voulez dire... qu'on vous a envoyé\nen Elyos.\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x0A\x08ソンブル\nUn monde paisible dirigé par des Dragons\ndivins... Je devais y mener une vie au calme.\x0E\x04\x02\x00
MID_OP3_#028	Mais ce qu'ils ignoraient, c'est que j'avais\nemporté un petit quelque chose avec moi.\nUn Anneau d'Emblème.\x0E\x04\x00\x00
MID_OP3_#029	\x0E\x03\x02\x0A\x08リュール\nCelui de l'Emblème Zéro.\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x0A\x08ソンブル\nDans mon monde, il répondait au nom\nd'Emblème des Fondations. Mais j'étais\nincapable de lui insuffler le don de la parole.\x0E\x04\x02\x00
MID_OP3_#031	D'après la légende, il a combattu seul.\nUne ambition démesurée et aucun allié.\x0E\x04\x02\x00
MID_OP3_#032	Comme je vivais isolé de tous,\ncette histoire m'inspirait.\x0E\x04\x02\x00
MID_OP3_#033	J'étais prisonnier de ce monde sans ami ni\nfamille. Je n'avais que cet Emblème pour\nme réconforter.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x08\x06マルス\nQui que ce fût, il devait être d'une puissance\nincommensurable.\x0E\x04\x02\x00
MID_OP3_#035	Un Emblème ne devrait pas pouvoir survivre à\nun voyage vers un autre monde.\x0E\x04\x02\x00
MID_OP3_#036	Garder sa forme dans un nouveau monde,\nne serait-ce que quelques instants...\nj'ignorais qu'un tel pouvoir existait.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x0A\x08リュール\nEt maintenant, vous espérez des retrouvailles.\nJ'en conclus que cet Emblème a disparu.\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x0A\x08ソンブル\nOui... Tout ça à cause des villageois qui m'ont\ndécouvert quelques années après mon arrivée.\x0E\x04\x02\x00
MID_OP3_#039	Ils m'ont pris pour un enfant abandonné. Ils\nont eu pitié de moi. C'étaient les premiers\nliens que je tissais en ce monde.\x0E\x04\x02\x00
MID_OP3_#040	Peu de temps après, l'Emblème m'a abandonné.\nIl ne me restait plus que son anneau.\x0E\x04\x02\x00
MID_OP3_#041	Et pourquoi ? Pour avoir tissé des liens avec\nles habitants de ce monde. J'ai d'abord sombré\ndans le désespoir, puis...\x0E\x04\x02\x00
MID_OP3_#042	J'ai réduit leur village en cendres.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x0A\x08ソンブル\nJ'ai fait le serment de renoncer à tous mes liens\npour atteindre mes buts, tout comme lui.\x0E\x04\x02\x00
MID_OP3_#045	J'ai combattu seul, ne faisant confiance à\npersonne, me préparant à retourner dans\nmon monde d'origine pour me venger.\x0E\x04\x02\x00
MID_OP3_#046	J'ai passé des années à rassembler des\npions et à étendre mon territoire. Puis\nj'ai lancé l'assaut.\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x0A\x08リュール\nAlors, la guerre d'il y a mille ans...\nC'était donc pour cette raison ?\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x02\x0A\x08ヴェイル\nMais, Papa, vous n'étiez pas seul au monde.\x0E\x04\x02\x00
MID_OP3_#049	Maman vous aimait profondément. Vos adeptes,\nvos partisans... mes frères et sœurs...\x0E\x04\x02\x00
MID_OP3_#050	Zephia, Griss, Marni, Mauvier... Même mon\nfrère et moi ! Tout ce que nous avons fait,\nnous l'avons fait pour vous !\x0E\x04\x00\x00
MID_OP3_#050_F	Zephia, Griss, Marni, Mauvier... Même ma\nsœur et moi ! Tout ce que nous avons fait,\nnous l'avons fait pour vous !\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x0A\x08ソンブル\nComme je l'ai dit, des pions. Vous ne faisiez\nqu'obéir à mes ordres.\x0E\x04\x02\x00
MID_OP3_#052	Les pions sont voués à la destruction une fois\nqu'ils ont servi. Leur mort ne revêt pas la\nmoindre importance.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x0A\x08ヴェイル\nC'est pour cela que vous les avez tous tués...\nEt nous ? Vous vouliez notre mort ?\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x0A\x08ソンブル\nPour moi, vous ne valiez pas mieux.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x02\x0A\x08ヴェイル\nVous êtes ignoble...\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x0A\x08リュール\nVous devez vous tromper sur votre Emblème.\nIl n'a pas pu vous abandonner.\x0E\x04\x00\x00
MID_OP3_#057	\x0E\x03\x02\x0A\x08ソンブル\nQuoi ?\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x0A\x08リュール\nUn guerrier solitaire comme cet Emblème\nsavait forcément à quel point la solitude\nest pesante.\x0E\x04\x02\x00
MID_OP3_#059	Et... il serait resté à vos côtés pour vous\néviter d'être seul et exilé...\x0E\x04\x02\x00
MID_OP3_#060	Jusqu'à ce que vous ne soyez plus seul et que\nvous ayez des gens autour de vous. Jusqu'à\nce que vous alliez bien.\x0E\x04\x02\x00
MID_OP3_#061	Ne croyez-vous pas qu'un véritable ami aurait\nété ravi que vous tissiez de tels liens ?\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x02\x0A\x08ソンブル\nVous ne connaissez rien... Rien du tout\nsur mon Emblème.\x0E\x04\x00\x00
MID_OP3_#063	\x0E\x03\x02\x0A\x08リュール\nC'est vrai. Mais si votre Emblème a disparu\nsans crier gare...\x0E\x04\x02\x00
MID_OP3_#064	Alors, vous non plus. Personne, d'ailleurs.\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x0A\x08ソンブル\nC'est pour cela que je dois le retrouver !\nJe ratisserai autant de mondes qu'il faudra !\x0E\x04\x00\x00
MID_OP3_#066	\x0E\x03\x02\x08\x06マルス\nSombron. L'Emblème des Fondations n'est plus.\x0E\x04\x02\x00
MID_OP3_#067	Vous pouvez le chercher autant que vous\nvoudrez... C'est une perte de temps.\x0E\x04\x02\x00
MID_OP3_#068	Vous trouverez peut-être son héros, mais un\nEmblème et son héros sont deux êtres\nbien distincts...\x0E\x04\x02\x00
MID_OP3_#069	Jamais plus vous ne reverrez votre Emblème.\x0E\x04\x00\x00
MID_OP3_#070	\x0E\x03\x02\x0A\x08ソンブル\nSilence...\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x0A\x08リュール\nJe comprends votre ressentiment,\nmais sacrifier autant de monde...\x0E\x04\x02\x00
MID_OP3_#072	Être égoïste au point de détruire le monde ?\nDe tuer vos propres enfants ?! C'est\nvraiment... injuste.\x0E\x04\x00\x00
MID_OP3_#073	\x0E\x03\x02\x0A\x08ソンブル\nSilence ! Vous parlez de choses que\nvous ne pouvez pas comprendre !\x0E\x04\x02\x00
MID_OP3_#074	Sans mon Emblème, je serais mort sans\nle moindre pouvoir. Insignifiant.\x0E\x04\x02\x00
MID_OP3_#075	Il était indépendant et fort ! Pas comme vous\nautres qui vous blottissez les uns contre les\nautres en couinant comme de vulgaires chiots.\x0E\x04\x02\x00
MID_OP3_#076	Ce guerrier m'a montré le sens de toute\nexistence : combattre seul et se venger !\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x08\x06マルス\nVous vous fourvoyez. C'est impossible.\nAucun Emblème ne souhaiterait la\ndestruction d'un monde.\x0E\x04\x02\x00
MID_OP3_#078	Nous aidons les gens grâce à nos liens avec\nles Dragons divins. Nous sommes les forces\ndu bien !\x0E\x04\x02\x00
MID_OP3_#079	Nous ne permettrions pas qu'on utilise\nnotre pouvoir pour faire le mal.\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x0A\x08ソンブル\nAssez ! Vous ne m'arrêterez pas et vous ne\nme ferez pas non plus changer d'avis !\x0E\x04\x02\x00
MID_OP3_#081	Je convoite ceci depuis des milliers d'années.\nSi vous vous mettez en travers de ma route,\nvous mourrez.\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x0A\x08リュール\nNous y voilà. Que tout le monde se prépare\nau combat !\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x00\x06\x04ST\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ソンブル\x024\n\x0E\x03\x02\x0A\x08ソンブル\nVous osez vous en prendre à moi ? Vous osez\ntenter de contrarier mon plan ?\x0E\x04\x02\x00
MID_OP4_#002	Quelle insolence. Vous allez le payer cher.\nRegardez à quel point vos liens sont fragiles !\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x08\x06マルス\nArgh... Ah !\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0A\x08リュール\nHein ?!\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x0A\x08ヴェイル\nQue leur arrive-t-il ?!\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x0A\x08ソンブル\nJe referme le portail vers votre monde. C'est ce\nque j'aurais dû faire dès votre arrivée en ce lieu.\x0E\x04\x02\x00
MID_OP4_#007	Vos Emblèmes sont trop faibles et vont sombrer\ndans les distorsions interdimensionnelles.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x0A\x08リュール\nHein ?!\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x08\x06マルス\nC'est impossible. Ça ne peut pas être la fin,\n\x0E\x06\x03\x00...\x0E\x04\x02\x00
MID_OP4_#010	Si nous devons être séparés, n'oubliez pas\ntout ce que nous avons accompli...
MID_OP4_#011	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x02\x0A\x08リュール\nMarth !\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x0A\x08ヴェイル\nLes Emblèmes sont...\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x0A\x08リュール\nJe savais nos adieux proches... mais je croyais\nque nous aurions davantage de temps.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x0A\x08ソンブル\nDites adieu à vos Emblèmes. Dans quelques\ninstants, le portail sera entièrement refermé.\x0E\x04\x02\x00
MID_OP4_#015	Mais n'ayez crainte. Je ne ferai\nplus aucun mal à votre monde.\x0E\x04\x00\x00
MID_OP4_#015_2	Vous allez mourir ici comme\nj'ai vécu, isolés et angoissés.\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNous ne pourrons plus jamais... rentrer\nchez nous ?\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis prêt à mourir depuis le début. Brodia,\nma chère patrie, je prie pour que tu sois forte.\x0E\x04\x00\x00
MID_OP4_#018	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08アイビー\x023\n\x0E\x03\x02\x0A\x08アイビー\nAlors, Elusia... ne me connaîtra jamais vraiment.\x0E\x04\x00\x00
MID_OP4_#019	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nJe suis désolée, maman.\x0E\x04\x00\x00
MID_OP4_#020	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x02\x0A\x08ソンブル\nN'ayez crainte. Je ne prolongerai pas vos\nsouffrances inutilement.\x0E\x04\x02\x00
MID_OP4_#021	Quand j'en aurai fini, il ne restera plus rien de\nmoi. Pas la moindre preuve de mon existence.\x0E\x04\x00\x00
MID_OP4_#022	\x0E\x03\x02\x0A\x08リュール\nJe vous en empêcherai.\x0E\x04\x00\x00
MID_OP4_#023	\x0E\x03\x02\x0A\x08ソンブル\nVraiment ?\x0E\x04\x00\x00
MID_OP4_#024	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas fini. Le portail est encore ouvert.\nJe peux encore invoquer les Emblèmes !\x0E\x04\x02\x00
MID_OP4_#025	Nous avons parcouru tant de chemin...\nCombattez à mes côtés ! Votre foi m'inspire !\x0E\x04\x00\x00
MID_OP4_#026	\x0E\x03\x00\x0E\x08ヴェイル\x023\n\x0E\x03\x02\x0A\x08ヴェイル\nJe suis avec vous, mon frère !\x0E\x04\x00\x00
MID_OP4_#026_F	\x0E\x03\x00\x0E\x08ヴェイル\x023\n\x0E\x03\x02\x0A\x08ヴェイル\nJe suis avec vous, ma sœur !\x0E\x04\x00\x00
MID_OP4_#027	\x0E\x03\x02\x0A\x08リュール\nVeyle...\x0E\x04\x00\x00
MID_OP4_#028	\x0E\x03\x02\x0A\x08ヴェイル\nJe serai à vos côtés. Je sais que je ne peux me\nchanger en dragon ni invoquer des Emblèmes...\x0E\x04\x02\x00
MID_OP4_#029	Mais je reste un dragon royal. Je dois bien\npouvoir faire quelque chose pour vous aider.\x0E\x04\x00\x00
MID_OP4_#030	\x0E\x03\x02\x0A\x08リュール\nOui !\x0E\x04\x00\x00
MID_OP4_#031	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNous serons tous à vos côtés !\x0E\x04\x02\x00
MID_OP4_#032	Vous avez tant fait pour nous. Eh bien, cette\nfois, c'est à nous de vous rendre la pareille !\x0E\x04\x00\x00
MID_OP5_Vandre1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1C\nヴァンドレ\x0EStandBy\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Divinité... Si je meurs ici, sachez que\nje demeurerai votre gardien jusqu'à la fin !\x0E\x04\x00\x00
MID_OP5_Clan1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クラン\x02t\n\x0E\x05\x01\x16\x06クラン\x0CStatus\n\x0E\x03\x02\x08\x06クラン\nVous pouvez le faire ! Depuis votre réveil, j'ai\ntoujours su que vous alliez sauver le monde !\x0E\x04\x00\x00
MID_OP5_Fram1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06フラン\x02t\n\x0E\x05\x01\x18\x06フラン\x0EStandBy\n\x0E\x03\x02\x08\x06フラン\nC'est le moment de vérité ! En tant que\n33e gardienne du Dragon divin, je dois\noffrir mon aide !\x0E\x04\x00\x00
MID_OP5_Alfred1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai commencé ce périple à vos côtés, et je le\nterminerai de la même manière ! Puisse notre\nmonde prospérer, Votre Divinité !\x0E\x04\x00\x00
MID_OP5_Etie1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x18\nエーティエ\nSmile\n\x0E\x03\x02\x0C\nエーティエ\nC'est la dernière ligne droite ! Si vous faiblissez,\nnous serons tous là pour vous offrir notre\nsoutien !\x0E\x04\x00\x00
MID_OP5_Boucheron1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nブシュロン\x02t\n\x0E\x05\x01\x1C\nブシュロン\x0EStandBy\n\x0E\x03\x02\x0C\nブシュロン\nJe garderai mes larmes pour la victoire.\nNotre objectif est clair, alors je dois pouvoir\nl'atteindre sans m'égarer en chemin !\x0E\x04\x00\x00
MID_OP5_Celine1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x02t\n\x0E\x05\x01\x16\x08セリーヌ\nAngry\n\x0E\x03\x02\x0A\x08セリーヌ\nToutes les fleurs doivent éclore... Pour vous,\nje serai une douce pluie et un rai de lumière !\x0E\x04\x00\x00
MID_OP5_Chloe1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロエ\x02t\n\x0E\x05\x01\x18\x06クロエ\x0EStandBy\n\x0E\x03\x02\x08\x06クロエ\nTout comme dans un conte de fées, nous voici\nà la frontière entre l'ombre et la lumière.\nTrouvons un moyen de saisir la lumière... !\x0E\x04\x00\x00
MID_OP5_Louis1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04ルイ\x02t\n\x0E\x05\x01\x16\x04ルイ\x0EStandBy\n\x0E\x03\x02\x06\x04ルイ\nCombattez bien, Votre Divinité ! Unissez-vous\nune fois encore aux Emblèmes !\x0E\x04\x00\x00
MID_OP5_Yunaka1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ユナカ\x02t\n\x0E\x05\x01\x14\x06ユナカ\nSmile\n\x0E\x03\x02\x08\x06ユナカ\nJe peux toujours imiter les Emblèmes, mais\nc'est pas la même chose. Alors, tâchons de\nles récupérer !\x0E\x04\x00\x00
MID_OP5_Staluke1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x18\nスタルーク\nRelax\n\x0E\x03\x02\x0C\nスタルーク\nJe suis inquiet... mais vous n'avez pas besoin\nde mon soutien. Je sais que vous trouverez\ncomment nous sortir de cette situation.\x0E\x04\x00\x00
