MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nC'est bon de pouvoir vous parler après tout\nce temps passé à veiller sur vous en silence,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nVous avez l'air plutôt heureuse, Framme.\nQue faites-vous ici ?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nOh, j'écris simplement une lettre à ma famille.\nIls habitent loin d'ici, et je veux qu'ils sachent\nque je vais bien.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nEmblème Marth, vous étiez là tout ce temps\noù... le Dragon divin dormait ?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06マルス\nEn effet, même si le temps s'écoulait\nrapidement. J'ai pu voir à quel point\nvous l\x0E\x0A\x00\x08\x02e\x02a veilliez bien.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nMerci ! À partir de maintenant, je ferai\nencore mieux, pour vous et pour le\nDragon divin.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06マルス\nJe n'en doute pas un instant, Framme.\nEnsemble, nous sommes une force\nque personne n'arrêtera.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est l'anneau que Sa Divinité portait dans\nson sommeil ! C'est un honneur de servir\nà vos côtés !\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06マルス\nMoi aussi, je suis heureux de me battre avec\nun prince d'aussi grande valeur. Ensemble,\nnous instaurerons la paix.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nVous avez la mine sombre, Alfred.\nQuelque chose vous tracasse ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe me morfonds parce que je suis toujours\naussi maigrichon. Je devrais peut-être aller\ncourir un peu. En général, ça me fait du bien.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nLa passion de l'exercice physique est\ndécidément une seconde nature, chez vous.\nJ'applaudis votre assiduité.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'étais un enfant maladif, alors j'ai pris cette\nhabitude en grandissant, afin de m'aguerrir un\npeu. Et puis j'y ai pris goût, avec le temps.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06マルス\nLa maladie peut abattre même le plus vaillant\ndes chevaliers. Vous avez admirablement\nrelevé la tête.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe m'entraîne sérieusement, c'est tout.\nD'ailleurs, je vais courir de ce pas.\nVous voulez m'accompagner ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nブシュロン\nC'est un honneur de me battre à vos côtés.\nJe dois me montrer à la hauteur en tant que\nsoldat royal.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06マルス\nNous devons tous relever nos propres défis,\nBoucheron. Faisons-le de concert.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSeriez-vous en train de pleurer, Boucheron ?\nQuelque tragédie se serait-elle produite ?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nNon... C'est une tragédie que j'ai lue, pas que\nj'ai vécue. À chaque fois que j'y repense, les\nlarmes me montent aux yeux.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nブシュロン\nCette guerre a ravagé les sols et pollué les eaux.\nElle doit se terminer, et vite.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06マルス\nVotre ville natale est un bel endroit, m'a-t-on\ndit, où la verdure abonde. Ainsi que l'eau pure,\nje suppose.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nOui. L'eau y est pareille à du cristal. Je pêchais\nsouvent dans les rivières. Je me demande si\nelles scintillent toujours...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06マルス\nPuisez de la force dans votre amour pour la\nterre, et mêlez-la à la nôtre tandis que nous\nœuvrons pour faire régner la paix.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nSalut, Marth. Vous me surprenez au sortir de\nmon activité favorite : une bonne séance\nd'exercices épuisants comme il faut !\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06マルス\nLe zèle avec lequel vous vous entraînez au\nmaniement de l'arc pourrait vous hisser au\nniveau de l'archer le plus talentueux d'Altea.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nBonjour, Marth. J'étais sur le point de déguster\nune tasse de thé, ça vous tente ?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06マルス\nJe ne peux pas siroter le thé avec vous, mais\nje peux sentir son arôme. Je me satisferai de\ncet expédient si cela vous convient.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nSi seulement ces pensées pouvaient cesser\nde se bousculer dans ma tête. Il n'y a qu'une\nchose à faire, j'en ai peur.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06マルス\nÊtes-vous en proie au doute, Etie ?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x08\x06マルス\nIl serait peut-être plus avisé d'en parler.\nUne crainte qu'on extériorise, c'est souvent\nune crainte qui se volatilise.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nMerci du conseil, mais dans mon cas, rien ne\nvaut une bonne séance d'exercices. Quelques\nfoulées, et le doute est refoulé !\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJamais je n'aurais rêvé rencontrer un Emblème\nen personne. Il y a tant de sujets que je\nsouhaiterais aborder.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06マルス\nJe serais moi-même ravi d'entendre les histoires\ndu royaume de Firene... ainsi que les vôtres.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nC'est un charmant bandeau que vous portez\nlà. Il parachève votre tenue... et possède à\nl'évidence une grande valeur sentimentale.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06マルス\nBien observé. C'est en effet un objet très\nprécieux, cadeau d'une personne chère\nà mon cœur.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJ'aime mon royaume ainsi que mon peuple.\nC'est pourquoi j'ai résolu de me battre\npour eux.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06マルス\nJe ne sais que trop qu'il existe des choses en\nce monde justifiant de porter les armes.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nMerci. Il est bon de savoir que je ne suis pas\nseule à penser ainsi. Je me battrai avec plus\nd'aisance aux côtés de quelqu'un comme moi.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06マルス\nJe combattrai à vos côtés aussi longtemps que\nnous serons ensemble. Jusqu'au jour où la paix\nrégnera dans votre royaume.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04ルイ\nVous êtes un être fascinant, Marth.\nVotre simple présence illumine les visages\nqui vous entourent.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06マルス\nVous me flattez, Louis. Vous aussi, vous savez\nremonter le moral de vos compagnons.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04ルイ\nVous contempler en présence de Sa Divinité\nest un spectacle à nul autre pareil. Une toile\nentièrement vierge...\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06マルス\nUne toile ? Je regrette, mais je ne comprends\npas ce que vous entendez par là. Voulez-vous\napprofondir un peu ?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIl ne m'aura pas échappé que vous êtes\nla prévenance incarnée. Est-ce qu'il en\na toujours été ainsi ?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nDepuis mon enfance, j'ai toujours cherché à être\nagréable. Peut-être la vaste famille composée\npar mes frères y est-elle pour quelque chose.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nJe leur voue une éternelle reconnaissance pour\ncela. C'est pour cette raison que j'ai été\ndésigné comme vassal.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06マルス\nHa ! Votre soutien sur le champ de bataille\nnous est un réconfort à tous. Vos services\nnous sont précieux, Louis.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nDire que je discute avec l'Emblème qui a\nveillé sur Sa Divinité... Je me sens en\nplein conte de fées.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06マルス\nJ'apprécie nos conversations. Passer ainsi\ndu temps avec un chevalier pégase me\nrappelle un être très cher.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nIl n'y a aucun mal à se reposer de temps\nà autre. Vous pourriez lever un peu le pied,\nen prévision du prochain combat ?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06マルス\nJe suis d'accord, et je vous conseille de faire\nde même. J'aimerais finir cette guerre\nsans enterrer mes proches.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nJe ne connaissais rien du monde avant de\nrencontrer la princesse Céline. Je n'aurais\njamais songé qu'il puisse être si vaste.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06マルス\nIl fourmille d'ailleurs de gens qui luttent\npour s'en sortir. Pensez à eux, quand\nvous vous battez.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nJe ferai de mon mieux pour assurer leur\nsécurité. Est-ce là le secret de l'efficacité\nau combat, Marth ?\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06マルス\nOui. Ensemble, avec les alliés dont nous nous\nsommes tant rapprochés, nous apporterons\nla paix en ce monde.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nC'est un honneur de porter les armes auprès\nd'un si vaillant héros. Je suis heureux que vous\nsoyez des nôtres, Marth.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06マルス\nEt moi, d'être parmi vous. Combattons\nensemble pour la paix.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJe n'entends pas gouverner à la manière de\nmon père. Je veux la prospérité de Brodia,\nmais pas en ayant recours à la guerre.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06マルス\nC'est le lot de tous les héritiers de devoir peser\nces décisions importantes. Mais je sais que vous\ngouvernerez au mieux.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nY a-t-il des techniques spécifiques qui vous\nrésistent, Marth ? Entre vous et moi... la magie\na tendance à m'intimider.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06マルス\nLe prince héritier de Brodia ne serait donc pas\naussi infaillible qu'on le prétend ? D'où cette\ngêne vous vient-elle ?\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nQuand j'étais jeune... J'ai déclenché une\nexplosion au cours d'une leçon de magie.\nDepuis lors, elle me fait peur.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06マルス\nDans les domaines qui vous résistent,\nreposez-vous sur vos amis. Sans mes alliés,\nje ne serais jamais devenu le Roi-Héros.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08アンバー\nJe peux me battre aux côtés d'un Emblème ?\nJe n'en reviens pas ! Je ne regrette pas d'être\ndevenu un vassal royal !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06マルス\nVous me flattez. Considérez-moi comme\nun simple allié qui se bat pour protéger\nce monde.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08アンバー\nMarth, où êtes-vous né ? Est-ce que votre\nnaissance fait aussi l'objet d'une légende ?\nJe raffole de toutes ces histoires !\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06マルス\nL'histoire de mon royaume débute avec\nle héros Anri. Je vous parlerai de lui une\nautre fois.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nOn m'a raconté que vous étiez devenu vassal\nen participant à une joute, et ce contre le\ndésir de votre famille.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nBen oui, j'étais pas malheureux chez moi,\nmais je m'ennuyais. Je voulais absolument\npartir et devenir une vraie légende !\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nAprès le tournoi, le prince Diamant est venu\nme demander de devenir son vassal. J'étais\nfou de joie !\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06マルス\nVotre ténacité vous a donc permis de réaliser\nvotre rêve. Je pense que vous êtes déjà\ndevenu une légende.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nJe représente le Prince Diamant, alors j'ai\nintérêt à faire attention... C'est un honneur\nde travailler avec vous, Messire Marth.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x08\x06マルス\nJ'ai hâte de vous voir à l'œuvre, Jade.\nPuisse l'avenir nous sourire !\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nVous semblez être l'objet de toutes les\naffections, Messire Marth. On dirait que votre\nsimple présence met tout le monde à l'aise.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06マルス\nLa présence de la « Muraille d'acier » dans\nnos rangs contribue également à leur sentiment\nde sécurité. Protégeons-les ensemble.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMessire Marth, je ne voudrais pas être impolie,\nmais... Verriez-vous un inconvénient à ce que\nje m'inspire de vous pour mon prochain roman ?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06マルス\nJ'avoue que cette requête est un peu gênante,\nmais je vous en prie. J'ai hâte de lire cela.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nMerci, Messire Marth. J'espère que mes écrits\nvous divertiront. Le prince Diamant semble\nen faire cas.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06マルス\nVoilà une référence qui vaut son pesant d'or.\nJe suis impatient de voir le personnage que\nje deviendrai sous votre plume !\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\nAaah ! Je suis désolé, Messire Marth !\nLes Emblèmes tels que vous ne devraient pas\navoir à poser les yeux sur des gens tels que moi.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06マルス\nEuh... tout va bien. Ne parlez pas de vous\nde cette manière. Nous sommes entre amis.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\nVous êtes si fascinant, Messire Marth...\nSi seulement j'avais juste une once\nde votre charisme...\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x08\x06マルス\nVous avez de nombreuses qualités, Alcryst.\nJ'espère que vous vous en rendrez compte\nun jour.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\nVous êtes vraiment incroyable, Messire Marth.\nPardonnez-moi d'être une telle déception...\x0E\x04\x00\x00
