MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nExact ! Je dois être en forme pour protéger\nmon royaume !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nOh. Euh...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nJe suis désolée d'avoir brusquement disparu,\nl'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nNon, non, pas de souci ! Vous devez avoir tant\nà faire, avec votre devoir de princesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nJe m'amusais tellement à choisir une tenue\npour toi que j'en ai oublié l'heure de mon\nentraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nCe n'était que ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nJe me disais que peut-être... je sais pas.\nQue ma tenue ne vous plaisait pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nNon, non ! C'était un pur condensé de style !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nDans ce cas... Pourquoi vous avez agi\ncomme s'il y avait un problème ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nOh... Bon, d'accord. Ne le prends pas mal...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nTu sais que le royaume de Solm est un endroit\noù il fait chaud. Je ne tiendrais pas 15 minutes\navec un tissu pareil.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nEt puis ma tenue ne doit pas entraver mes\nmouvements, si je dois subitement me battre.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nOoooh ! C'est donc ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nMais honnêtement, cette robe était très\nmignonne ! Excuse-moi si je n'ai pas\nété franche avec toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\nNon, ce n'est pas grave ! Je me sens juste idiote\nde ne pas y avoir pensé toute seule.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nVous me permettez de... choisir une autre tenue\npour vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nMais cette fois, ça conviendra un peu plus\nau soleil de Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nOh, quelle bonne idée ! Bien sûr !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nRetourner faire les boutiques avec mon amie\nFramme ! Je suis impatiente.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nMais d'abord je dois me préparer pour la\nprochaine bataille. Les morts ne peuvent\npas essayer de tenues.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06フラン\nCertainement ! Je ne vous dérange pas\nplus longtemps.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nミスティラ\nEn fait, j'allais te demander si tu voulais\nte joindre à moi. Qu'en dis-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nM'entraîner jusqu'à épuisement avec\nla princesse Timerra ? Rien ne me ferait\nplus plaisir !\x0E\x04\x00\x00
