MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nブシュロン\nMmh. Que faire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nEh bien, j'ai bien tenté d'aller le trouver, mais\nje me suis perdu en chemin...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nUn contretemps *parfaitement* inattendu.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nOui, si on veut. Cela dit, mon expédition a pris\nune tournure des plus curieuses...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nJe me suis assoupi dans une grotte, et à mon\nréveil, j'ai trouvé une lettre du sage.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nContinuez, je vous prie.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nElle contenait une ribambelle d'encouragements\ntels que « Encore un dernier effort », « Vous y\nêtes presque », « La lumière est au bout »...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n*Extraordinaire*.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\nMais ça ne s'arrête pas là. Elle m'indiquait aussi\nles endroits où j'avais dévié du chemin.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nAvant de terminer sur quelques conseils pour\nne plus refaire les mêmes erreurs.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nJe me demande quelles peuvent être les\n*motivations* de ce soi-disant sage de la forêt.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nS'il tenait tant que ça à vous remettre la\n*potion*, il lui aurait suffi de vous la laisser\navec la note.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nIl faut croire qu'il tient également à ce que\nj'atteigne sa hutte.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nVoilà un sage bien *mystérieux*...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nC'est le cas de le dire. Mais qu'à cela ne tienne.\nJe suis bien décidé à le retrouver !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nVotre *détermination* est admirable. Il ne me\nreste plus qu'à vous souhaiter bonne chance\nune fois encore.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nJe te remercie. Avec un peu de chance, j'aurai\ncette fois-ci une bonne nouvelle à t'annoncer.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x02\x0C\nブシュロン\nÇa y est, je suis devant la cabane ! Sage de\nla forêt, me voici !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nExcellent. Je vous *attendais*. Bienvenue,\nje suis le sage de la forêt.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\nHein ? C'est toi, Zelkov ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nUne seconde, c'est quoi, cette histoire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nChose promise, chose due. Voici votre *potion*.\nVous pouvez la boire.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nEuh... Bon, d'accord.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nC'est sucré. On dirait une... friandise.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nEn effet. Il s'agit davantage d'une *infusion*\nque d'une réelle potion. Il se peut qu'elle vous\ndonne un petit coup de fouet, mais rien de plus.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nCela dit, vous êtes parvenu à atteindre cette\ncabane perdue *presque* sans aide.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nÀ *croire* que votre sens de l'orientation s'est\nquelque peu amélioré.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nMais oui ! Je ne m'en étais même pas rendu\ncompte !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n*Précisément.*\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'avais entendu parler de vos ennuis. Il m'a\nsemblé tout à fait intéressant d'y *remédier*.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nVoilà d'où m'est venue l'idée du *sage de\nla forêt*. J'ai concocté ce stratagème pour vous\nconduire jusqu'ici.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nOn peut dire que tu n'as pas fait les choses\nà moitié.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'aime me donner de nouveaux *objectifs* dans\nla vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nAu départ, j'avais simplement envisagé de vous\n*entraîner*, mais c'était la solution de facilité.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai donc opté pour un plan plus *élaboré*.\nJ'espère que l'expérience vous a plu.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nEh bien, c'est le cas. Merci d'avoir organisé\ntout ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nVous faites honneur à votre réputation de\n*gentilhomme*. Je gage que certains l'auraient\nmal pris.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nMal pris ? Allons donc !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nLe « sage de la forêt » m'a fait une excellente\nimpression. Je nourris même l'espoir de devenir\nson ami.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nEt *pourquoi* donc ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nEh bien, je n'oublie pas sa note attentionnée\net la couverture dont il m'a recouvert quand\nje grelotais de froid.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nÀ l'évidence, il m'a pris en pitié. Je pense que\nc'est un chic type.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nブシュロン\nSeulement, je ne suis pas sûr que sa stratégie\nm'ait vraiment aidé à mieux me repérer.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nQu'est-ce qui vous fait dire ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nCe n'est pas la première fois qu'on essaie de\ncorriger mon problème.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nEn vain. Voilà pourquoi cette histoire de potion\nm'avait particulièrement séduit.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nブシュロン\nMais ce n'était que de l'eau sucrée.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nブシュロン\nTout va bien, Zelkov ? Je suis sincèrement\ndésolé. Pas trop déçu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nMais pas le moins du monde, cher ami.\nC'est tout le *contraire*.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est donc un travail de *longue* haleine.\nJ'ai hâte de reprendre le combat.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0C\nブシュロン\nDe reprendre le combat ? Tu comptes\nt'y remettre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nVous recevrez très bientôt une missive du sage\nde l'océan. J'espère que vous *répondrez* à\nsa requête.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0C\nブシュロン\nHa ha. Soit. Vos désirs sont des ordres, ô grand\nsage Zelkov.\x0E\x04\x00\x00
