MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0C\nスタルーク\nExcusez-moi, Princesse Hortensia ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHé ! Je sais que vous m'entendez !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nPrincesse Hortensia !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nJe vous en prie, parler avec moi ne fera\nque vous saper le moral.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nToujours autant la pêche. Mais c'est bien\nce dont je voulais vous causer.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nÉcoutez. Je vais vous aider à avoir confiance\nen vous, comme vous me l'avez demandé.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nQuoi ? Vraiment ?! Oh, merci !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nPourquoi avez-vous changé d'avis ?\nVous y sembliez si opposée, l'autre fois...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'était une blague, et je l'ai poussée\nun peu loin, désolée.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe ne suis certes pas une grande fan\nde Brodia, mais vous êtes mon ami.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nEt quand un ami a des problèmes, on l'aide.\nC'est aussi simple que ça.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nPrincesse Hortensia, je... je...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nHé, c'est quoi ces larmes ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nEn fait, vous êtes plutôt mignon quand\nvous vous laissez emporter par vos émotions.\nBon... et si on commençait ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nN-Non, ne vous approchez pas. Ne me regardez\npas comme ça...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nAllons bon, c'est quoi le problème, cette fois ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous allez vraiment refuser mon aide après\ntout ça ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nVous me considérez comme un ami,\nvous avez accepté de m'aider...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nPrincesse Hortensia... Vous êtes, sans l'ombre\nd'un doute, une personne formidable.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nMais plus je vois votre caractère exceptionnel,\nplus je sombre dans le désespoir...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nVotre cœur rayonne tellement de bonté qu'il\nexpose le mien pour ce qu'il est, une immondice\nrongée par les vers.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nスタルーク\nAlors je vous en prie, ne vous approchez pas\nde moi ! Épargnez-moi ! Je suis tellement,\ntellement désolééé !\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nCe garçon a vraiment élevé l'auto-flagellation\nau rang d'art.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPrince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nPrincesse Hortensia !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nAvant que vous ne vous sauviez, je dois vous\ndire que j'ai renoncé à essayer de vous aider.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe ne crois pas qu'il existe un moyen de vous\nfaire subitement gagner en assurance.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nÇa semble être la bonne décision. Je sais que\nc'est moi qui ai d'abord demandé votre aide...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nOuais, et c'était plutôt cavalier.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nJe comprends. Encore une fois, excusez-moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nPour me racheter, je vous prie de m'ignorer,\ndorénavant.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon. Je refuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nÉcoutez. Vous n'êtes qu'un pauvre ramassis\nde pessimisme, et ça ne changera peut-être\nbien jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais peu importe, je vous accepte tel quel.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nQuoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe crois comprendre pourquoi vous m'avez\ndemandé de vous aider à avoir confiance\nen vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous avez pensé qu'avec plus de confiance\nen vous, vous arriveriez mieux à vous\nrapprocher des autres, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nEh bien... oui.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nJe pensais qu'avec plus d'assurance, je pourrais\nnouer des liens plus profonds avec les autres...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est tout à votre honneur, mais vous n'avez\npas besoin de devenir quelqu'un d'autre\npour ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nD'accord, vous avez le cafard en permanence.\nMais on s'en fiche, vous avez aussi plein\nde qualités.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nEt c'est pour ça qu'on est amis. Vous n'avez\nrien à changer.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nVraiment ? Merci, Princesse Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nBah ! J'ai juste été honnête.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nVous êtes honnête, et bienveillante. Je sens\nle rayonnement de votre cœur, et pourtant...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nCette fois, je peux rester à vos côtés. C'est\npeut-être parce que je vous comprends mieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nHé ! Mais c'est que vous me regardez\ndans les yeux !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nEn effet. Je veux me rattraper pour la façon\ndont je me suis comporté. J'ai honte d'avoir\npris la fuite devant vous...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nSauf que maintenant, euh, vous êtes vraiment\ntout près, là...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nHé, vous êtes un prince. Vous n'avez pas\nle droit de me... regarder comme...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nHé, mais c'est moi qui fais ça, normalement !\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0C\nスタルーク\nPrincesse Hortensia ?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nHé hé. Maintenant, je sais ce que ça fait\nde parler avec moi.\x0E\x04\x00\x00
