MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08リュール\nQu'est-ce que vous faites, Zelkov ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nBienvenue. Voici le lieu *intéressant* dont\nje vous ai parlé. Mon sanctuaire personnel.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nIncroyable ! Je n'avais jamais vu des étagères\naussi fournies !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est ici qu'est *rassemblé* le bric-à-brac\nqui me sert à tuer le temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nDes techniques *culinaires* de mon cru, la carte\nd'un trajet de randonnée connu de moi seul...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nUn manuel d'entraînement que j'ai mis au\npoint, une pierre que j'ai polie jusqu'à ce\nqu'elle *scintille*...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nIl y a même des boules de *poils* que j'ai\nconservées pour une raison qui m'échappe\naujourd'hui...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vous passe les détails. Un inventaire complet\nprendrait des *heures*.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\n*Chacun* de ces objets m'a aidé à tuer\nle temps. Libre à vous d'y jeter un œil si\nle cœur vous en dit.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nMerci ! En voilà, un sacré butin...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nJe consacre mes soirées à ce genre *d'activités*\nlorsque j'en ai terminé avec mes tâches du jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nPour faire *durer* le plaisir, je m'arrange pour\nlaisser certaines choses inachevées en vue du\nlendemain.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nAinsi, il me reste un projet à réaliser.\nUne *raison d'être*.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nVous êtes décidément un vrai philosophe.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nVous... Vous le pensez sincèrement ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nQuoi qu'il en soit, je vous remercie de votre\npatience. J'espère ne pas vous avoir *ennuyé\x0E\x0A\x00\x06
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nCertainement pas ! J'ai encore beaucoup de\nchoses à découvrir sur vos étagères !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nHé hé. Vous m'honorez. Prenez tout le *temps*\nque vous voulez.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai terminé ma journée. J'ai tout le loisir de\n*tuer le temps* jusqu'à ce que le sommeil\nme gagne.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nAh, Zelkov ! Je vous *attendais* !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nVotre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nJ'ai fini mes tâches plus *tôt* que prévu,\naujourd'hui. D'où ma présence *ici*. J'espère\nque je ne vous *dérange* pas !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nPas le moins du monde... Seulement, vous avez\nune façon mystérieuse de vous exprimer. Vos\nparoles cachent-elles un sens qui *m'échappe* ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nPeut-être bien. À croire que vous avez *déteint*\nsur moi, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nVous auriez tort de m'imiter. On risque de vous\n*prendre* pour un drôle d'oiseau...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nEt alors ? Ça m'est *égal*.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nIl n'y a *rien* de mal à philosopher et à *tuer\nle temps* tout en adoptant un ton *mystérieux*.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vous en prie, Votre Divinité ! Ne vous laissez\npas *influencer* par quelqu'un comme moi !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nPourquoi *pas* ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nNos vies n'ont rien de comparable. Vous avez\nun *rôle* important à jouer.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nJe ne suis pas un exemple à suivre. Je vous prie\nd'agir en *adéquation* avec votre stature.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nNon, je n'en ai pas *envie*. Pas dans cette\npièce, en tout cas.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nIl est vrai qu'un *gouffre* nous sépare, *Zelkov*.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nMais dans *cette* pièce, nos *différences* n'ont\n*aucune* importance.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nNous sommes occupés à *tuer le temps*, voilà\ntout.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nJe regrette profondément de vous avoir\nembrouillé l'esprit avec ces *sornettes*.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nNe vous excusez pas. J'aimerais en *savoir*\ndavantage sur votre *collection*.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nFort bien. De quoi vais-je pouvoir vous parler ?\nAh, j'ai *quelque chose* qui pourrait vous\nintéresser...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nLa liste des mots qu'il est bon de mettre\nen *exergue* au sein d'une phrase pour\n*donner l'illusion* d'un sens profond.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nOh ! Voilà qui est *intéressant* !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vous *attendais*, Votre Divinité. Asseyez-vous,\nje vous prie.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nDe quoi allez-vous me parler aujourd'hui,\nZelkov ?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nEh bien, je vais vous raconter une *histoire*...\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nUne histoire ?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nCelle qui m'a conduit à devenir celui que je suis.\nCelle qui explique pourquoi j'ai besoin\n*d'occuper mon esprit* pour aller de l'avant.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nIl s'agit d'une histoire bien *lugubre*, j'en ai\npeur. Mais je n'ai guère le choix, si je veux\nque vous compreniez.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nQuand j'étais enfant, ma famille a été attaquée\net *massacrée* par des bandits.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nC'est terrible...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai juré de les *venger*. Ce fut ma première\nvocation et j'ai embrassé la vie d'assassin.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nIl y a dix ans, mes *efforts* ont porté leur\ndernier fruit. Tous les assassins de ma famille\nétaient vaincus.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nAyant atteint mon objectif, je me suis rendu\ncompte que je n'avais plus de *raison d'être*.\nAucun but.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est le roi Hyacinth qui m'a sauvé. Par un\ncaprice du sort, j'ai été *choisi* pour intégrer\nla garde royale.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai ensuite été *promu* au rang de vassal,\net ce *poste* m'a depuis toujours tenu occupé.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEt aujourd'hui, je me *tiens* devant vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nMerci de m'avoir dit tout ça. Mais je ne suis\npas sûr\x0E\x0A\x00\x06
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'aimerais que vous vous joigniez à moi dans\nma quête perpétuelle de sens, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nPardonnez ma stupidité. J'aurais dû *savoir*\nque vous ne voudriez jamais d'une telle chose.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nAu contraire. Il n'y a rien que je désire\ndavantage.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nJe songe d'ailleurs depuis un certain temps\nà vous remettre ceci. Le moment semble\napproprié.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nL'Anneau du *Pacte*...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nQue ce soit pour atteindre de nouveaux\nsommets ou simplement pour tuer le temps,\nje souhaite vous apporter mon soutien.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nVous n'êtes pas en train de vous *moquer*,\nj'espère ?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nBien sûr que non. Me pensez-vous capable\nde plaisanter sur un sujet aussi important ?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nNon. Alors j'accepte. Avec joie.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nEn retour, j'aimerais que vous acceptiez ceci,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nUn collier ? Il est splendide.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nChacun de ses éléments représente une facette\ndu respect et de l'affection que j'ai pour vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nJ'apprécie beaucoup, Zelkov. Merci.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nVous savez, je viens de remarquer...\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nJ'ai l'impression que votre façon de parler est\ndifférente, mais je n'arrive pas à dire en quoi.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nHé hé. Vous avez raison. Je n'ai plus besoin de\nm'exprimer comme si mes paroles cachaient\nun sens plus profond.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est sans doute parce qu'à mes yeux, rien\nne pourrait dépasser la profondeur de notre\nconversation.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Je suis flatté\x0E\x0A\x00\x06
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nÀ présent, j'aimerais entendre comment vous\navez choisi les différents matériaux de ce\ncollier.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nAvec plaisir. Je vais vous raconter toute sa\nconception, du début à la fin.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0A\x08ゼルコバ\nEt je vous expliquerai en quoi chaque choix\nque j'ai dû faire a été guidé par l'affection\nque je vous porte.\x0E\x04\x00\x00
