MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nOooh, regardez ce que j'ai trouvé là !\nUn Alfred ! Si je m'attendais à en dénicher\nun dans un endroit pareil !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nJ'ai beaucoup de choses à cacher.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nEt je n'ai aucune envie de vous mentir, mais\nsi vous me mettez dans une telle situation,\nje n'hésiterai pas une seconde.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nC'est largement préférable aux ennuis auxquels\nvous vous exposez en en apprenant trop sur\nmon compte.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nJe regrette qu'il en soit ainsi, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon, j'ai compris. Je n'insisterai pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe ne suis pas là pour te mettre mal à l'aise.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nJ'apprécie, Alfred. Sincèrement.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais la dernière fois, j'ai dit que je voulais\nte parler davantage, et je n'ai pas renoncé.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nOn n'est pas obligés de discuter de sujets\npersonnels. On peut très bien parler d'autre\nchose. Nos fleurs préférées, par exemple.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nOui ! Excellente idée ! Bientôt, votre cerveau\nsera rempli d'anecdotes bizarres au sujet\ndes armes !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nC'est quand même bizarre, quand on y pense...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nOù serais-je si je n'avais pas entendu la voix\nde Micaiah dans l'anneau... Pas ici en tout\ncas, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nC'est assez troublant de songer que ce\nchangement radical dans ma vie est survenu\nsuite à une simple coïncidence.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nNan. Ce n'est pas par hasard si tu es à nos\ncôtés désormais.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est ta nature qui t'a conduite ici.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu es là parce que tu voulais que le souhait\nde Micaiah soit exaucé.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est grâce à ton grand cœur que nous\ncombattons maintenant côte à côte, et je suis\nbien content de t'avoir dans l'équipe !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nAh... Arrêtez votre char, Alfred !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nS'il y a quelqu'un qui a un grand cœur ici,\nc'est vous. Sincèrement.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nComparée à vous... Je ne suis rien\nqu'une trouillarde.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nJ'ai dissimulé ma véritable identité, j'ai voilé\nmon passé, uniquement pour m'intégrer ici.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nSi vous saviez la vérité à mon sujet, je serais\ndans de beaux draps.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nJe doute que vous vous contenteriez de me\nmépriser. Vous voudriez sûrement me faire\npayer, plutôt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Non. Non, je n'en ferais rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nComment ça, vous n'en feriez rien ?!\nVous ne pouvez pas décréter que vous\nn'en feriez rien, juste comme ça !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nJe vous ai bourré le crâne avec des histoires\nd'armes ! Vous ignorez tout à mon sujet !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nVous ne pouvez pas m'accepter telle que je\nsuis puisque vous ignorez qui je suis. Ce n'est\npas possible... C'est injuste.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh bien alors, c'est injuste. Ça ne va pas\nm'empêcher de dormir.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nPas plus que le fait de ne pas connaître\nton passé, d'ailleurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai confiance en toi, Yunaka. J'aurai toujours\nconfiance.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nFranchement, Alfred...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe n'ai pas besoin de justifier la confiance\nque tu m'inspires.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nPas plus que tu n'as besoin de me prouver\nque tu en es digne.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nVous êtes... vraiment bizarre.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nDéjà moi, je ne suis pas commune, mais alors\nvous, vous êtes vraiment un drôle d'oiseau.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa ha ! On peut le dire !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt puisque nous sommes deux drôles d'oiseaux,\nj'espère que notre amitié durera longtemps.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ユナカ\nMoi aussi.\x0E\x04\x00\x00
