MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrincesse Hortensia ! Vous êtes libre, là tout de\nsuite ? Je vous offre une tasse de thé.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nAlors vous passez votre temps à errer sans but\net à courtiser les filles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nJe ne courtise personne, je patrouille.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, si vous le dites. Vous marquez un point.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nHé ! Vous ne croyez pas que la princesse\nTimerra apprécierait un coup de main ?\nRendez-vous utile !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nHa ha, vous n'y allez pas de main morte !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nMais soit. Si vous changez d'avis au sujet de\ncette tasse de thé, et c'est bien là tout ce que\nje vous propose, vous savez où me trouver.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nExcusez-moi, Mademoiselle ! Vous êtes toute\nseule ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais c'est le prince Fogado... qui s'adresse à\nune dame.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nIl essaie de la courtiser, à tous les coups !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nTu parles d'un prince. Il est temps que\nça cesse !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x04\x03\x04
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nAlors vous l'aidiez à porter ses affaires ?!\nRien de plus ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nÉvidemment ! Qu'est-ce qui vous a pris d'entrer\ndans une rage pareille ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nPardonnez-moi. J'étais loin d'imaginer que\nvous consacriez votre temps à aider les gens...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\nJe vous ai dit que je patrouillais en ville. Je vais\nà la rencontre des gens et j'essaie de les aider.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe suis désolée, j'ai eu tort de douter de vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nCe n'est rien, j'ai l'habitude !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nSi c'est comme ça, je vous tiendrai compagnie.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nVraiment ? Merveilleux ! À quelle heure\ndégusterons-nous le thé ensemble,\ndans ce cas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais non, idiot ! Je vous accompagnerai dans\nvotre patrouille pour aider les gens.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nHa ha ha, on s'était mal compris !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nMais très bien, avec grand plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEh ben.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe dois bien admettre que vous êtes étonnant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nÇa y est, vous êtes conquise ? Je regrette,\nmais je vais devoir vous éconduire... avec\ntoute la délicatesse requise, bien sûr !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nNe soyez pas grossier. Ce n'est pas du tout ce\nque je voulais dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nHa ha, pardonnez-moi, je n'ai pas pu m'en\nempêcher ! Que vouliez-vous dire, alors ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous êtes vraiment à l'écoute des problèmes de\nvotre peuple. La princesse Timerra a beaucoup\nde chance de pouvoir compter sur vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'aide ma sœur, moi aussi, mais seulement\ndepuis l'enceinte du château.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nÀ force de patrouiller avec vous, j'ai pu voir\nle reste du monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nEt j'en viens à me demander si mon aide\napporte vraiment quelque chose à Ivy...\nou bien si je me raconte des histoires.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nOh, ça me parle, ça. Le syndrome du seau.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu seau ? Comment ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nMa sœur a énormément d'obligations.\nEt l'aide que je peux lui apporter est très\nlimitée.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nEn fait, c'est comme si j'avais un petit seau,\net que je voulais déplacer une dune de sable\npour elle. Vous voyez ce que je veux dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nHm... Vous avez raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nHm hm.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous êtes plutôt sympa, en fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nIl était temps que vous en rendiez compte !\nAlors, cette tasse de thé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nÇa, c'est une autre histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais nous pouvons patrouiller ensemble autant\nqu'il vous plaira.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nMa foi, c'est toujours ça. En route, alors !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nBrigade des seaux, en avant toute !\x0E\x04\x00\x00
