MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nPrince Alfred, pourriez-vous consentir\nà une rapide dégustation ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nJe cours rassembler les ingrédients. Veuillez\nêtre patient, c'est un peu long à mijoter.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi ton plat règle mon problème de muscles,\ntu peux prendre tout ton temps !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nHmm... Elle a une petite note sucrée...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est la fleur que je t'ai rapportée de Firene ?\nAlors ? Elle... elle est à ton goût ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nOui. Mes papilles se livrent à une somptueuse\ndanse royale. Cette fleur ferait des merveilles\ndans une salade.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nAinsi, tel est le goût royal de Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nOui, enfin, c'est juste une fleur.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nBref ! Il paraît que tu ne manques pas\nde besogne en ce moment...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nJe n'ai pas ménagé mes efforts pour concocter\nun plat propre à donner un peu de relief à vos\nmuscles.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nEt il est enfin prêt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nMerci !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe n'ai qu'à l'ingurgiter et je vais voir pousser\nles muscles dont j'ai toujours rêvé, c'est\nbien ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nEn théorie, oui.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nÉvidemment. Rien n'est jamais certain.\nMais ça vaut le coup d'essayer !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nTout à fait. Dans ce cas, je vais vous servir.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x04\x03\x04
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nAlors, qu'en dites-vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nOn dirait... de la viande.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nDe la viande cuite dans une sauce à\nla viande, sur un lit de viande finement\némincée...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nEh bien, oui. Puisque la viande naît des muscles,\nles muscles doivent naître de la viande.\nTel fut mon postulat de base.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nJ'en ai conclu que plus on ingurgitait de viande,\nplus les muscles se développeraient.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nCette conclusion semble logique. T'as l'air\nd'avoir planché sur la question un moment !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt pour te prouver ma reconnaissance,\nje vais me bâfrer comme je l'ai jamais fait !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nCompte les secondes ! Miam, groumpf...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ボネ\nQuel féroce appétit. Je suis bien aise de voir\nmes plats appréciés ainsi... sans délai.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x06\x04ボネ\nSemons ces graines de viande et espérons\nque la force d'un taureau éclose bientôt.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x06\x04ボネ\nJ'ignore encore si cela marchera... Mais qui\nsait ? Il peut y avoir un miracle.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBunet...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nVotre Altesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai engouffré tous les plats que tu m'as\npréparés, et je suis toujours aussi maigrichon.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nAinsi, j'ai échoué. Je vous présente mes plus\nplates excuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, tu n'y es pour rien ! Tu as fait tout ce que\ntu pouvais, ça sautait aux yeux.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt, ce qui ne gâche rien, les plats étaient\nsucculents. Tu as amplement mérité\ntous mes compliments.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon, le problème, c'est moi. Faiblard je suis,\nfaiblard je resterai.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nVoyons, ne soyez pas si dur avec vous-même...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nIl se peut que ce régime de renforcement ne fût\npas adapté à votre silhouette élancée.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nMais vous ne l'aurez pas suivi en vain. Toute\ncette viande a occasionné un changement\nd'une autre nature.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai du mal à te suivre.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nNotre saveur. La vôtre ainsi que la mienne.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nOn a une saveur, maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nNous étions fades et secs. Puis, en nous\nrapprochant, nous sommes devenus\nplus goûteux.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nCette formule n'est peut-être pas judicieuse...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon, je comprends ! Chacun de nous a fait\nressortir des saveurs chez l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nAvant, on était rien que des ingrédients crus.\nMais maintenant, on relève de... du mélange\nhautement gastronomique !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nC'est exactement ce que je voulais dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nJe me surprends dorénavant à songer souvent\nà votre bouillonnant entrain, et non sans\nune certaine affection.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nComme quoi, on a raison de dire que pour\ntoucher le cœur d'un homme, il faut passer\npar son estomac.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nC'est ce que j'ai toujours pensé, et c'est\npourquoi je serais ravi de vous mijoter\nd'autres petits plats.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh oh, vrai de vrai ? Et à quoi tu penses ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nJe verrais bien un assortiment de légumes\nréhaussé par l'une de vos fleurs si sucrées.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ボネ\nÉventuellement accompagné de poisson grillé,\npour compenser l'abondance de viande de la\ndernière fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nT'écouter suffit à me mettre en appétit.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nContinuez à vous nourrir de ma pitance et...\nqui sait ?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nPeut-être le jour viendra où vous aurez\nle corps que vous désirez.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nTout ce que j'espère, Bunet...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est que le jour vienne où mes muscles\nseront aussi costauds que notre amitié !\x0E\x04\x00\x00
