MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nVoilà. Il n'y a plus qu'à les ranger et à\nles emporter.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nJ'y veillerai, merci.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nEncore trois voyages, et ça devrait être bon.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nTiens, vous déplacez des caisses ?\nLaissez-moi vous aider.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nC'est fort aimable de votre part, Messire Rafal,\nmais ce ne sera pas nécessaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nラファール\nMa carrure vous en fait peut-être douter,\nmais je dispose largement de la force requise\npour m'acquitter de cette besogne.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nJ'en suis certain.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Mais pourquoi tenez-vous tant à m'aider ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nラファール\nMes efforts pour vous être utile vous\nimportunent-ils ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nNullement, mais j'avoue que je m'interroge\nà leur sujet.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Peut-être que si vous m'en exposiez les raisons,\nje serais plus enclin à les recevoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nCela semble vous être difficile.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Je n'ai pas l'intention de vous contraindre.\nQuand vous serez disposé à m'expliquer,\nje serai prêt à vous écouter.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	En attendant, je retourne à ma tâche.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\n... J'aurais dû me douter qu'il s'en apercevrait.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Je dois décider de ce que je lui dévoilerai.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	C'est une décision difficile, et il me faut être\nsûr de moi avant de lui parler à nouveau.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nMauvier, il faut que je vous parle.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nTrès bien. À quel propos ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nLa conversation que nous avons eue\nauparavant. Il y a quelque chose que\nvous ignorez.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nEst-ce au sujet de votre propension à\nm'aider à tout bout de champ ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nラファール\nEn effet. Il y avait un nommé Mauvier dans mon\nmonde, et il vous ressemblait beaucoup.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	C'est moi qui ai causé sa mort.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nAinsi, vous cherchez à expier une faute.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nラファール\nCe n'est pas ce que j'ai... Argh !\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Il y a peut-être de cela. La culpabilité qui\nme ronge constitue un lourd fardeau.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nCe n'est pas à moi que vous avez fait du mal,\nMessire Rafal, même si je vous évoque\nfortement cette personne.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Aussi cruel que soit votre tourment,\nje ne puis ni accepter vos excuses, ni\nvous accorder un quelconque pardon.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\nVous avez raison. À vos yeux, mon récit n'est\nqu'une fable au sujet d'un complet étranger.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nTout à fait. Quelque propos que je vous tienne,\nmes paroles vous sembleraient vides de sens.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Vous devez explorer d'autres pistes.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\nVoilà de sages paroles.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Rien de ce que je pourrais faire pour vous\nne rachèterait les fautes que j'ai commises.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Ma sollicitude dérisoire n'est rien d'autre\nqu'une tentative puérile de soulager\nmon amour-propre.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nSi cela peut vous consoler, je ne comprends\nque trop bien votre douleur.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	J'ai moi aussi de lourdes fautes à expier.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nJe vous souhaite d'y parvenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nNi vous, ni moi ne sommes en mesure\nde modifier le passé. Nous ne pouvons\nque nous efforcer d'améliorer l'avenir.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Si nous pouvons rendre le monde meilleur\nqu'il ne l'était avant que nous ne l'entachions,\nce sera déjà quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nVotre exemple est édifiant. Peut-être qu'en\nm'en inspirant, j'allégerai mon fardeau.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nJe serais ravi qu'il en soit ainsi.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Mais ces caisses ne vont pas se déplacer\ntoutes seules. Voulez-vous m'aider ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nBien sûr.\x0E\x04\x00\x00
