MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nVos jeux de filou ne m'intéressent pas, Zelkov.\nDites-moi plutôt ce que vous cherchez.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nVous avez peut-être raison. Cela dit, que nous\nreste-t-il à *discuter*, d'après vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nJe ne tiens *pas* particulièrement à m'étendre\nsur les raisons qui m'ont poussé à exercer\nce métier.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est une histoire tragique qui risquerait de\nrendre l'ambiance quelque peu *pesante*.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nComme je vous comprends. Je dois reconnaître\nque ce pan de mon passé me hante encore\naujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nIl en va de même pour moi. Même les\n*épreuves* les plus terribles que nous vivons\naujourd'hui ne sont rien en comparaison.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nMais j'ai le sentiment que vous n'avez pas\n*choisi* de consacrer votre vie au crime.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nQu'est-ce qui vous fait dire ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIl me suffit de vous observer pour constater\nque vous n'avez *aucun* remords.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'en déduis que vous ne vous sentez pas\n*responsable* de ce qui est advenu.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nBien vu...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nDe plus, c'est en tournant le dos à votre\nancienne vie que vous avez *façonné* la\npersonne que vous êtes aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nEn un sens, vous êtes comme une fleur qui\na *poussé* sur les ruines du passé.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nBelle analogie. Merci pour votre analyse.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ユナカ\nLes mots ont un poids, Zelkov. Et ceux que\nvous prononcez sont tous pesants et massifs.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nPourtant, je me sens plus légère après les avoir\nentendus. C'est peut-être à cause du lien qui\nnous unit.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nVous me flattez.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nJ'ai réfléchi à ce que je ferai quand tout sera\nterminé. Quand le monde aura retrouvé\nla paix.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nCe que je souhaite le plus, c'est de m'allonger\nquelque part, les pieds en éventail. Me détendre\net ne plus penser à rien !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nUne *vision* charmante, à n'en pas douter.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nLe cas échéant, je compte sur vous pour\nme rendre visite à l'occasion.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nAvec grand plaisir. Il n'y a qu'avec vous que\nje suis en mesure d'aborder *certains* sujets.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ユナカ\nOh, ce serait vraiment top ! Ce sera l'occasion\nde nous faire des super coiffures, de parler\narmes, et de mille autres choses encore !\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nTrès bien... Ce sera donc notre objectif\n*commun* !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nÇa me convient. Nous partageons un sombre\npassé, mais notre avenir sera lumineux.\x0E\x04\x00\x00
