MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nBonjour, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nL'appréciation générale ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nEh bien oui, que ce soit par des sourires ou\ndes compliments. Je veux qu'on apprécie\nmes œuvres, peu importe comment.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nChaque fois que j'entends qu'on aime\nune de mes esquisses, je suis aux anges\net ma motivation monte en flèche !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nC'est effectivement grisant de savoir\nque notre travail est remarqué et apprécié.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nEn tout cas, nous y sommes presque.\nEncore un petit effort !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nIl est important de retranscrire fidèlement un\npanorama, mais le voyage qui y conduit est\nimportant aussi. Profitons-en, tous les deux !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nRosado, à vous l'honneur.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nRosado, l'esquisse que vous avez faite de\nce dernier paysage est tout simplement\népoustouflante.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nJe l'ai vue au café. Pas une personne n'est\npassée devant sans s'arrêter pour la contempler.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nOh, ça me fait vraiment plaisir ! Ça valait\nle détour, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nEffectivement. Même si nous avons manqué\nde nous noyer en traversant la rivière.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nEt que dire de cette meute de loups qui nous\na poursuivis ? J'ai vraiment cru que nous\nallions y rester...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nEnfin, tout ça, c'est du passé. Ce panorama que\nnous avons trouvé en valait vraiment la peine.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nEncore merci de m'avoir accompagné.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nSans votre aide, je n'aurais jamais pu\nfaire ce dessin.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nJe voulais vous demander, Rosado...\nVotre passion pour l'art n'est-elle là que pour\nassouvir vos envies d'être apprécié ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nEn vous regardant dessiner ce jour-là,\nj'ai eu l'impression que l'appréciation des\nautres n'était pas votre seul objectif.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nEuh... Sûrement ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ロサード\nLe monde comporte tant de splendeurs.\nMais la plupart des gens n'auront l'occasion\nd'en voir qu'une infime portion.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nC'est vrai. Le monde est si vaste\nqu'il est impossible de se rendre partout.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ロサード\nC'est quand même dommage, vous ne\ntrouvez pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nLe monde regorge de beautés uniques et\nprécieuses, dont certaines n'ont même pas\nde nom.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nJe serais heureux de montrer aux gens un peu\nplus de la diversité qu'on trouve en ce monde...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nAinsi, j'aurai contribué à un monde où les gens\ns'acceptent les uns les autres, tels qu'ils sont,\nmalgré leurs différences.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nVous voulez ouvrir les esprits en présentant aux\ngens des choses qu'ils ne connaissent pas.\nJe ne vous savais pas si philosophe.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nHa ha ! Je suis peut-être juste\nen train de crâner.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nJe ne crois pas. J'ai un profond respect pour\nvous, Rosado. Et il ne fait que croître.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nMerci. Ça compte beaucoup pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nVous voudrez m'accompagner pour\nma prochaine quête de paysage à capturer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nBien sûr ! J'ai hâte de voir ce que vous\nsouhaiterez me montrer !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nVotre Divinité, vous me trouvez charmant,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nBien sûr. Adorable, même !\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ロサード\nSi nous sommes d'accord, c'est parfait,\ncela devrait même me faciliter la tâche.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ロサード\nÉtant donné que vous ne connaissez personne\nde plus charmant, j'aimerais vous donner\nquelque chose.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nAh, eh bien d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ロサード\nTenez. Qu'en dites-vous, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nUne barrette ? Elle est très jolie.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ロサード\nVous n'en trouverez pas de plus belle.\nElle vient de chez moi, du village des fées.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nJe vous remercie, mais pourquoi voulez-vous\nme la donner, à moi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ロサード\nEh bien, parce qu'en la portant, vous aurez\nun charme inégalable. Vous deviendrez l'être\nle plus charmant au monde.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ロサード\nOui ! Vous pouvez me faire confiance,\nje suis expert en la matière.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08ロサード\nVous seriez l'être le plus charmant dans\nvotre vie, mais aussi dans la mienne.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ロサード\nVous devez savoir combien ça me coûte,\nd'admettre une chose pareille.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08ロサード\nMais je dois me faire une raison. Vous êtes\nquelqu'un de très spécial pour moi,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nVoilà qui mérite vraiment mon appréciation.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08ロサード\nHé hé ! Pardon ?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nJe suis content\x0E\x0A\x00\x06
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nVous êtes mon meilleur ami. Je suis très\nheureu\x0E\x0A\x00\x0A\x02x\x04se d'avoir une place dans votre\nexistence.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ロサード\nOh, Votre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nMoi aussi... J'aimerais vous donner\nquelque chose.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08ロサード\nL'Anneau du Pacte ? C'est un cadeau si\nprécieux ! Vous êtes sûr\x0E\x0A\x00\x06
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nAllons, je ne peux pas vous parler de mon\nappréciation sans rien faire pour la manifester.\nCe geste est à la hauteur de mes sentiments.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08ロサード\nAlors, je l'accepte avec joie. Cet anneau\nest adorable. Ça ne m'étonne pas qu'il\nvienne de vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ロサード\nEt puisqu'un anneau aussi mignon va avec\ntout, je crois bien que je le porterai tout\nle temps !\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nNe vous en privez pas, rien ne me ferait\ndavantage plaisir.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08ロサード\nCet anneau sera le témoin de notre amitié\néternelle, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ロサード\nPeu importe ce qu'il nous arrivera, tant que\nvous le verrez à mon doigt, vous saurez\nque je suis là pour vous.\x0E\x04\x00\x00
