MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVoyez-vous ça ! La princesse Céline, de Firene !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nEn effet. Je ne saurais me soustraire à\nmes responsabilités.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nToutes ces contraintes ne vous épuisent-elles\npas ? Je serais bien incapable d'en faire autant.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nLa vie d'une princesse n'est pas exempte\nde contrariétés, mais j'y puise également\ncertaines joies.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nVraiment ? Je vous avoue que c'est difficile\nà croire.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nDans ce cas, je te décrirai plus avant les plaisirs\nque j'en retire lors de notre prochain entretien.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nAlors, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nOui. C'est ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nJe ne comprends pas. Comment un tableau\npeut-il vous apporter de la joie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nIl représente votre royaume et est exécuté\nde main de maître. Mais en dehors de cela,\nje ne vois pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nAinsi que nous le disions, la vie d'une princesse\nn'est pas sans contrariétés.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nMais contempler mon peuple vivant en paix\nme procure un grand plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nIl est vrai qu'il émane de cette toile beaucoup\nde joie et de sérénité.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSi je peux m'assurer que l'existence de mon\npeuple est douce et prospère, alors mes efforts\nne seront pas prodigués en vain.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nVous éprouvez de toute évidence un amour\nprofond pour votre pays.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nCela va sans dire !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nJe comprends maintenant ce qui rend\nles princesses heureuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nPour ma part, je trouve mon bonheur\nen croisant le fer avec des combattants\nà ma hauteur !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAh, oui... Tu désirais t'entraîner avec moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nSi d'aventure tu tentais de t'en prendre à\nFirene, tu affronterais un adversaire terrible\net sans merci en ma personne.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nJ'ai beau être curieux de vous voir terrible\net sans merci, je ne suis pas prêt à payer\nce prix.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha ha, tu m'en vois soulagée.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nPuisque nous ne pouvons pas croiser le fer,\npartageons une tasse de thé.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nVous sélectionnez toujours les meilleures\nfeuilles.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nVoilà un projet plus plaisant. Un projet\nqui ne compromettra pas notre amitié.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nEntretenir notre amitié a toujours été mon but !\x0E\x04\x00\x00
