MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBonjour, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe te défie à un combat singulier de\ncordons bleus.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nTu veux dire... une sorte de duel culinaire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nExactement. Nous afficherons nos talents,\net laisserons les autres nous départager.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nD'accord, pourquoi pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBien. Je te communiquerai les détails dès\nque tout sera réglé. Prépare-toi seulement\nà cuisiner du poisson.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt prépare-toi surtout à te faire tellement\npulvériser que tu ne seras plus bonne qu'à être\nsaupoudrée sur quelque plat de seconde zone.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nL'heure est venue. Prête à mijoter du poisson ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPas tout à fait.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nQu'est-ce qui va pas ? Je croyais que\ntu allais me pulvériser.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe n'en suis pas fière, mais... Je n'ai pas\nréussi à mettre la main sur un poisson\ndigne de ce nom.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nVraiment ? Quel dommage. Regarde ce que j'ai\nremonté, moi : l'espèce la plus rare qu'on puisse\npêcher dans les parages.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLe duel n'a même pas encore commencé,\net j'ai déjà perdu.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nMais non, voyons. Tiens, j'en ai pêché\nun autre pour toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt pourquoi me le donnerais-tu ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nCe serait pas juste de le garder pour moi.\nOn est là pour un duel de cuisinières, pas\nun combat de pêcheuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est vrai...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci, Saphir, pour ce geste plein de noblesse.\nTa gentillesse me va droit au cœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais aussi important que soit ce duel pour\nmoi, je ne peux pas te laisser me surclasser\nen noblesse non plus.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors... accepte ceci.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nQu'est-ce que c'est ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDes herbes rares. Ce n'était pas une sinécure\nde mettre la main dessus, mais il serait indigne\nde ne pas les partager maintenant.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nTu n'exagères pas, ces herbes sont impossibles\nà dénicher ! Merci, Goldmary, tu es quelqu'un\nde bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nAllons, aux fourneaux ! Que la meilleure\ncuisinière l'emporte !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTout à fait. Tu vas donc mordre la poussière.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nLe duel culinaire a tourné au festin, Saphir...\nJe peux dire avec fierté que nous sommes\nde niveau égal.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nザフィーア\nOui, c'était un grand moment. Il y a aucune\nhonte à arracher une égalité avec une cuisinière\naussi douée que toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nMais aussi serré qu'ait été notre duel...\nC'est pas ce qui m'a le plus plu.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nLe plus beau, c'était de voir tous ces visages\nradieux dévorant nos plats.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLes convives semblaient tellement épuisés\navant qu'on ne se mette à l'ouvrage.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais une fois leurs assiettes remplies, il n'y\navait plus que des visages épanouis autour\nde la table.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nOui. On a fait des heureux.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSaphir, je dois t'avouer que ton attitude lors\nde notre duel m'a beaucoup émue.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nAh bon ? Et comment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi j'ai pu me mettre aux fourneaux, c'est\nuniquement parce que tu as partagé tes\nprises avec moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSans ta générosité, je n'aurais recueilli\nque les rires moqueurs de l'assemblée.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt tandis que tu pouvais m'humilier d'un mot,\ntu n'as rien dit et tu es passée à autre chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nHa ha ! Tu plaisantes ? Je pourrais en dire\nautant à ton endroit, tu sais.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe ne vois pas comment.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nLes herbes que tu m'as données étaient au\ncœur de ma recette. Je n'aurais rien pu faire\nsans elles.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nEt tu n'as pas non plus fanfaronné à ce sujet,\nque je sache ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHi hi !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nQu'est-ce qui te fait rire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÇa me ressemble si peu de m'abstenir,\nen l'occurrence.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEn temps normal, j'aurais fait en sorte que\ntout un chacun sache qu'on devait ces herbes\nà mes soins diligents.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais cette fois-ci... J'imagine que ta bonté\na déteint sur moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nザフィーア\nVoilà qui me touche beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu sais, j'aimerais bien réitérer l'expérience.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe ne parle pas de compétition. Nous pourrions\nsimplement faire profiter les gens d'un autre\nrepas.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nザフィーア\nBonne idée. On pourra aussi leur servir autre\nchose que du poisson, pour changer un peu.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nザフィーア\nPar contre, j'évoluerai en terrain inconnu pour\nle coup, et j'aurai besoin de tes lumières.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe serai ravie de t'enseigner quelques\ntechniques.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nComme ça, tu pourras me remercier à ton tour\npour ma bienfaisante influence.\x0E\x04\x00\x00
