MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nDans les ténèbres insondables de votre solitude,\nrêvez-vous que la lumière vous appartienne ?\x0E\x04\x02\x00
MID_OP3_#010	\x0E\x03\x02\x10\x0EE003_イル\nAu contraire. Les Quatre Zéphyrs nous ont\nsauvé la vie un nombre incalculable de fois.\x0E\x04\x02\x00
MID_OP3_#011	Ma sœur et moi-même sommes fiers de\nvotre travail.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nJe vous remercie pour ces paroles, Messire Nil.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x10\x0EE003_エル\nMaintenant que nous avons semé l'ennemi,\nfaites-nous votre rapport, Gregory.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nQuelque chose se trame en Brodia, le royaume\na commencé à envoyer des soldats hors de\nses frontières.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE003_エル\nJe n'aurais jamais imaginé que Brodia puisse\nprojeter une invasion. Où ont-ils été envoyés ?\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x16\x14E003_グレゴリー\nJe l'ignore. Quelle que soit leur destination,\nc'est un secret extrêmement bien gardé.\x0E\x04\x02\x00
MID_OP3_#017	Mais d'après les informations dont je dispose,\nil semble que Brodia cherche à obtenir les sept\nbracelets.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x0A\x08リュール\nIntéressant. Peut-être que Brodia poursuit le\nmême objectif que nous en cherchant à les tenir\nhors de portée de notre mystérieux ennemi ?\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E003_グレゴリー\nJe doute que ce soit leur but, ils semblent\nplutôt vouloir s'approprier le pouvoir des\nbracelets.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0A\x08リュール\nPourquoi une nation pacifique chercherait-elle\nà gagner davantage de pouvoir ?\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x10\x0EE003_イル\nLes bénéfices octroyés par les Bracelets\nd'Emblèmes lorsqu'ils sont réunis varient\nselon les circonstances...\x0E\x04\x02\x00
MID_OP3_#022	Lorsqu'ils sont éveillés, les sept Emblèmes\nconfèrent, comme vous le savez déjà,\nun immense pouvoir.\x0E\x04\x02\x00
MID_OP3_#023	Mais lorsqu'ils sont en sommeil...\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE003_エル\nLes bracelets peuvent prémunir de tout mal\nquiconque les rassemble.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nPrémunir de tout mal... Ils rendent invincible ?\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x16\x14E003_グレゴリー\nC'est exact. Ils procurent la défense ultime.\x0E\x04\x02\x00
MID_OP3_#027	Il s'agit là d'un pouvoir inestimable pour\nune nation qui répugne à guerroyer.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x10\x0EE003_イル\nDans ce cas, ils auront besoin des Emblèmes en\nsommeil... Ce qui requiert l'aide de Nel.\x0E\x04\x02\x00
MID_OP3_#029	Ces « assassins » du château de Lythos\npouvaient-ils être des ravisseurs dépêchés\npar Brodia ?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x10\x0EE003_エル\nC'est une possibilité.\x0E\x04\x00\x00
MID_OP3_#031	\x0E\x03\x02\x16\x14E003_グレゴリー\nNous n'avons aucune certitude pour l'instant.\nMais nous savons une chose...\x0E\x04\x02\x00
MID_OP3_#032	Brodia s'apprête à lever une armée.\nTrès bientôt.\x0E\x04\x00\x00
MID_OP3_#033	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\nNous applaudissons votre perspicacité !\nMais nous ne pourrons pas vous laisser\nrepartir en vie, je le crains fort...\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nImpossible ! Je n'ai pas senti la moindre\nprésence s'approcher de nous...\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE003_イル\nNous n'avons pas affaire à des soldats\nordinaires.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x10\x0EE003_エル\nCe sont des membres de la famille royale\nde Brodia.\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x00\x18\x12E003_Hide\x024\n\x0E\x03\x02\x14\x12E003_Hide\nRegarde, Diamant. Nous les avons trouvés.\x0E\x04\x02\x00
MID_OP3_#039	Fais-moi le plaisir de t'en débarrasser sans\ntraîner, cette fois. À moins que je ne doive\ntout faire moi-même ?\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x18\x12E003_Boss\x021\x0E\x03\x02\x14\x12E003_Boss\nJ'espérais les attaquer par surprise, Alcryst.\nMerci d'avoir révélé ainsi notre position.\x0E\x04\x00\x00
MID_OP3_#041	\x0E\x03\x02\x14\x12E003_Hide\nOh... Mon pathétique frère avait donc un plan.\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x14\x12E003_Boss\nNel. Nil. Croyez-moi, je ne tire aucune joie de\ncette situation. J'aurais espéré vous revoir en\ndes termes plus cordiaux.\x0E\x04\x02\x00
MID_OP3_#043	Il va nous être malheureusement difficile\nde ne pas verser le sang...\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE003_エル\nVous réalisez qu'en nous attaquant, vous reniez\nles principes pacifistes fondateurs de votre\nnation...\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x02\x10\x0EE003_イル\nRegarde, Nel. Il porte au bras l'un des bracelets.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x14\x12E003_Hide\nOh, quelle coïncidence ! Vous cherchez aussi les\nbracelets ? Comme votre espion l'a découvert,\nvous n'êtes pas les seuls.\x0E\x04\x02\x00
MID_OP3_#047	Puisque nous partageons le même objectif,\npourquoi ne pas unir à nouveau nos forces ?\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x02\x10\x0EE003_エル\nVous ne parlez pas sérieusement...\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x14\x12E003_Hide\nEn effet. Qu'est-ce qui a vous a mis la puce\nà l'oreille ?\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x14\x12E003_Boss\nLa guerre est un mal qui doit être coupé\nà la racine.\x0E\x04\x02\x00
MID_OP3_#051	Devoir oblitérer d'anciens alliés me fend\nle cœur, mais je n'ai pas d'autre choix.\x0E\x04\x02\x00
MID_OP3_#052	Soldats, aux armes ! Capturez Dame Nel vivante.\nN'épargnez aucun autre.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE003_エル\nLes circonstances exigent que nous\nnous défendions.\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x10\x0EE003_イル\nZelestia. Gregory. Préparez-vous au combat.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nJe suis prête.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nJ'espère m'en sortir sans une égratignure...\x0E\x04\x00\x00
MID_OP3_#057	\x0E\x03\x02\x10\x0EE003_エル\nPréparez-vous aussi, Votre Divinité.\nJ'espère que vous vous battrez comme\nlors du dernier combat.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nVous pouvez compter sur moi.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nIl est regrettable de devoir nous affronter\nde la sorte, mais inutile de tergiverser.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nAttention aux artilleurs magiques de Brodia.\nIls peuvent attaquer depuis une grande distance.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nCe soldat s'apprête à lancer une salve massive.\nAttention, l'attaque couvrira une large zone.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nEmblème Veronica, j'emprunterai votre pouvoir\npour m'arroger les services de nombreux héros.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nNotre Emblème possède un pouvoir immense.\nServons-nous-en avant qu'il ne soit trop tard.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nNotre défaite était prévisible.\nCette tentative était futile...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nSmile\n\x0E\x03\x02\x14\x12E003_Hide\nRéjouissez-vous de m'affronter moi, plutôt que\nmon incapable de frère. Vos souffrances n'en\nseront qu'abrégées en passant de vie à trépas.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\nSi j'avais été à la tête du royaume...\nrien de tout cela ne serait advenu...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nAffronter mon double au combat est bien\nla dernière chose que j'aurais souhaitée...\nMais le sort en décide autrement.\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x1A\x0Cディアマンド\nAngry\n\x0E\x03\x02\x0E\x0Cディアマンド\nAvec une telle attitude, escomptez-vous\nvraiment remporter la victoire ?\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nJe crains que ma victoire ne change rien...\nJ'ignore comment être un bon souverain.\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x05\x01\x1C\x0Cディアマンド\x0CStrike\n\x0E\x03\x02\x0E\x0Cディアマンド\nDéposez les armes. Si vous ne pouvez vous y\nrésoudre, c'est qu'il vous reste encore quelque\nchose à défendre !\x0E\x04\x02\x00
MID_BT5_#005	Si vous êtes réellement un souverain, bon ou\nmauvais, offrez-moi un combat digne d'un roi !\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nAlcryst ? Tu prends les armes contre moi ?\nJe le savais. Tu n'as jamais accepté que\nj'occupe le trône.\x0E\x04\x02\x00
MID_BT6_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nDepuis tout ce temps, je suspectais que tu ne\nprojettes mon assassinat. Tu te dévoiles enfin ?\x0E\x04\x00\x00
MID_BT6_#003	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\nT'assassiner ?! Toi, le frère que je respecte et\nque j'admire ? Je ne ferais jamais cela !\x0E\x04\x00\x00
MID_BT6_#004	\x0E\x03\x02\x14\x12E003_Boss\nDans ce cas, dépose les armes.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nJe ne peux pas. Tu es certes mon grand frère,\nmais tu es aussi mon ennemi...\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x16\nスタルーク\x08Pain\nNon, attends, ce n'est pas ce que je voulais\ndire ! Laisse-moi t'expliquer !\x0E\x04\x02\x00
MID_BT6_#007	Désolé, tout est trop confus pour moi...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nCes retrouvailles ne me réjouissent point.\nNotre affrontement est désormais inévitable.\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nCitrinne ? Que fais-tu ici ?! Tu protégeais\nAlcryst lorsque tu...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01\x18\nシトリニカ\nRelax\n\x0E\x03\x02\x0C\nシトリニカ\nJe comprends que le « moi » de ce monde s'est\nacquitté de son rôle vaillamment, mais je ne\nsuis pas là pour écouter ses faits d'armes.\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x18\nシトリニカ\nAngry\nL'autre « moi » que tu as devant toi est ton\nadversaire. Considère-moi comme une\napparition, si cela te paraît plus simple.\x0E\x04\x00\x00
