MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPardonnez-moi, Lindon. Puis-je vous poser\nune question un peu bizarre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nNon, non, vos soupçons sont naturels.\nÀ votre place, j'aurais pensé la même chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nQuand même, c'était déplacé de ma part.\nAujourd'hui, on est dans le même camp.\nÇa sert à rien de remuer le passé.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リンデン\nSi vous voulez me haïr, Saphir, c'est votre droit.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nEt si vous réclamiez ma mort pour soulager\nvotre douleur, j'y consentirais.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nQuoi ?! Pourquoi vous dites\nune chose pareille ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nParce que c'est la vérité.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nJe n'ai peut-être pas personnellement fait\nde mal à vos parents, mais j'étais un soldat\ndans cette guerre.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nSi ce n'est pas moi qui les ai mis à mort,\ncela ne s'est pas joué à grand-chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nJe...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nJe ne suis plus dans la fleur de l'âge depuis\nlongtemps. Je vous offre volontiers ma vie si\ncela peut soulager votre chagrin.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nEt même si des mots ne peuvent plus rien\nchanger... Je vous présente mes excuses.\nJe suis honnêtement, profondément désolé.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nザフィーア\nJe peux pas faire ça. Navrée.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x01\x0C\nザフィーア\n\x0E\x03\x02\x0A\x08リンデン\nSaphir...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nEt voilà comment on prépare des filets\nde poisson.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x02\x0A\x08リンデン\nJe dois dire que vous maniez superbement\nle couteau à filet.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nVoir un poisson si gros vidé et nettoyé\nen quelques instants, c'est impressionnant.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nNon, pas vraiment. N'importe quel gamin ayant\ngrandi au bord de l'eau sait faire ça à sept ans.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nSaphir, à propos de notre dernière\nconversation...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nBref, vous tombez très bien !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nJ'allais griller ce poisson. Vous voulez me\nprêter un peu de votre magie ? Allez, ça me\nferait plaisir !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nEuh, j'en serais heureux, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nザフィーア\nMais notre conversation de l'autre fois\nvous pèse.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nJ'en ai bien peur.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nJe ne nie pas avoir participé à la guerre\nqui a coûté la vie à vos parents.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nJe vous comprendrais parfaitement si\nvous m'en teniez rancune.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nAvec tout le respect que je vous dois, Lindon...\nLaissez tomber cette histoire avant que\nje me fâche.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nP-Pardon ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nMon problème, ce n'est pas vous.\nC'est la guerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nSi j'en voulais à tous ceux qui y ont participé,\nj'en aurais jamais fini. Je suis assez grande\npour le comprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nJ'imagine, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nJe suis sérieuse. Vous me rendez pas service\nen essayant d'endosser la responsabilité.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nVous avez raison. Je réalise que j'étais\ncomplètement ridicule.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nPas complètement. Vous m'avez montré que\nça vous touchait. C'est pas rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nザフィーア\nBon, vous me le grillez, ce poisson, ou je dois le\nfaire moi-même ? Les gens commencent à\ncrever de faim !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nAlors pas de temps à perdre ! Fini les excuses,\nnous avons du poisson sur la planche !\x0E\x04\x00\x00
