MID_CARD_KEYHELP_TURN_OVER	Recto/Verso
PCCMID_Feeling20	lunaire
PCCMID_Feeling21	solaire
PCCMID_Feeling22	complice
PCCMID_Feeling23	noble
PCCMID_Feature1	pugiliste
PCCMID_Feature2	rapace
PCCMID_Feature3	virtuose
PCCMID_Feature4	fidèle sujet
PCCMID_Feature5	valet
PCCMID_Feature6	chevalier
PCCMID_Feature7	disciple
PCCMID_Feature8	mentor
PCCMID_Feature9	vedette
PCCMID_Feature10	capitaine
PCCMID_Feature11	stratège
PCCMID_Feature12	funambule
PCCMID_Feature13	mercenaire
PCCMID_Feature14	Dragon divin
PCCMID_Feature15	Prince
PCCMID_Feature16	Princesse
PCCMID_Feature17	combattant
PCCMID_Feature18	combattante
PCCMID_Feature19	héros
PCCMID_Feature20	héroïne
PCCMID_Feature21	parangon
PCCMID_Feature22	sentinelle
PCCMID_Feature23	scribe
PCCMID_Feature24	Falchion
PCCMID_Feature25	Breidablik
PCCMID_Feature26	Bolganone
PCCMID_Feature27	Thoron
PCCMID_Feature28	Fimbulvetr
PCCMID_Adposition1	est
PCCMID_Adposition2	la
PCCMID_Adposition3	le
PCCMID_Adposition4	en
PCCMID_Adposition5	de
PCCMID_Adposition6	avec
PCCMID_Adposition7	contre
PCCMID_Adposition8	tous
PCCMID_Adposition9	à
PCCMID_Conjection1	mais
PCCMID_Conjection2	bravo
PCCMID_Conjection3	jamais
PCCMID_Conjection4	toujours
PCCMID_Conjection5	vive
PCCMID_Conjection6	plus
PCCMID_Conjection7	moins
PCCMID_Conjection8	ou
PCCMID_Conjection9	personne
PCCMID_Conjection10	vraiment
PCCMID_Conjection11	pas vraiment
PCCMID_Conjection12	pour
PCCMID_Conjection13	tellement
PCCMID_Conjection14	et
PCCMID_Conjection15	ensemble
PCCMID_Conjection16	avec moi
PCCMID_Conjection17	sans moi
PCCMID_Conjection18	>
PCCMID_Conjection19	<
PCCMID_Conjection20	???
PCCMID_Conjection21	/
PCCMID_Honorific1	☆
PCCMID_Honorific2	=
PCCMID_Honorific3	♪
PCCMID_Honorific4	Messire
PCCMID_Honorific5	Dame
PCCMID_Team1	Emblème
PCCMID_Team2	fusion
PCCMID_Team3	guerroyer
PCCMID_Team4	protéger
PCCMID_Team5	défendre
PCCMID_Solanel	Somniel
PCCMID_Eleos	Elyos
PCCMID_Player	jouer
PCCMID_Enemy	l'ennemi
PCCMID_VIP	champion
PCCMID_Training	championne
PCCMID_Party	festoyer
PCCMID_Others1	fusionner
PCCMID_Others2	combattre
PCCMID_Others3	soutenir
PCCMID_Others4	lien
PCCMID_Others5	force
PCCMID_Others6	magie
PCCMID_Others7	technique
PCCMID_Position	classe
PCCMID_BasicPosition	classe de base
PCCMID_SeniorPosition	classe avancée
PCCMID_SpecialPosition	classe spéciale
PCCMID_Style	type d'unité
MID_Map_Theme_Select	Choisissez un thème pour la carte que\nvous avez créée (il s'affichera sur votre\ncarte de profil).
MID_ProfileCard_Theme_Unit	Unités placées
PCMMID_Unit1	À distance
PCMMID_Unit2	Rapproché
PCMMID_Unit3	Mobilisation
PCMMID_Unit4	Cuirassé
PCMMID_Unit5	Cavalerie
PCMMID_Unit6	Volant
PCMMID_Unit7	Soutien
PCMMID_Unit8	Furtif
PCMMID_Unit9	Adepte qi
PCMMID_Unit10	Mystique
MID_ProfileCard_Theme_Map	Carte
PCMMID_Map1	Forteresse
PCMMID_Map2	Labyrinthe
PCMMID_Map3	Esquive
PCMMID_Map4	Canons
PCMMID_Map5	Jardin
PCMMID_Map6	Orient
PCMMID_Map7	Siège
PCMMID_Map8	Temple
PCMMID_Map9	Simple
MID_ProfileCard_Theme_Object	Terrain placé
PCMMID_Object1	Alpaga
PCMMID_Object2	Statue
PCMMID_Object3	Sable
PCMMID_Object4	Glace
PCMMID_Object5	Pilier
MID_ProfileCard_Theme_Conception	Atmosphère
PCMMID_Conception1	Sérénité
PCMMID_Conception2	Classe
PCMMID_Conception3	Effroi
PCMMID_Conception4	Détente
PCMMID_Conception5	Luxe
PCMMID_Conception6	Splendeur
MID_ProfileCard_Theme_Onomatopoeia	Onomatopée
PCMMID_Onomatopoeia1	Bing
PCMMID_Onomatopoeia2	Woush
PCMMID_Onomatopoeia3	Brrr
PCMMID_Onomatopoeia4	Ouah
PCMMID_Onomatopoeia5	Boum
MID_PS_Area_Select	Décor
MID_PS_Area_Select_Help	Choisissez un décor.
MID_PS_Area_List	Lieux
MID_PS_Placement_Limit	Nombre d'alliés à placer
MID_PS_Spot_Title	Alliés à placer
MID_PS_Spot_01	Place 1
MID_PS_Spot_02	Place 2
MID_PS_Spot_03	Place 3
MID_PS_Spot_Weapon	Armes
MID_PS_Spot_Scarf	Couleurs de foulard
MID_PS_Photo_Finish_Confirm	Revenir au choix du décor ?
MID_PS_Save_Confirm	Votre photo a été sauvegardée et apparaîtra\nsur votre carte de profil (vous ne pouvez\nsauvegarder qu'une seule photo à la fois).
MID_PS_Hyphen01	－
MID_PS_Hyphen05	－－－－－
MID_PS_KEYHELP_UI_ON	Mode photo
MID_PS_KEYHELP_UI_OFF	Quitter le mode photo
MID_PS_KEYHELP_PHOTO	Photographier
MID_PS_KEYHELP_RANDOM	Choix aléatoire
MID_PS_KEYHELP_LIST	Voir la liste
MID_PS_KEYHELP_AREA_CHANGE	Changer de place
MID_PS_KEYHELP_CAMERA_CHANGE	Changer d'angle
MID_PS_KEYHELP_CAMERA_HORIZON	Gauche/Droite
MID_PS_KEYHELP_CAMERA_VERTICAL	Haut/Bas
MID_PS_KEYHELP_CAMERA	Déplacement
MID_PS_KEYHELP_SAVE	Sauvegarder
MID_PS_KEYHELP_NO_SAVE	Reprendre
MID_PoseType_1	1
MID_PoseType_2	2
MID_PoseType_3	3
MID_PoseType_4	4
MID_PoseType_5	5
MID_PoseType_6	6
MID_PoseType_7	7
MID_PoseType_Normal	Poses classiques
MID_PoseType_Battle	Poses de combat
MID_PoseType_Solanel	Poses de Somniel
PSPMID_Normal	Inaction 
PSPMID_Angry	Contrariété 
PSPMID_Deny	Refus 
PSPMID_Deny2	Perplexité 
PSPMID_Give	Main tendue 
PSPMID_Joy	Euphorie 
PSPMID_Joy2	Exultation 
PSPMID_LookR	Regard à droite 
PSPMID_LookL	Regard à gauche 
PSPMID_Pray	Prière 
PSPMID_Proud	Fierté 
PSPMID_Relax	Détente 
PSPMID_Sad	Abattement 
PSPMID_Sad2	Tristesse 
PSPMID_Shy	Embarras 
PSPMID_Surprise	Stupeur 
PSPMID_Surprise2	Surprise 
PSPMID_Talk	Conversation 
PSPMID_Talk2	Bavardage 
PSPMID_Think	Réflexion 
PSPMID_Tired	Lassitude 
PSPMID_Wave	Salut 
PSPMID_Posing	Décontraction 
PSPMID_Posing2	Cool 
PSPMID_Cheer1	Encouragement 
PSPMID_Cheer2	Ralliement 
PSPMID_FishShow	Soutien 
PSPMID_Guitar	Air guitar 
PSPMID_Pick1	Cueillette 
PSPMID_Pick2	Inspection 
PSPMID_Pick3	Récolte 
PSPMID_ScatterR	Nourrir (droite) 
PSPMID_ScatterL	Nourrir (gauche) 
PSPMID_Sing	Chant 
PSPMID_SitUp_Start	Abdos (début) 
PSPMID_SitUp_End	Abdos (fin) 
PSPMID_Squat_Start	Flexion (début) 
PSPMID_Squat_End	Flexion (fin) 
PSPMID_PushUp_Start	Pompe (début) 
PSPMID_PushUp_End	Pompe (fin) 
PSPMID_WateringR	Arrosoir (droite) 
PSPMID_WateringL	Arrosoir (gauche) 
PSPMID_Splash_OneHand	Asperger (1 main) 
PSPMID_SplashothHands	Asperger (2 mains) 
PSPMID_Splash	Se fait asperger 
PSPMID_StrokeStand	Brossage 
PSPMID_SitNormal	Position assise 
PSPMID_ChairNormal	Siège 
PSPMID_Reactionbad	Dégoût 
PSPMID_ReactionGood	Régal 
PSPMID_ReactionGreat	Délice 
PSPMID_Battle_Sword	Épée 
PSPMID_Battle_Lance	Lance 
PSPMID_Battle_Axe	Hache 
PSPMID_Battle_Bow	Arc 
PSPMID_Battle_Magic	Tome 
PSPMID_Battle_Knife	Dague 
PSPMID_Battle_Fist	Art 
PSPMID_Mascot_Normal	Inaction
PSPMID_Mascot_Angry	Contrariété
PSPMID_Mascot_Joy	Euphorie
PSPMID_Mascot_Cheer	Exultation
PSPMID_Mascot_Petted	Calme
PSPMID_Mascot_Sad	Tristesse
PSPMID_Mascot_GestureR	Regard à droite
PSPMID_Mascot_GestureL	Regard à gauche
PSPMID_Mascot_Eat	Collation
PSPMID_Mascot_Drop	Étirement
PSPMID_Mascot_GetUp	Cool
PSPMID_Mascot_Sit	Position assise
PSPMID_Mascot_Sleep	Sieste
PSSMID_Entrance_front1	Place 1
PSSMID_Entrance_front2	Place 2
PSSMID_Entrance1	Place 3
PSSMID_Entrance2	Place 4
PSSMID_Cafeteria_front1	Café 1
PSSMID_Cafeteria_front2	Café 2
PSSMID_Cafeteria1	Café 3
PSSMID_Cafeteria2	Café 4
PSSMID_Cafeteria3	Café 5
PSSMID_WeaponShop_front	Armurerie 1
PSSMID_WeaponShop1	Armurerie 2
PSSMID_ItemShop_front	Magasin 1
PSSMID_ItemShop1	Magasin 2
PSSMID_RefineShop_front	Forge 1
PSSMID_RefineShop1	Forge 2
PSSMID_AccessoryShop_front	Boutique 1
PSSMID_AccessoryShop1	Boutique 2
PSSMID_Poolside_front	Piscine 1
PSSMID_Poolside1	Piscine 2
PSSMID_FleaMarket_front	Brocante 1
PSSMID_FleaMarket1	Brocante 2
PSSMID_Fortune_front	Prédictions 1
PSSMID_Fortune1	Prédictions 2
PSSMID_Orchard_front	Verger 1
PSSMID_Orchard1	Verger 2
PSSMID_Fountain_front	Fontaine 1
PSSMID_Fountain1	Fontaine 2
PSSMID_Corridor1	Colonnade
PSSMID_Pond_front	Étang 1
PSSMID_Pond1	Étang 2
PSSMID_Pond2	Étang 3
PSSMID_TrainingSpot_front	Arrière-cour 1
PSSMID_TrainingSpot1	Arrière-cour 2
PSSMID_TrainingSpot2	Arrière-cour 3
PSSMID_TrainingSpot3	Arrière-cour 4
PSSMID_TrainingSpot4	Arrière-cour 5
PSSMID_Farm_front	Ferme 1
PSSMID_Farm1	Ferme 2
PSSMID_Farm2	Ferme 3
PSSMID_Farm3	Ferme 4
PSSMID_Cave_front	Grotte 1
PSSMID_Cave1	Grotte 2
PSSMID_GoodViewSpot_front	Belvédère 1
PSSMID_GoodViewSpot1	Belvédère 2
PSSMID_Tower_front	Tour des épreuves 1
PSSMID_Tower1	Tour des épreuves 2
MID_MASCOT_SCARFCOLOR_1	Pêche
MID_MASCOT_SCARFCOLOR_2	Fraise
MID_MASCOT_SCARFCOLOR_3	Océan
MID_MASCOT_SCARFCOLOR_4	Orange
MID_MASCOT_SCARFCOLOR_5	Citron
MID_MASCOT_SCARFCOLOR_6	Ciel
MID_MASCOT_SCARFCOLOR_7	Menthe
MID_MASCOT_SCARFCOLOR_8	Feuille
MID_MASCOT_SCARFCOLOR_9	Olive
MID_MASCOT_SCARFCOLOR_10	Raisin
MID_MASCOT_SCARFCOLOR_11	Charbon
MID_MASCOT_SCARFCOLOR_12	Neige
