MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nDame Veyle, vous voilà enfin.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nJe ne peux me prononcer. Mais il y a une\nchose dont je suis sûr.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nSi Marni avait rejoint notre camp, elle se serait\nfait aimer de tous.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh oui, c'est certain ! Ils l'auraient tous\nbeaucoup appréciée.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nSi j'ai cette chance de me racheter aujourd'hui,\nc'est grâce à Marni.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nC'est impossible d'exprimer à quel point je lui\nsuis reconnaissante pour ce qu'elle a fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nElle serait très heureuse de vous entendre,\nprésentement.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nFaisons tout ce que nous pouvons pour sauver\nautant d'innocents que possible, vous et moi.\nFaisons-le pour Marni.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nOui, avec joie.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nNous avons commis tellement de crimes qu'il\nnous faudra longtemps avant de remettre la\nbalance en équilibre.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nNous allons devoir faire autant de bien que\npossible dans le monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nTu m'aideras, Mauvier, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nVous pouvez compter sur moi. En tant\nque chevalier, et en tant qu'ami.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nEnsemble, nous y arriverons, Dame Veyle.\x0E\x04\x00\x00
