MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHmm. Je dois pas m'y prendre comme il faut.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nÇa me fait penser à un truc. J'ai pensé à appeler\nces colliers les « pendentifs du Dragon divin ».\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nQuoi ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nJ'apprécie l'intention, mais vous devriez\npeut-être leur trouver un nom un peu plus\nvendeur.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nC'est trop chou que ça vous embarrasse !\nMais c'est comme ça que je vais les appeler.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nAllons, vous ne préférez pas y réfléchir encore\nun peu ? Je suis sûr\x0E\x0A\x00\x06
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nLa la la, je n'entends rien !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nDès que j'aurai fini de les préparer, ils vont\nse vendre comme des petits pains.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nBon, j'imagine que je peux fermer les yeux sur\nleur nom si ça vous fait tant plaisir...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nJe croise les doigts pour que votre entreprise\nsoit une réussite, Mademoiselle Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nC'est la Fête des Amoureux, non ?\nComment marche votre nouveau produit ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06アンナ\nTout est déjà parti.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nVraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06アンナ\nOui, vraiment ! Les gens se sont littéralement\narraché cet article !\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nEh bien... Félicitations, Mademoiselle Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06アンナ\nÇa n'aurait pas été possible sans vous,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nJe regrette juste de ne pas avoir pu voir un de\nces colliers terminé.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06アンナ\nEn fait... J'en ai gardé un. Regardez.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nOooh ! Vous avez fait de l'excellent travail.\nÇa ne m'étonne pas qu'ils soient partis si vite.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06アンナ\nVous pouvez le garder si vous voulez.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nHein ? Vous êtes sûre ?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06アンナ\nCelui-ci n'était pas à vendre. C'est le plus réussi\nde tous et je l'ai mis de côté exprès pour vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06アンナ\nJ'espère qu'il vous plaît.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nLe plus réussi de tous ? Vous êtes sûre que\nça ne vous dérange pas de me le donner ?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06アンナ\nPuisque je vous le dis !\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06アンナ\nJ'ai juste... vous savez... vraiment apprécié\nà quel point vous m'avez aidée.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nÇa fait plaisir à entendre !\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06アンナ\nOn a fait du bon boulot en mettant au point\nce produit ensemble. Je vous suis sincèrement\nreconnaissante.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06アンナ\nAlors ça me semblait normal de vous donner\nle plus beau de tous en signe de notre amitié.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nJe suis heureu\x0E\x0A\x00\x0A\x02x\x04se que les choses aient si bien\ntourné pour vous. Et je suis honoré\x0E\x0A\x00\x06
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nVous savez quoi ? J'ai également un cadeau\npour vous. L'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06アンナ\nQuoi ?! Vous charriez ! Ce truc est bien trop\nprécieux.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nC'est précisément pour ça que je veux vous\nle donner. Les meilleurs cadeaux sont des\nchoses spéciales, absolument uniques, non ?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nJ'ai un souvenir de notre belle coopération,\npourquoi n'en auriez-vous pas un vous aussi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06アンナ\nC'est vrai... qu'on a réussi à faire un carton.\nJ'imagine que ça fait de nous des partenaires.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06アンナ\nD'accord, d'accord, je le prends. Vous parlez\nd'une journée !\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nHa ha ha, en effet !\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06アンナ\nBon. À partir de demain, on aura du pain sur\nla planche.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06アンナ\nD'abord, il nous faut des artisans pour lancer\nla production de masse de ces colliers.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06アンナ\nSi vous trouvez qu'ils se vendent bien, attendez\nde voir ce que ça va être quand les gens verront\nque le Dragon divin en porte un !\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nHa ha ha, vous ne perdez pas le nord.\nNe changez jamais, Mademoiselle Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nJe n'ai pas envie de voir ma partenaire\ncommerciale se relâcher, après tout.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06アンナ\nVous inquiétez pas ! Notre partenariat va nous\nconduire à la gloire, à la fortune, et peut-être\nmême à ma famille !\x0E\x04\x00\x00
