MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x02\x0C\nエーティエ\nAh, encore un étalage de nourriture délicieuse\nqui m'attend pour le dîner.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vous ai dit des choses cruelles. Peut-être que\nsi je peux ressentir votre force, je saurai mieux\nl'apprécier.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors, si vous n'y voyez pas d'inconvénient,\nj'aimerais toucher vos mains. Je vais moucher\nles chandelles, ça vous détendra.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nEuh... D'accord, si vous voulez.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous êtes vraiment forte. Les callosités de vos\nmains témoignent du zèle avec lequel vous\ncultivez votre puissance.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nEh bien... oui.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuand je vois comment votre opiniâtreté\na modelé celle que vous êtes devenue,\nje comprends mieux. Merci.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTenez, prenez mes mains, si vous le désirez.\nPeut-être me comprendrez-vous mieux,\nvous aussi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nÇa marche, ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl n'y a qu'un seul moyen de le savoir.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nOuah ! Votre peau est-elle toujours aussi\ndouce ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÉvidemment.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nJe n'ai jamais rien touché d'aussi délicat.\nVous ne devez pas ménager vos efforts\npour obtenir un tel résultat.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe regrette de vous avoir demandé cela aussi\nsubitement. C'est une façon peu commune\nd'apprendre à connaître quelqu'un.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nOui, un peu, mais j'ai appris bien\ndavantage que je ne l'aurais cru.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nVous m'avez montré que notre vie ne se\nrésumait pas à préparer la guerre. Nous\ndevons également être prêtes pour la paix.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÇa y est, vous comprenez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAprès tout, nous avons peut-être des choses\nà apprendre l'une de l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe serais heureuse de vous prodiguer quelque\nconseil de maintien en échange de l'une ou\nl'autre astuce d'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nBien sûr ! J'adore aider les gens à faire\nde l'exercice.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nEntre nous, je ne pourrais rien sans ma\npoudre hyperprotéinée. Je vais en mettre\nun peu de côté pour vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerveilleux. De votre côté, si vous désirez\nune lotion pour les mains, j'en connais\nd'excellentes.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nエーティエ\nHé hé ! On n'aura pas mis bien longtemps\nà trouver un terrain d'entente, hein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nAu fond, je devrais peut-être vous remercier\nde m'avoir chipé cette pomme de terre.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nN'allez pas me remercier, voyons. C'était\ndu vol pur et simple.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'ai hâte de profiter de vos conseils, Etie.\nEt j'espère que ce sentiment est réciproque.\x0E\x04\x00\x00
