MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nJean ? On ne vous sert pas assez de légumes à\nla cantine ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nVous êtes quelqu'un de généreux, mais vous\nne pensez pas suffisamment à vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nTant que je vous accompagne, vous irez bien,\nmême si vous ne prenez pas soin de vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nVous avez été si gentil\x0E\x0A\x00\x08
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nÇa alors !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nEt voilà le travail ! La blessure devrait guérir\nsous peu.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nJe vous remercie ! Et je suis content\x0E\x0A\x00\x06
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nNous avons fait une belle récolte aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ジャン\nC'est surtout grâce à vous. Vous êtes pas trop\nfatigué\x0E\x0A\x00\x06
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEn votre compagnie, ça devient presque un jeu.\nJe pourrais continuer pendant des heures.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06ジャン\nOh, on dirait que vous vous êtes de nouveau\nblessé\x0E\x0A\x00\x06
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nHein ? Ah non, ça remonte à la dernière bataille.\nJ'ai dû m'interposer pour protéger un allié.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nJe me suis fait soigner juste après, mais\non dirait qu'il reste une marque.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06ジャン\nVous devriez essayer ça. C'est un onguent que\nj'ai préparé avec les herbes qu'on a récoltées\nla dernière fois.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06ジャン\nSi vous en étalez une bonne couche, ça devrait\nfaire disparaître la rougeur. Il faudra juste\nattendre que ça sèche.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ジャン\nSi vous êtes blessé\x0E\x0A\x00\x06
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06ジャン\nJe veux que vous puissiez vous reposer sur moi\nde la même façon que les autres se reposent\nsur vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nMais Jean, l'ignorez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nC'est déjà ce que je fais.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ジャン\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nParmi les membres de l'armée, vous êtes\nun de ceux sur lesquels je sais pouvoir compter.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nPour tout vous dire, je pense que vous méritez\nde porter l'Anneau du Pacte que je détiens.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ジャン\nJe sais pas... Quelque chose d'aussi précieux\ndevrait revenir à quelqu'un qui le mérite\nvraiment.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nIl n'y a personne de plus méritant que vous.\nVous avez toujours été là pour moi, après tout.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06ジャン\nEh bien... J'imagine que c'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ジャン\nMerci ! Dorénavant, vous pouvez me considérer\ncomme votre médecin personnel !\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nJe ne l'imaginais pas autrement.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ジャン\nMais ça veut dire que j'ai encore un paquet\nd'études à faire et d'expérience à acquérir.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06ジャン\nLe médecin personnel de Sa Divinité ne peut\npas se permettre la moindre erreur !\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nPrenez votre temps. Quand cette guerre\nsera terminée, je devrais avoir bien moins\nde blessures à soigner.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06ジャン\nC'est vrai. Euh, \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ジャン\nMerci de croire en moi. Je travaillerai dur pour\ndevenir un docteur digne de vous soigner.\x0E\x04\x00\x00
