MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nOK ! Super chasse aujourd'hui. Bien joué.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nBien sûr.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nAlors, vous allez me dire pour qui vous êtes\nsi impatient de cuisiner, ou quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nHa ha... Ça se voit à ce point ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nJ'ai remarqué que vous devenez plus animé\nquand vous pensez à quelqu'un.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nEh bien... c'est pour ma mère.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nJe veux lui préparer quelque chose de spécial\nquand cette guerre aura pris fin, et le poisson\nest son aliment préféré.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nAh.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nQuand nous avons appris le retour du Dragon\ndéchu, elle s'est réfugiée dans un palais loin\ndu trône.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nJ'ai l'impression que c'était il y a une éternité...\nJe veux lui offrir quelque chose de spécial\nquand nous nous retrouverons.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nC'est le moins que je puisse faire. Je suis sûr\nqu'elle a appris pour... Père...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nAlors, Prince Alcryst, comptez sur moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nJe vous apprendrai tout ce que je sais sur\nla façon de rendre un poisson délicieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\nNous commencerons pas la manière de lever\nles filets et de les griller, puis nous passerons\nà l'assaisonnement et à la conservation.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nMais je dois vous prévenir tout de suite.\nQuand il s'agit de cuisine, je suis une prof\nsévère.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nOh oh, j'ai intérêt à me tenir prêt.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nスタルーク\nMerci de m'avoir appris à cuisiner, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nGrâce à votre aide, je sais maintenant préparer\nun repas complet à base de poisson.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nQuand Mère pourra revenir sans danger,\nje pourrai l'accueillir avec un repas fait maison.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nÇa m'a fait plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nJe suis contente de transmettre les leçons\nque mes parents m'ont apprises.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nEt je parie qu'ils auraient été heureux de savoir\nque leurs connaissances profiteraient un jour à\nleur prince.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nMaintenant que j'y pense, j'aurais aussi aimé\nleur raconter la fois où je me suis retrouvée\naux fourneaux pour le roi Morion.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nPour le roi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nHa ha ha... S'il était encore avec nous, je parie\nqu'il se servirait plusieurs plâtrées !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nAh, pardon d'aborder un sujet si amer...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nCe n'est pas grave. C'est un bon souvenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nJe suis heureux d'entendre de nouvelles\nhistoires de la part des gens qui l'ont connu.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nSaphir ? Qu'est-ce qui ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nJe souffre, moi aussi. Perdre le roi...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nQuand je suis restée en arrière au château\nde Brodia, j'étais persuadée qu'il reviendrait.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nÀ présent, ça m'accable de me dire que je ne\nverrai plus son visage.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nTout ce que je peux faire, c'est m'accrocher\nà mes souvenirs.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nJe sais ce que tu ressens.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nJe suis désolée, Prince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\nJe sais que ma tristesse n'est rien par rapport\nà celle que vous et le Prince Diamant devez\nendurer.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nLa tristesse n'est pas une chose qui se mesure...\nou se compare...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nTu as tissé un lien particulier avec mon père\nen tant que soldat de la garde royale de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nC'est important que chacun prenne le temps\nde faire son deuil. C'est ce que je fais...\net j'espère que tu le feras aussi.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nザフィーア\nC'est gentil de votre part.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nNous devrions préparer un plat pour Père,\nun jour. Nous n'avons pas encore érigé\nsa pierre tombale...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nMais je suis sûr qu'il appréciera un bon repas\ndans sa dernière demeure. Il adorait manger,\naprès tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nザフィーア\nExcellente idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nザフィーア\nOui faisons ça ! On va lui préparer un festin\ndigne d'un roi !\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nザフィーア\nMerci, Prince Alcryst. Je me sens déjà mieux.\x0E\x04\x00\x00
