MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAlors, Louis ! Encore en train d'espionner ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nNan, mais je vais pas tout engouffrer tout seul.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nJe me disais que ça serait sympa de\ndistribuer quelques douceurs à mon\ntroupeau de brebis.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nOh ? Vous vous occupez d'ovins ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nNon, ma congrégation. Ils aiment bien se\nretrouver et prier dans une ambiance\ndétendue, tu vois ce que je veux dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nM'est avis qu'une bonne assiette de gâteaux\nattirera encore plus de monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nEn plus, l'un de mes fidèles est un marchand.\nIl lui viendra peut-être l'idée d'importer tes\nraisins pour les mettre sur le marché.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nAh ! Voilà qui est fort aimable de votre part.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nVous cherchez toujours à venir en aide à\nvos brebis, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パンドロ\nHa ha ha ! C'est mon boulot !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パンドロ\nÇa saute pas forcément aux yeux, mais\nje suis un homme d'Église.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Mes doutes sont définitivement dissipés.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パンドロ\nTout ça pour dire que j'ai pas l'intention\nd'arrêter de faire la fête ! Tu viendras à\nnouveau, Louis ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nCela va sans dire. Je suis à votre service,\nPandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh ! Désolé, Louis. Je ne t'avais pas vu.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nQuand je prie, plus rien d'autre n'existe\npour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nJe vous en prie. J'espère ne pas vous\navoir dérangé.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nJe peux faire quelque chose pour toi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nJe t'ai déjà indiqué tous les bons coins\n« d'observation » que je connaissais.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nNon... Il s'agit d'autre chose aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nJe songeais à vous demander de dire une prière\npour ma mère.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nHm. Tu m'excuseras si ma mémoire me joue\ndes tours, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nJe croyais que ta mère était morte.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nOui, en effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nJ'étais alors très jeune, et si bouleversé que\nj'avais à peine la force de tenir au jour le jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nAlors même si je rougis d'avouer qu'il m'a\nfallu tant de temps pour m'en rendre compte...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nAinsi pris dans la tourmente, je n'ai jamais\neu l'occasion de dire correctement au revoir\nà ma mère.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nJe comprends.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nN'y voyez aucune offense, mais ma famille\nn'était guère portée sur le religieux...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nOh, y a pas de mal. Tu n'es peut-être pas très\npieux, mais tu veux quand même que ta mère\nrepose en paix. C'est normal.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nJe suis sûr que tout là-haut dans le ciel, elle se\nréjouira de ta tendre disposition.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nMerci, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パンドロ\nPar contre... Tu es sûr que c'est moi qui devrais\nlui passer le message ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nJe suis certes un homme d'Église, mais pas\nle modèle le plus conventionnel.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nTu ne vois personne qui pourrait mieux\nfaire l'affaire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nNon. Je vous ai choisi à dessein.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nSi quelqu'un doit rendre hommage à\nsa mémoire, je souhaite que ce soit un ami.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nOK. Dans ce cas, ce sera avec plaisir, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パンドロ\nMettons-nous à prier, alors...\nÔ notre âme dévoilant le chemin,\ntoi qui demeures au-dessus de nous...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ルイ\nMère, puisse ton âme trouver la paix.\x0E\x04\x00\x00
