MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04エル\nCela fait si longtemps que je n'ai pas eu\nle plaisir de vous parler, une vague de\nnostalgie me submerge.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJ'aimerais tellement être courageux, comme\nvous... Au lieu de ça, je me ridiculise en\ndétalant à la première occasion.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06クロム\nVous n'avez aucune honte à avoir, l'instinct\nde survie est une chose bien naturelle, mais il\nfaut savoir passer outre quand cela s'impose.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06クロム\nIl m'arrive d'avoir peur, moi aussi, mais je crains\nencore davantage de voir périr mes amis, et\nc'est cela qui me donne la force de me battre.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nRester se battre par peur, plutôt que par\nbravoure ? Intéressant, je devrais essayer.\nMon cas n'est peut-être pas si désespéré.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nUne abeille, ici ? Serait-elle en quête de\nquelque fleur à butiner ? Oh, elle s'est\nenvolée vers vous, Madeline.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nU-U-Une abeille ?! Je n'en avais jamais vu,\ndans mon monde... Ce n'est pas que j'aie peur,\nmais... Et si nous allions discuter plus loin ?\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nAuriez-vous peur des insectes ? Je pourrais\ndemander à Daraen de mettre au point une\nstratégie pour les chasser.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nDiantre, vous pensez que c'est possible ?!\nN-Non, ça ne sera pas utile. Avoir peur des\ninsectes est indigne d'un aspirant chevalier.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVous avez hérité de la détermination de vos\nparents, ils seraient fiers de vous. Et je parle en\nconnaissance de cause, étant père moi-même.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nPère, vraiment ? Vous avez pourtant l'air si\njeune ! Pourquoi ne pas me l'avoir dit plus tôt ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06クロム\nNe l'avais-je point mentionné ? Eh bien, c'est\nchose faite. Je continuerai de suivre vos progrès\njusqu'à ce que vous deveniez chevalier !\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nCessez de me traiter comme une enfant !\nBien que... je doive admettre que ces mots\nme réconfortent. Merci, je compterai sur vous. \x0E\x04\x00\x00
