MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, puis-je te poser quelques questions...\npersonnelles ? Je recherche de la matière pour\nmon prochain roman.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nOK, Jade ! Tu cherchais de la matière pour\nton roman... tu vas être servie ! Admire donc\nle maître des alpagas en pleine action.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nHé, l'alpaga ! Tout doux, mon beau, tout doux !
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nEh là ! Tout doux, j'ai dit !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nAOUH ! Ouaaaaaah !
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nAmber !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x04\x03\x04
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nPff... Se faire éjecter dans un étang n'est pas\ndu tout ce que j'avais l'intention de te montrer...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nJe n'arrive pas à croire qu'un alpaga ait surgi\nde nulle part comme ça. Je suis contente que\nnous ayons réussi à le capturer.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nQue tu aies réussi à le capturer, plutôt. Moi, j'ai\njuste réussi à boire la tasse dans l'eau croupie...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アンバー\nJe n'arrive pas à rivaliser avec toi, même dans\nun domaine où je m'y connais vraiment...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ジェーデ\nNe te décourage pas, Amber... Il faut toujours\ngarder une lueur d'espoir.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ジェーデ\nL'alpaga, l'étang et ton superbe vol plané...\nGrâce à toi, mon prochain livre promet d'être\nfort divertissant.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHé, Amber ! Il me manque quelques chapitres...\nAccepterais-tu de répondre à une nouvelle\nsérie de questions ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nUn instant, Jade. J'aurais d'abord une requête\nà te présenter...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nS'il te plaît, je t'en supplie... n'écris pas un mot\nsur l'échec complet que j'ai subi en voulant\nattraper cet alpaga !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nQue...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nVenant d'un village réputé pour son savoir-faire\nen matière d'alpagas, je ne peux faire subir\nune telle honte à ses habitants !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nEnlisé dans mes émotions et l'eau de l'étang,\nj'ai oublié de te le demander la dernière fois.\nMais je t'en supplie...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nVoilà une requête qui me surprend un peu,\nAmber. Je ne saurais te faire une promesse\nqu'il me serait difficile de tenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nTu m'as inspiré mes textes les plus drôles et\nles plus réussis. Mon public attend la suite\navec impatience...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nEh bien, dans ce cas...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nCroisons le fer. Si je gagne, tu n'écriras rien sur\nle fâcheux incident de l'alpaga et de l'étang !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nD'accord, je veux bien relever le défi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nCe sera notre premier duel depuis le tournoi de\nsélection des vassaux du prince Diamant...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nC'était la première défaite que tu m'infligeais.\nTu m'avais battu en finale. Et depuis, je me\nretrouve toujours à la seconde place.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nCette défaite fut comme une malédiction.\nQuoi que je fasse, je n'arrive jamais à te battre...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nMa foi, tu avais un désavantage dès le début\nde cette finale.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nTu n'avais pas eu le temps de t'échauffer, trop\noccupé que tu étais à aider cet enfant perdu...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nCe n'est pas une excuse ! D'ailleurs, tu as fini\npar l'aider, toi aussi. C'est même toi qui as\nretrouvé ses parents la première.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nHmm. Je comprends ton point de vue.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nTout ce que tu fais est couronné de succès,\ntandis que moi, à part m'empêtrer...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nCet alpaga en cavale, c'est la goutte d'eau qui\na fait déborder le vase... Je vais aujourd'hui\nmettre fin à mon statut d'éternel second !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nEn garde, Jade ! Cette fois c'est décidé, je ne\nperdrai plus jamais face à toi !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x04\x03\x04
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ジェーデ\nHum... Alors, ça te suffit ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nRaaah... Je n'y arrive pas. Je n'ai vraiment pas\nmoyen de te battre, Jade. C'est sans espoir...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\nTu n'as pas oublié notre accord ? C'est moi qui\nai gagné, je suis donc libre d'écrire ce que\nje souhaite dans mon prochain roman.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アンバー\nOh, je n'ai pas oublié, non... Tu m'as battu, et\nà la loyale... Vas-y, écris ce que tu voudras.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nC'est bien ce que je compte faire. Et je veillerai\nà ce que tu sois le tout premier à lire mon\nœuvre, lorsque je l'aurai terminée.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMon roman est terminé, Amber. Comme je te\nl'avais annoncé, j'aimerais que tu me fasses\nl'honneur d'être le premier à le lire.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nOh, super...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nTu as vraiment le chic pour remuer le couteau\ndans la plaie, hein ? Bon, très bien. Voyons\nà quel point je vais me sentir humilié...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nHmm... Hmm !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nJade... qu'est-ce que ça veut dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nCe... Ce roman... s'inspire-t-il toujours de moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nBien sûr. Chacune de ses péripéties repose sur\nun événement que toi et moi avons partagé.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nMais... où est donc passé l'incident de l'alpaga\net de l'étang ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nJe n'arrive pas à y trouver la moindre page qui\nserait embarrassante pour moi. Dans ton livre,\nj'ai l'air tellement... tellement valeureux !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nTu n'es en rien un éternel second, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nC'est toi qui le premier as tenté d'arrêter\ncet alpaga en fuite.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nTu es aussi le premier à être parti à la recherche\ndes parents de cet enfant perdu, lors du tournoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai peut-être l'honneur d'apporter un heureux\ndénouement à chaque fois, mais c'est bien toi\nqui ouvres chaque chapitre.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nOuah...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nTu es généreux. Tu es fort. Et tout comme moi,\nle prince Diamant voit en toi un vassal digne\nde toute confiance.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nOh, Jade ! Je te remercie ! Ces paroles\nréconfortantes... Ce merveilleux livre...\nVoilà qui me remonte le moral.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nJ'en suis heureuse. Cette confiance en toi\nest indispensable, car c'est toi qui couvres\nnos arrières en combat.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nOui... Oui, vraiment, c'est décidé ! Je vais\nm'entraîner avec persévérance jusqu'à égaler\ncet autre moi-même que présente ton livre.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nOh, j'ai hâte de voir tes efforts.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nOK ! J'arrête de rêvasser. Il est temps que\nje m'entraîne avec plus d'énergie que jamais !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nJe vais de ce pas... Oups, un caillou ?! Ouaaah !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nHm ! Impressionnant. Le chemin pour égaler\nton autre toi s'annonce semé d'embûches...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nIl n'y a pas le moindre doute que tu réussiras\nà développer tes forces, Amber... mais j'espère\nque pour le reste, tu ne changeras jamais.\x0E\x04\x00\x00
