MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nVous êtes Boucheron, c'est ça ? Je m'appelle\nLapis. Enchantée. Je suis de corvée à partir\nd'aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nHa ha ! Ah non, cette fois, c'en est trop. Je me\nferai pas avoir deux fois !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nJe ne plaisante pas, je te le jure.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nHmm... Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nVous êtes bien sûr de pas vous payer ma tête ?\nParce que, franchement, ce serait\nd'une incorrection...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\nNon, non, je suis sérieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ラピス\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ラピス\nVous avez raison. Eh ben, je me suis de nouveau\nemmêlé les pinceaux. Quelle andouille je fais !\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nブシュロン\nHmm... De mon côté, je commence\nà comprendre...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nブシュロン\nAaah... C'est l'heure du thé.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\nBonjour, Boucheron, j'ai préparé une petite\ncollation. Je parie qu'elle se marie à merveille\navec votre thé.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\nC'est gentil de proposer. Une seconde...\nC'est quoi, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nUne petite collation.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nブシュロン\nCette herbe ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nBen ouais !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nJ'ai cueilli une touffe d'herbe que j'ai cuisinée\npour la distribuer à l'heure du goûter. Enfin,\ncomme on fait toujours, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nNe me dites pas que c'est encore une coutume\nqui n'existe que dans mon village...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\nEh bien, si, je le crains.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nOh là là...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nLapis, dis-moi franchement, ton village ne\nroule pas sur l'or, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nQu'est-ce qui vous fait dire ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nIl devient de plus en plus difficile de l'ignorer.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nOh non ! Il faut que personne ne sache.\nSurtout pas lui...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nLui ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nOubliez ce que je viens de dire. Et par pitié,\nn'en parlez à personne.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nブシュロン\nN'aie crainte, Lapis. Je n'ai pas pour habitude\nde me moquer des gens aux origines modestes.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nTu as appris à te débrouiller avec les moyens à\nta disposition. C'est tout à fait admirable.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nSi vous dites ça, c'est uniquement pour ne pas\nme froisser.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nNon, je suis sincère. D'ailleurs, j'ai essayé le lait\ndilué et ta technique du fumet pour se remplir\nla panse.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nAh bon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nEt... vous en pensez quoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nC'est pas mal du tout. J'ai l'impression d'avoir\nélargi mes horizons.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nTout à fait ! Aussi, je suis impatient de goûter à\nta petite collation.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nブシュロン\nÇa alors ! C'est une explosion de saveurs !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nMa vie se partagera dorénavant entre l'époque\nprécédant cette dégustation et les jours glorieux\nqui l'auront suivie.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\nVous savez, Boucheron...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ラピス\nVous avez bon cœur, vraiment.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nブシュロン\nArrête, tu vas me faire rougir. J'ai tout dans\nles muscles, rien dans le cerveau.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06ラピス\nSi ça vous intéresse, j'ai plein d'autres traditions\nà vous apprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nブシュロン\nEt comment !\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0C\nブシュロン\nMais il faut d'abord que les autres goûtent à\nta spécialité.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nブシュロン\nApprochez, approchez ! Aujourd'hui, nous vous\nproposons une collation pas comme les autres !\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06ラピス\nHa ha !\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x08\x06ラピス\nMerci, Boucheron. C'est vraiment gentil.\x0E\x04\x00\x00
