MID_WU_C_1_IN_#001	Je peux entrer ?
MID_WU_A_1_WAKEUP_#004	vous aurez droit à une\npichenette sur le front.
MID_WU_A_1_WAKEUP_#005	Comme vous m'avez fait l'autre jour.
MID_WU_A_1_HELLO_#001	Ha, j'ai réussi à vous réveiller.
MID_WU_A_1_HELLO_#002	C'était une toute petite chiquenaude.
MID_WU_A_1_HELLO_#003	Je n'y suis pas allé trop fort, j'espère...
MID_WU_A_2_IN_#001	Maintenant que j'y pense...
MID_WU_A_2_IN_#002	l'autre Dragon divin n'a jamais exigé\nqu'on vienne le réveiller en personne...
MID_WU_A_2_SOON_#001	Pardon, je parlais trop fort ?
MID_WU_A_2_SOON_#002	Je me remémorais juste le passé.
MID_WU_A_2_SOON_#003	C'est plutôt marrant de\nvous réveiller, en fait.
MID_WU_A_2_WAKEUP_#001	Vous savez...
MID_WU_A_2_WAKEUP_#002	je ne vous ai jamais vu\x0E\x0A\x00\x06
MID_WU_A_2_WAKEUP_#003	C'est quand même bizarre.
MID_WU_A_2_WAKEUP_#004	Ça veut dire que vous restiez\néveillé\x0E\x0A\x00\x06
MID_WU_A_2_WAKEUP_#005	Non, c'est idiot.
MID_WU_A_2_HELLO_#001	Bonjour.
MID_WU_A_2_HELLO_#002	Vous appréciez donc quand\nquelqu'un s'occupe de vous ?
MID_WU_A_2_HELLO_#003	Étrangement...
MID_WU_A_2_HELLO_#004	je prends moi-même plaisir à cette tâche.
MID_WU_S_1_IN_#001	Vous dormez encore ?
MID_WU_S_1_IN_#002	Oh... je...
MID_WU_S_1_IN_#003	je réalise que vous êtes plutôt\nmignon\x0E\x0A\x00\x08
MID_WU_S_1_SOON_#001	Bonjour, Votre Divinité.
MID_WU_S_1_SOON_#002	Je me réjouis de vous voir déjà réveillé\x0E\x0A\x00\x06
MID_WU_S_1_SOON_#003	Pourquoi donc ?
MID_WU_S_1_SOON_#004	Parce que vous regarder\ndormir trop longtemps...
MID_WU_S_1_SOON_#005	me donne des palpitations...
MID_WU_S_1_SOON_#006	et un nœud à l'estomac.
MID_WU_S_1_WAKEUP_#001	Vous avez l'air si paisible.
MID_WU_S_1_WAKEUP_#002	J'aimerais tant rester ici à vos côtés...
MID_WU_S_1_WAKEUP_#003	et vous regarder dormir sereinement.\nMais si je suis venu en ce monde...
MID_WU_S_1_WAKEUP_#004	c'est pour me battre...
MID_WU_S_1_WAKEUP_#005	et vous protéger coûte que coûte.
MID_WU_S_1_WAKEUP_#006	Faites-moi confiance dorénavant...
MID_WU_S_1_WAKEUP_#007	quelle que soit la douleur...
MID_WU_S_1_WAKEUP_#008	je m'en accommoderai...
MID_WU_S_1_WAKEUP_#009	tant que vous êtes en sûreté.
MID_WU_S_1_HELLO_#001	Vous êtes réveillé\x0E\x0A\x00\x06
MID_WU_S_1_HELLO_#002	Promettez-moi de rester indemne.
MID_WU_S_1_HELLO_#003	En cas de péril...
MID_WU_S_1_HELLO_#004	courez jusqu'à moi.
MID_WU_S_1_HELLO_#005	Je jure de vous protéger.
MID_WU_S_2_IN_#001	Debout, mon très cher Dragon divin.
MID_WU_S_2_IN_#002	Je crois que je vais rougir...
MID_WU_S_2_SOON_#001	Vous vous êtes levé\x0E\x0A\x00\x06
MID_WU_S_2_SOON_#002	Merci...
MID_WU_S_2_SOON_#003	J'apprécie votre prévenance.
MID_WU_S_2_SOON_#004	J'ai envie d'être aux petits soins...
MID_WU_S_2_SOON_#005	et de contribuer à votre bonheur.
MID_WU_S_2_WAKEUP_#001	Oh, Votre Divinité...
MID_WU_S_2_WAKEUP_#002	L'Anneau du Pacte que vous m'avez donné...
MID_WU_S_2_WAKEUP_#003	m'a procuré une joie indicible.\nJe vous en remercie.
MID_WU_S_2_WAKEUP_#004	Je suis encore sur un petit nuage.
MID_WU_S_2_WAKEUP_#005	Mais je dois me concentrer sur ma tâche...
MID_WU_S_2_WAKEUP_#006	et garantir votre sérénité.
MID_WU_S_2_WAKEUP_#007	Mes sentiments à votre égard\nse renforcent chaque jour.
MID_WU_S_2_WAKEUP_#008	Je m'évertuerai à vous protéger\nde toute douleur.
MID_WU_S_2_HELLO_#001	Bonjour.
MID_WU_S_2_HELLO_#002	De nouvelles batailles nous attendent.\nEt cette fois, je ne fuirai pas.
MID_WU_S_2_HELLO_#003	Mais avant cela...
MID_WU_S_2_HELLO_#004	J'aimerais vous serrer dans\nmes bras un bref instant.
MID_WU_S_2_HELLO_#005	Lorsque je suis à vos côtés...
MID_WU_S_2_HELLO_#006	je n'ai plus peur de rien.
