MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nSi tu ne viens pas te battre immédiatement...\nc'est ta toile qui me servira d'adversaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nComment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nTu trouves toujours du temps pour tes passions,\nmais jamais pour ton ami !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nComment veux-tu que notre lien se raffermisse\ndans ces conditions ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nCalmez-vous. *J'entends* vos récriminations,\nmais ce n'est pas en détruisant mon œuvre\nque vous parviendrez à vos fins.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nAu contraire, car alors je ne vous adresserais\nplus *jamais* la parole. Baissez votre arme,\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nHa ha ha !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nPeut-on savoir ce qui vous fait *rire* ainsi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nLa tension dans l'air ! Tu la sens, n'est-ce pas ?\nOn croirait voir deux rivaux au bord du conflit !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nTu me prends enfin au sérieux !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nPuisque tu ne veux pas m'affronter en ami, nous\nnous battrons donc en adversaires !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\n*Assez*.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nQu'y a-t-il ? Pourquoi recules-tu ? Tu ne veux\ndonc plus sauver ton œuvre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai lu votre regard. Vous n'êtes pas poussé\npar l'instinct de la destruction. Vous n'êtes\nqu'un *enfant* en quête d'attention.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nUn enfant ?! Quelle impertinence !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nLaissez-moi en paix. Je vous préviens, je ne\n*plaisante pas*.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06カゲツ\nPuisque je n'ai même pas mon mot à dire\nsur la question...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nZelkov, l'heure est venue...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nDe cesser de t'importuner avec les provocations.\nÇa n'a plus d'importance.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nCela n'a pas l'air de vous *ravir*.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nJ'ai bien compris que tu ne m'appréciais pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nJe ne *vous apprécie pas* ? Pourquoi\ndites-vous une chose pareille ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nParce que ça crève les yeux ! Tu ne m'apprécies\npas, et Dame Ivy ne m'apprécie pas davantage...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nCela m'attriste. Je voulais simplement me faire\ndes amis...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nDes *amis* ? Argh, ne soyez pas ridicule.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nJe comptais attendre que Son Altesse nous\nrejoigne avant de *dévoiler* ceci, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\n*Voici* la toile sur laquelle je travaillais.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nQu'est-ce que c'est que ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMon œuvre *achevée*. Elle nous représente\ntous les trois. Vous, Son Altesse et moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nMais... pourquoi m'avoir inclus ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nSon Altesse voulait vous en faire cadeau.\nEn guise de *célébration*.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nDe célébration de quoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDu jour où Son Altesse et moi-même vous\navons *rencontré*. L'auriez-vous oublié ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est aujourd'hui l'anniversaire de cette date.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nVous aviez gagné le château d'Elusia afin d'y\n*provoquer en duel* tout adversaire de valeur.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nVotre recherche *d'adversaires* coriaces vous\na mené depuis votre contrée natale jusqu'à\nnous.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nJ'ai vaincu l'un après l'autre tous les ennemis\nsurgissant du château... jusqu'à ce que tu\narrives.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nJe n'avais encore jamais été vaincu avant ce\njour. J'étais dévasté.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nMais Sa Majesté Hyacinth a fait *grand cas* de\nvotre talent, et vous a proposé une place au\nservice de Son Altesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nJe me souviens du regard que vous m'avez\nlancé, la princesse et toi !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nVous aviez l'air fort mécontent, et même\nen colère.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nConsidérez que vous veniez de réduire à\nnéant toute la *garde* du château pour une\nraison que vous étiez le seul à connaître.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nHm. C'est vrai que vu comme ça...\nJ'en suis désolé.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'étais très en colère contre vous, à l'époque,\nc'est certain. Mais tout cela est *pardonné*,\ndésormais.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nSon Altesse ne vous en veut plus non plus. À tel\npoint qu'elle souhaite *célébrer* l'anniversaire\nde notre rencontre.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nVous voyez comme elle tient à vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06カゲツ\nZelkov... Merci...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nVous... Vous ne *pleurez* pas, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\nAucune importance. Je m'apprêtais à retrouver\nla princesse Ivy. Peut-être souhaitez-vous\n*m'accompagner* ?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06カゲツ\nJe préfère t'attendre ici. Je ne voudrais pas\nqu'elle me voie dans cet état.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nVous ne devriez pas vous en *inquiéter*.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nLa princesse Ivy pourrait bien *apprécier* de\ndécouvrir cette facette de votre personnalité.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06カゲツ\nTu crois ? Êtes-vous donc tous deux si\nindulgents à mon égard ?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nVenez avec moi, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06カゲツ\nMon cœur déborde d'amour pour toi et\npour Son Altesse ! Je veillerai sur vous\ndeux à jamais !\x0E\x04\x00\x00
