MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リンデン\nJuste ciel, voyez comme votre nez coule !\nTenez, essuyez-le donc avec ça.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\nMerci encore...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nJ'ai préparé des biscuits, Boucheron ! Cuits\nà la magie de Foudre, cela va sans dire. Allons,\nrégalez-vous !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nJ'ai hâte d'y goûter ! Oh oh, je vois des raisins\nsecs dans ceux-là ! Hmm, quel délice !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nAvez-vous avancé dans votre livre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nJe l'ai même terminé.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nVraiment ? Dans ce cas, racontez-moi !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nVolontiers... Donc, après son mariage, L vit\nune existence simple mais heureuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nFace à l'adversité, le couple se serre les coudes,\net voit sa progéniture grandir.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nMais quand leurs enfants, devenus adultes,\nquittent la maison et que les époux s'apprêtent\nà vieillir ensemble, la femme de L meurt...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nSans même avoir pu goûter la dernière\npâtisserie que L lui avait préparée... cuite\nau sort de Foudre.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nAllons, allons, Boucheron. Voilà que je pleure\nmoi aussi, aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nブシュロン\nC'est à ce moment-là que j'ai compris qu'il\ns'agissait de votre histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nC'est vrai. L... comme Lindon.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nMais pourquoi ce livre raconte-t-il votre vie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nJ'ai voulu consigner l'histoire de ma vie, pour\nla postérité, avant de rejoindre mon épouse.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nMais j'ai bêtement égaré le manuscrit.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nC'est donc vous qui avez écrit ce livre ? Je suis\nnavré de l'avoir lu sans votre consentement...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nNe dites pas de bêtises. Je suis ravi que\nvous l'ayez trouvé, et que vous ayez lu toute\nl'histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nSachez que je l'ai trouvé remarquablement\nbien écrit.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nNous devrions passer plus de temps ensemble,\nvous et moi. Ainsi, l'histoire continuerait sous\nvos yeux jusqu'à ses dernières pages.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nAvec grand plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リンデン\nParfait ! Je suis d'humeur guillerette, à présent.\nJ'ai bien envie de concocter une nouvelle\nfournée de biscuits !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nMais la pâtisserie à la magie de Foudre prend du\ntemps, alors racontez-moi plutôt votre histoire,\nmon garçon !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nVoyons, commençons par le commencement...\nAvec la rencontre de mes parents, par exemple.\x0E\x04\x00\x00
