MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nHmm, cette souplesse en bouche !\nCe poisson grillé est tout simplement divin.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nCet échec, vous avez su me le pardonner, allant\njusqu'à m'engager comme votre chef attitré.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nCette bonté dont vous avez su faire preuve,\njamais je ne pourrai vous la rendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nJe vois. Mais tu sais, Bunet, ce concours\nm'était tout à fait égal.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nSi j'étais heureux que tu y participes, c'est\nparce qu'il m'avait permis de te revoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\nQuoi ? C'était ce que vous aviez prévu depuis\nle début ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nTout à fait. Notre dernière conversation dans\nl'auberge de tes parents remontait à des années.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nC'est vrai. Notre séparation a eu un goût des\nplus amers.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nMais mettons ce sujet de côté pour le moment,\nsi vous le voulez bien. Le plat principal est prêt.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nL'amertume de ces souvenirs risquerait\nde vous détourner de sa succulente saveur.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nTu n'as pas tort.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nMais quel plat incroyable ! Tu es vraiment\nle meilleur cuisinier au monde !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nDélicieux... Eh bien voilà, j'ai fini le dessert !\nCe repas était vraiment exquis.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nVos compliments sont une douceur\npour mon âme.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nJe perçois pourtant une note amère...\nEntamons-nous là une discussion éprouvante ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nOui... Vous avez dit quelque chose que je ne\ncesse de ruminer. Vous... m'avez cherché ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nOui. Quand j'ai entendu que ta ville avait été\nsaccagée par des bandits, j'étais dévasté.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nIl ne restait plus rien. L'auberge si sympathique\nde tes parents n'était plus qu'un tas de cendres.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nCette image me hantera à jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nJ'étais désespéré. J'étais venu aussi rapidement\nque je le pouvais, mais il était déjà trop tard.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nTu t'étais enfui avec tous les autres.\nJ'ignorais complètement où tu étais allé.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nJe suis désolé. Tout s'est passé si vite\nque je n'ai même pas pu vous prévenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\nCe n'était pas ta faute. Mais je n'ai jamais\ncessé de te chercher.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nTa cuisine délicieuse me manquait.\nMais plus encore, nos conversations\nme manquaient.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nElles me manquaient, à moi aussi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nQuand j'ai entendu parler de ce concours\nde cuisine, j'étais sûr que tu participerais.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nJe savais que tu ne laisserais pas passer cette\noccasion de briller devant le royaume entier.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nAu final, ce sont tes talents culinaires\nqui nous ont réunis.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nIl n'empêche que j'ai perdu le concours...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nEt c'est reparti ! Écoute, Bunet, ce n'est qu'une\npetite défaite. Tu n'avais plus l'habitude...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nSi un autre concours avait lieu aujourd'hui,\ntu le remporterais haut la main.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ボネ\nOh, Fogado... Merci.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nJe vous suis reconnaissant d'avoir continué à\nme chercher. C'est grâce à votre ténacité que\nnous pouvons savourer de tels moments.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nVous êtes vraiment mon sauveur.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\nJe ne me serais jamais qualifié de sauveur...\nmais je l'accepte.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nAh, et pour ton information, je ne te laisserai\nplus jamais me quitter ainsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nMoi non plus.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nJe suis votre vassal, et votre chef attitré.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nMais le plus important, c'est que je suis votre\nmeilleur ami. Et en tant que tel, mon entière\nfidélité vous est acquise.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nフォガート\nJ'en suis bien heureux. Il n'y a pareille douceur\nà ton amitié, Bunet.\x0E\x04\x00\x00
