MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nJe crois déceler chez vous comme une pointe\nde ressentiment à l'endroit du Dragon divin,\nDame Nel.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJ'ai connu une excellente fortune au combat\nces derniers temps, Byleth, et c'est à vous que\nje le dois. Continuons d'œuvrer ensemble.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ベレト\nQue voilà des paroles rassurantes, Zelestia.\nJe compte pleinement sur vous, moi aussi.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQuand j'observe ce Dragon divin, il m'arrive\nde me demander pourquoi je ne suis point\nparvenue à protéger celui de l'autre monde.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06ベレト\nVoilà un sentiment qui m'est par trop familier.\nJe n'ai pas pu sauver mon père, voyez-vous...\nJ'étais alors obnubilé par de telles pensées.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nByleth, vous avez évoqué la perte de votre père.\nComment avez-vous surmonté cette épreuve ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ベレト\nMes élèves m'ont soutenu admirablement,\net heureusement, car je n'aurais sans doute\npas été capable de relever la tête sans eux.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ベレト\nN'ayez pas peur de vous en remettre à ceux\nqui vous entourent, Zelestia. Vous n'êtes pas\nseule, ne l'oubliez jamais.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nMerci, vos paroles me font le plus grand bien,\net je suis rassurée de vous savoir à mes côtés.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nC'est incroyable, l'expression de votre visage\nne change jamais, même en plein combat.\nHum, désolé. C'était pas très poli de ma part.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06ベレト\nCe n'est rien. On me le fait souvent remarquer...\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIl paraît que vous étiez mercenaire avant\nde devenir professeur. Plutôt chanceux,\ncomme changement de vocation.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06ベレト\nC'est moins le fruit du hasard que du destin...\nEnfin, c'est ce qu'on m'a dit. Quoi qu'il en soit,\nj'ai rencontré nombre d'élèves fascinants.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJe suis désolé, je passe mon temps à\ndécamper. Un grand combattant comme\nvous doit me trouver lamentable...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ベレト\nIl n'y a point de honte à battre en retraite,\nsi cela vous permet de survivre.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ベレト\nCela peut même constituer une tactique avisée.\nJ'ai vu trop d'alliés périr parce qu'ils n'avaient\npas su saisir cette opportunité.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nUne tactique avisée, hein... Je ne m'attendais\nvraiment pas à ça de votre part. Cela dit,\nje serai peut-être moins frileux à vos côtés.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVous avez encore poursuivi l'entraînement\ntard dans la soirée, hier. Vous êtes méritante,\nmais ne vous poussez pas jusqu'à l'épuisement.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nVous avez mille fois raison. Je ne puis me\npermettre de sacrifier bêtement ma vie alors\nque Mauvier s'est tant employé à la sauver.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nPourquoi êtes-vous figée comme une statue ?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nU-Un instant je vous prie, Messire Byleth.\nJe v-vais chasser cet insecte sans t-tarder !\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVotre peur des insectes est manifeste, Madeline.\nÀ quoi bon prétendre le contraire ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nJ'abdique, vous m'avez démasquée. J'ai peur\ndes insectes. Mais je suis un chevalier, et un\nchevalier doit se garder de telles faiblesses.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ベレト\nAvoir des faiblesses n'a rien de si terrible,\net je dirais même que vous auriez beaucoup\nà gagner en vous acceptant telle que vous êtes.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nM'accepter telle que je suis... Peut-être ai-je\nmal jugé des qualités qui font un chevalier.\nJe tâcherai de garder ce conseil à l'esprit !\x0E\x04\x00\x00
