MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHIYAH !
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nOh... Hé, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nVous voudrez pas de mon bois, aujourd'hui.\nLes coupes sont toutes déformées.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nSi je suis venu aujourd'hui, ce n'est pas\npour ton bois.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nTiens, je t'ai fait un ragout au saumon.\nJ'espère que son goût n'est pas trop\ndifférent de celui de tes souvenirs.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nOh, cool ! Je peux le manger tout de suite ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nOui, profites-en tant qu'il est encore chaud.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\nMerci beaucoup !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nHmmm ! Ça me réchauffe tout entière.\nEn plus, il a exactement le même goût\nque celui qu'on faisait chez moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nJ'en suis heureux. Cela n'a pas été simple.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nJ'ai dû me renseigner sur la cuisine de\nton village, puis j'ai cherché toutes les épices.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nJe n'étais pas sûr d'avoir obtenu\nles mêmes saveurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nAlors c'est pour ça que je retrouve le goût\nde ma maison. Oh, vous avez fait tout ça pour\nmoi ? Ça me fait drôlement plaisir !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nMa famille me manquait tellement que\nje coupais du bois n'importe comment.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nMais là, je me sens beaucoup mieux après\navoir retrouvé ce goût familier ! Je vais couper\ndes centaines de bûches, même !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nSi ta famille te manque à nouveau, viens me\nvoir. Je peux au moins aider tes papilles à\nretrouver les sensations d'autrefois.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nMerci. Du coup, je vous dois combien\npour le ragout ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nRien du tout. Je voulais te l'offrir pour\nte remercier.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nOh non ! Je fonctionne pas comme ça, moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nComment je vous vendrai du bois, moi,\nsi j'accepte votre charité ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nTu es vraiment rusée...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nDans ce cas, paie-moi en bois. En fonction\nde la valeur que tu attribues à ce ragout.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06アンナ\nMarché conclu ! Comme c'est votre premier\nachat, je vous en mets même un peu plus !\nAu plaisir de vous revoir !\x0E\x04\x00\x00
