MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVous êtes-vous enfin décidé, Boucheron ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nエーティエ\nJ'ai beau vous avoir épié jour et nuit, je n'ai\ntrouvé aucun élément incriminant.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nIl faut croire que votre musculature n'a rien\nd'artificiel.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nエーティエ\nJe regrette de ne pas vous avoir cru.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nTant que vous admettez votre méprise,\nje ne vous en veux pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nJe crois qu'une explication s'impose.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nJe vous écoute.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nVotre constitution ne me rend pas jalouse.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nMais il est dans l'intérêt de notre prince que\nje sois aussi forte que vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nVoilà pourquoi j'ai autant insisté.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nJe vois. C'était donc ça...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nOui. Je n'ai pas à rougir de ma force, mais je\npourrais la développer bien davantage pour\nprotéger notre patrie.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nEn renforçant ma masse musculaire, je serai\nencore plus à même de servir le prince Alfred\net notre cher royaume de Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nEtie, vous faites fausse route.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nSi vous me ressembliez davantage, Firene serait\nen bien mauvaise posture.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nQu'est-ce que vous voulez dire par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nJe suis de constitution robuste, c'est vrai.\nC'est une qualité indéniable.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nブシュロン\nMais dans d'autres domaines, la situation est\nbien moins reluisante. Mon sens de l'orientation\nest abominable, par exemple.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nSans vous, je me serais égaré à maintes reprises\nen pleine bataille.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nJ'ai des qualités, et vous en avez d'autres.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nTout ce qui compte, c'est d'unir nos forces\net de nous compléter l'un l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nJe n'avais jamais considéré les choses sous\ncet angle, mais vous avez raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nエーティエ\nJ'étais trop occupée à développer ma force\nphysique pour m'en apercevoir.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nCe n'est pas un concours. L'union fait\nle muscle, comme on dit.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nC'est la première loi de la musculation\nde Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nエーティエ\nJe ne suis pas certaine de vous suivre,\nmais cela a le mérite de sonner juste.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nJe voulais simplement détendre l'atmosphère,\nmais visiblement, c'est raté.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nÉcoutez, Etie...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nPour notre prince et le royaume de Firene,\nc'est un honneur de me battre à vos côtés.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nエーティエ\nJe vous remercie. Tout l'honneur est pour\nmoi. Unissons nos forces selon la loi de la\nmusculation, comme de vrais camarades.\x0E\x04\x00\x00
