MSID_Hp_5	PV +5
MSID_H_Def_5	Confère Déf +5.
MSID_Mag_2	Magie +2
MSID_H_Mag_2	Confère Mag +2.
MSID_Mag_3	Magie +3
MSID_H_Mag_3	Confère Mag +3.
MSID_Mag_4	Magie +4
MSID_H_Mag_4	Confère Mag +4.
MSID_Mag_5	Magie +5
MSID_H_Mag_5	Confère Mag +5.
MSID_Res_2	Résistance +2
MSID_H_Res_2	Confère Rés +2.
MSID_Res_3	Résistance +3
MSID_H_Res_3	Confère Rés +3.
MSID_Res_4	Résistance +4
MSID_H_Res_4	Confère Rés +4.
MSID_Res_5	Résistance +5
MSID_H_Res_5	Confère Rés +5.
MSID_Phy_3	Constitution +3
MSID_H_Phy_3	Confère Cst +3.
MSID_Phy_4	Constitution +4
MSID_H_Phy_4	Confère Cst +4.
MSID_Phy_5	Constitution +5
MSID_H_Phy_5	Confère Cst +5.
MSID_Mov_1	Mouvement +1
MSID_H_Mov_1	Confère Mvt +1.
MSID_Avo_10	Esquive +10
MSID_H_Avo_10	Confère Esq +10.
MSID_Avo_15	Esquive +15
MSID_H_Avo_15	Confère Esq +15.
MSID_Avo_20	Esquive +20
MSID_H_Avo_20	Confère Esq +20.
MSID_Avo_25	Esquive +25
MSID_H_Avo_25	Confère Esq +25.
MSID_Avo_30	Esquive +30
MSID_H_Avo_30	Confère Esq +30.
MSID_Hit_10	Précision +10
MSID_H_Hit_10	Confère Prc +10.
MSID_Hit_15	Précision +15
MSID_H_Hit_15	Confère Prc +15.
MSID_Hit_20	Précision +20
MSID_H_Hit_20	Confère Prc +20.
MSID_Hit_25	Précision +25
MSID_H_Hit_25	Confère Prc +25.
MSID_Hit_30	Précision +30
MSID_H_Hit_30	Confère Prc +30.
MSID_CriAvo_10	Évitement +10
MSID_H_CriAvo_10	Confère Évit +10.
MSID_CriAvo_15	Évitement +15
MSID_H_CriAvo_15	Confère Évit +15.
MSID_CriAvo_20	Évitement +20
MSID_H_CriAvo_20	Confère Évit +20.
MSID_CriAvo_25	Évitement +25
MSID_H_CriAvo_25	Confère Évit +25.
MSID_CriAvo_30	Évitement +30
MSID_H_CriAvo_30	Confère Évit +30.
MSID_SwordArts_Soft_1	Agilité épée 1
MSID_H_SwordArts_Soft_1	Confère Esq +10 et inflige Crit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Soft_2	Agilité épée 2
MSID_H_SwordArts_Soft_2	Confère Esq +15 et inflige Crit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Soft_3	Agilité épée 3
MSID_H_SwordArts_Soft_3	Confère Esq +20 et inflige Crit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Soft_4	Agilité épée 4
MSID_H_SwordArts_Soft_4	Confère Esq +25 et inflige Crit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Soft_5	Agilité épée 5
MSID_H_SwordArts_Soft_5	Confère Esq +30 et inflige Crit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Hard_1	Puissance épée 1
MSID_H_SwordArts_Hard_1	Confère Atq +2 et inflige Esq -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Hard_2	Puissance épée 2
MSID_H_SwordArts_Hard_2	Confère Atq +4 et inflige Esq -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Hard_3	Puissance épée 3
MSID_H_SwordArts_Hard_3	Confère Atq +6 et inflige Esq -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Hard_4	Puissance épée 4
MSID_H_SwordArts_Hard_4	Confère Atq +8 et inflige Esq -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Hard_5	Puissance épée 5
MSID_H_SwordArts_Hard_5	Confère Atq +10 et inflige Esq -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Mind_1	Concentration épée 1
MSID_H_SwordArts_Mind_1	Confère Prc +10 et inflige Évit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Mind_2	Concentration épée 2
MSID_H_SwordArts_Mind_2	Confère Prc +15 et inflige Évit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Mind_3	Concentration épée 3
MSID_H_SwordArts_Mind_3	Confère Prc +20 et inflige Évit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Mind_4	Concentration épée 4
MSID_H_SwordArts_Mind_4	Confère Prc +25 et inflige Évit -10\nlorsque l'unité utilise une épée.
MSID_SwordArts_Mind_5	Concentration épée 5
MSID_H_SwordArts_Mind_5	Confère Prc +30 et inflige Évit -10\nlorsque l'unité utilise une épée.
MSID_LanceArts_Soft_1	Agilité lance 1
MSID_H_LanceArts_Soft_1	Confère Esq +10 et inflige Crit -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Soft_2	Agilité lance 2
MSID_H_LanceArts_Soft_2	Confère Esq +15 et inflige Crit -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Soft_3	Agilité lance 3
MSID_H_LanceArts_Soft_3	Confère Esq +20 et inflige Crit -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Soft_4	Agilité lance 4
MSID_H_LanceArts_Soft_4	Confère Esq +25 et inflige Crit -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Soft_5	Agilité lance 5
MSID_H_LanceArts_Soft_5	Confère Esq +30 et inflige Crit -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Hard_1	Puissance lance 1
MSID_H_LanceArts_Hard_1	Confère Atq +2 et inflige Esq -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Hard_2	Puissance lance 2
MSID_H_LanceArts_Hard_2	Confère Atq +4 et inflige Esq -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Hard_3	Puissance lance 3
MSID_H_LanceArts_Hard_3	Confère Atq +6 et inflige Esq -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Hard_4	Puissance lance 4
MSID_H_LanceArts_Hard_4	Confère Atq +8 et inflige Esq -10\nlorsque l'unité utilise une lance.
MSID_LanceArts_Hard_5	Puissance lance 5
MSID_H_LanceArts_Hard_5	Confère Atq +10 et inflige Esq -10\nlorsque l'unité utilise une lance.
MSID_AxeArts_Hard_1	Puissance hache 1
MSID_H_AxeArts_Hard_1	Confère Atq +2 et inflige Esq -10\nlorsque l'unité utilise une hache.
MSID_AxeArts_Hard_2	Puissance hache 2
MSID_H_AxeArts_Hard_2	Confère Atq +4 et inflige Esq -10\nlorsque l'unité utilise une hache.
MSID_AxeArts_Hard_3	Puissance hache 3
MSID_H_AxeArts_Hard_3	Confère Atq +6 et inflige Esq -10\nlorsque l'unité utilise une hache.
MSID_AxeArts_Hard_4	Puissance hache 4
MSID_H_AxeArts_Hard_4	Confère Atq +8 et inflige Esq -10\nlorsque l'unité utilise une hache.
MSID_AxeArts_Hard_5	Puissance hache 5
MSID_H_AxeArts_Hard_5	Confère Atq +10 et inflige Esq -10\nlorsque l'unité utilise une hache.
MSID_BowArts_Soft_1	Agilité arc 1
MSID_H_BowArts_Soft_1	Confère Esq +10 et inflige Crit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Soft_2	Agilité arc 2
MSID_H_BowArts_Soft_2	Confère Esq +15 et inflige Crit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Soft_3	Agilité arc 3
MSID_H_BowArts_Soft_3	Confère Esq +20 et inflige Crit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Soft_4	Agilité arc 4
MSID_H_BowArts_Soft_4	Confère Esq +25 et inflige Crit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Soft_5	Agilité arc 5
MSID_H_BowArts_Soft_5	Confère Esq +30 et inflige Crit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Mind_1	Concentration arc 1
MSID_H_BowArts_Mind_1	Confère Prc +10 et inflige Évit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Mind_2	Concentration arc 2
MSID_H_BowArts_Mind_2	Confère Prc +15 et inflige Évit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Mind_3	Concentration arc 3
MSID_H_BowArts_Mind_3	Confère Prc +20 et inflige Évit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Mind_4	Concentration arc 4
MSID_H_BowArts_Mind_4	Confère Prc +25 et inflige Évit -10\nlorsque l'unité utilise un arc.
MSID_BowArts_Mind_5	Concentration arc 5
MSID_H_BowArts_Mind_5	Confère Prc +30 et inflige Évit -10\nlorsque l'unité utilise un arc.
MSID_MartialArts_Mind_1	Concentration art 1
MSID_H_MartialArts_Mind_1	Confère Prc +10 et inflige Évit -10\nlorsque l'unité utilise un art.
MSID_MartialArts_Mind_2	Concentration art 2
MSID_H_MartialArts_Mind_2	Confère Prc +15 et inflige Évit -10\nlorsque l'unité utilise un art.
MSID_MartialArts_Mind_3	Concentration art 3
MSID_H_MartialArts_Mind_3	Confère Prc +20 et inflige Évit -10\nlorsque l'unité utilise un art.
MSID_MartialArts_Mind_4	Concentration art 4
MSID_H_MartialArts_Mind_4	Confère Prc +25 et inflige Évit -10\nlorsque l'unité utilise un art.
MSID_MartialArts_Mind_5	Concentration art 5
MSID_H_MartialArts_Mind_5	Confère Prc +30 et inflige Évit -10\nlorsque l'unité utilise un art.
MSID_KnifeArts_1	Précision dague 1
MSID_H_KnifeArts_1	Confère Prc +3 et Esq +3 lorsque\nl'unité utilise une dague.
MSID_KnifeArts_2	Précision dague 2
MSID_H_KnifeArts_2	Confère Prc +5 et Esq +5 lorsque\nl'unité utilise une dague.
MSID_KnifeArts_3	Précision dague 3
MSID_H_KnifeArts_3	Confère Prc +7 et Esq +7 lorsque\nl'unité utilise une dague.
MSID_KnifeArts_4	Précision dague 4
MSID_H_KnifeArts_4	Confère Prc +10 et Esq +10 lorsque\nl'unité utilise une dague.
MSID_KnifeArts_5	Précision dague 5
MSID_H_KnifeArts_5	Confère Prc +15 et Esq +15 lorsque\nl'unité utilise une dague.
MSID_MagicArts_1	Précision tome 1
MSID_H_MagicArts_1	Confère Prc +3 et Esq +3 lorsque\nl'unité utilise un tome.
MSID_MagicArts_2	Précision tome 2
MSID_H_MagicArts_2	Confère Prc +5 et Esq +5 lorsque\nl'unité utilise un tome.
MSID_MagicArts_3	Précision tome 3
MSID_H_MagicArts_3	Confère Prc +7 et Esq +7 lorsque\nl'unité utilise un tome.
MSID_MagicArts_4	Précision tome 4
MSID_H_MagicArts_4	Confère Prc +10 et Esq +10 lorsque\nl'unité utilise un tome.
MSID_MagicArts_5	Précision tome 5
MSID_H_MagicArts_5	Confère Prc +15 et Esq +15 lorsque\nl'unité utilise un tome.
MSID_RodArts_1	Maîtrise bâton 1
MSID_H_RodArts_1	Confère Prc +10 lorsque l'unité\nutilise un bâton. Les bâtons soignent\n3 PV supplémentaires.
MSID_RodArts_2	Maîtrise bâton 2
MSID_H_RodArts_2	Confère Prc +15 lorsque l'unité\nutilise un bâton. Les bâtons soignent\n5 PV supplémentaires.
MSID_RodArts_3	Maîtrise bâton 3
MSID_H_RodArts_3	Confère Prc +20 lorsque l'unité\nutilise un bâton. Les bâtons soignent\n7 PV supplémentaires.
MSID_RodArts_4	Maîtrise bâton 4
MSID_H_RodArts_4	Confère Prc +25 lorsque l'unité\nutilise un bâton. Les bâtons soignent\n10 PV supplémentaires.
MSID_RodArts_5	Maîtrise bâton 5
MSID_H_RodArts_5	Confère Prc +30 lorsque l'unité\nutilise un bâton. Les bâtons soignent\n15 PV supplémentaires.
MSID_Outclass_1	Perception
MSID_H_Outclass_1	Confère Esq +15 si l'unité initie\nle combat. L'Esq augmente si la\nVit est élevée.
MSID_Outclass_2	Perception +
MSID_H_Outclass_2	Confère Esq +30 si l'unité initie\nle combat. L'Esq augmente si la\nVit est élevée.
MSID_Fortitude_1	Inflexible
MSID_H_Fortitude_1	Au début de la phase joueur,\nrestitue 20 % des PV max de l'unité\nsi celle-ci a 20 % de PV restants\nou moins.
MSID_Fortitude_2	Inflexible +
MSID_H_Fortitude_2	Au début de la phase joueur,\nrestitue 30 % des PV max de l'unité\nsi celle-ci a 30 % de PV restants\nou moins.
MSID_Fortitude_3	Inflexible ++
MSID_H_Fortitude_3	Au début de la phase joueur,\nrestitue 40 % des PV max de l'unité\nsi celle-ci a 40 % de PV restants\nou moins.
MSID_MarthEngage	Célérité divine
MSID_H_MarthEngage	L'unité effectue une attaque\nsupplémentaire infligeant 50 %\nde dégâts au combat.
MSID_H_MarthEngage_Covert	L'unité effectue une attaque\nsupplémentaire infligeant 50 %\nde dégâts au combat.\nFurtif : si l'attaque supplémentaire\nréussit, elle empoisonne l'ennemi.
MSID_H_MarthEngage_Dragon	L'unité effectue une attaque\nsupplémentaire infligeant 50 %\nde dégâts au combat.\nDragon : l'unité récupère en PV\nles dégâts de l'att. supplémentaire.
MSID_BreakPursuit	Brise-défense
MSID_H_BreakPursuit	Si l'attaque de l'unité brise la garde\nde l'ennemi, l'unité effectue\nune attaque supplémentaire\ninfligeant 50 % de dégâts.
MSID_MarthEngageAtk	Adrénaline du guide
MSID_H_MarthEngageAtk	Permet d'effectuer 7 attaques\nconsécutives à l'épée infligeant\n30 % de dégâts. Atteint seulement\nun ennemi adjacent.
MSID_H_MarthEngageAtk_Dragon	Permet d'effectuer 7 attaques\nconsécutives à l'épée infligeant\n30 % de dégâts. Atteint seulement\nun ennemi adjacent.\nDragon : 2 attaques supplémentaires.
MSID_H_MarthEngageAtk_Coop	Permet d'effectuer 7 attaques\nconsécutives à l'épée infligeant 30 %\nde dégâts. Atteint seulement un\nennemi adjacent.\nSoutien : 1 attaque supplémentaire.
MSID_H_MarthEngageAtk_Magic	Permet d'effectuer 7 attaques\nconsécutives à l'épée infligeant 30 %\nde dégâts. Atteint seulement un\nennemi adjacent.\nMystique : dégâts basés sur Mag.
MSID_H_MarthEngageAtk_CMD	Infligez une volée de coups.
MSID_Remove_1	Mobilité
MSID_H_Remove_1	Après avoir agi, l'unité peut se\ndéplacer de 2 cases.
MSID_Remove_2	Mobilité +
MSID_H_Remove_2	Après avoir agi, l'unité peut se\ndéplacer de 3 cases.
MSID_Approach_1	Élan
MSID_H_Approach_1	Confère Atq +1 à la première attaque\nde l'unité pour chaque case qu'elle a\nparcourue avant le combat (10 au\nmaximum).
MSID_Approach_2	Élan +
MSID_H_Approach_2	Confère Atq +1 à la première attaque\nde l'unité pour chaque case qu'elle\na parcourue avant le combat.
MSID_Rush	Course hâtive
MSID_H_Rush	Immunise l'unité contre le Gel.
MSID_SigludEngage	Galop
MSID_H_SigludEngage	Confère Mvt +5.
MSID_H_SigludEngage_Dragon	Confère Mvt +5.\nDragon : confère Mvt +1\nsupplémentaire.
MSID_H_SigludEngage_Horse	Confère Mvt +5.\nCavalerie : confère Mvt +2\nsupplémentaire.
MSID_H_SigludEngage_Covert	Confère Mvt +5.\nFurtif : les déplacements de l'unité\nne sont entravés sur aucun terrain.
MSID_SigludEngageAtk	Dépassement
MSID_H_SigludEngageAtk	Permet d'attaquer et de traverser\nune ligne d'ennemis adjacents.\nÉpées/lances uniquement.
MSID_H_SigludEngageAtk_Dragon	Permet d'attaquer et de traverser\nune ligne d'ennemis adjacents.\nÉpées/lances uniquement.\nDragon : +20 % de dégâts.
MSID_H_SigludEngageAtk_Heavy	Permet d'attaquer et de traverser\nune ligne d'ennemis adjacents.\nÉpées/lances uniquement.\nCuirassé : 10 % de chance de briser\nla garde de la cible.
MSID_H_SigludEngageAtk_Magic	Permet d'attaquer et de traverser\nune ligne d'ennemis adjacents.\nÉpées/lances uniquement.\nMystique : dégâts augmentés\nde 25 % de Mag.
MSID_H_SigludEngageAtk_Prana	Permet d'attaquer et de traverser\nune ligne d'ennemis adjacents.\nÉpées/lances uniquement.\nAdepte qi : 20 % de chance de briser\nla garde de la cible.
MSID_H_SigludEngageAtk_CMD	Attaquez et dépassez\nles ennemis.
MSID_M011_SigludEngage_DarkSide	Galop noir
MSID_H_M011_SigludEngage_DarkSide	Confère Mvt +3.
MSID_EvilCounter_1	Posture sainte
MSID_H_EvilCounter_1	Si une Aberration attaque\nl'unité, 10 % des dégâts reçus\nsont réinfligés à l'ennemi.
MSID_EvilCounter_2	Posture sainte +
MSID_H_EvilCounter_2	Si une Aberration attaque\nl'unité, 30 % des dégâts reçus\nsont réinfligés à l'ennemi.
MSID_EvilCounter_3	Posture sainte ++
MSID_H_EvilCounter_3	Si une Aberration attaque\nl'unité, 50 % des dégâts reçus\nsont réinfligés à l'ennemi.
MSID_BlackMagic_1	Résonance
MSID_H_BlackMagic_1	Si l'unité est équipée d'un tome et\nque ses PV sont au moins à 2, l'unité\nperd 1 PV en début de combat\net inflige +2 points de dégâts.
MSID_BlackMagic_2	Résonance +
MSID_H_BlackMagic_2	Si l'unité est équipée d'un tome et\nque ses PV sont au moins à 2, l'unité\nperd 1 PV en début de combat\net inflige +3 points de dégâts.
MSID_FavoriteFood	Plat préféré
MSID_H_FavoriteFood	Si l'unité mange un plat emporté,\nsa jauge de fusion est remplie\nau maximum.
MSID_CelicaEngage	Écho
MSID_H_CelicaEngage	Permet de lancer une attaque\nmagique pour 50 % de dégâts.\nPeut être utilisé une deuxième fois\npour une autre attaque à 50 %.
MSID_H_CelicaEngage_Dragon	Permet de lancer une attaque\nmagique pour 50 % de dégâts.\nPeut être utilisé une deuxième fois\npour une autre attaque à 50 %.\nDragon : portée +1.
MSID_H_CelicaEngage_Magic	Permet de lancer une attaque\nmagique pour 50 % de dégâts.\nPeut être utilisé une deuxième fois\npour une autre attaque à 50 %.\nMystique : +10 % de dégâts.
MSID_H_CelicaEngage_CMD	Lancez deux attaques\ndistinctes.
MSID_CelicaEngageAtk	Téléragnation
MSID_H_CelicaEngageAtk	Permet de se rendre à 10 cases\nmax par téléportation et d'asséner\nune puissante attaque magique.
MSID_H_CelicaEngageAtk_Dragon	Permet de se rendre à 10 cases\nmax par téléportation et d'asséner\nune puissante attaque magique.\nDragon : portée d'attaque +1
MSID_H_CelicaEngageAtk_Horse	Permet de se rendre à 10 cases\nmax par téléportation et d'asséner\nune puissante attaque magique.\nCavalerie : distance de\ntéléportation +2.
MSID_H_CelicaEngageAtk_Fly	Permet de se rendre à 10 cases\nmax par téléportation et d'asséner\nune puissante attaque magique.\nVolant : distance de téléportation +5.
MSID_H_CelicaEngageAtk_Magic	Permet de se rendre à 10 cases\nmax par téléportation et d'asséner\nune puissante attaque magique.\nMystique : +20 % de dégâts.
MSID_H_CelicaEngageAtk_CMD	Téléportez-vous et attaquez.
MSID_M011_CelicaEngageAtk_DarkSide	Téléport. noire
MSID_CelicaEngageAtk_DarkSide	Ragnaportation
MSID_H_CelicaEngageAtk_DarkSide	Permet de lancer une attaque\nmagique puissante, puis de se\ntéléporter autre part sur la carte.
MSID_H_CelicaEngageAtk_DarkSide_CMD	Attaquez, puis téléportez-vous.
MSID_H_M011_CelicaEngageAtk_DarkSide	Permet de se rendre à 5 cases\nmax par téléportation et d'asséner\nune puissante attaque magique.
MSID_EvilCounter_3_DarkSide	Posture profane
MSID_H_EvilCounter_3_DarkSide	L'unité inflige 50 % des dégâts\nqu'elle subit lors d'une attaque\nd'un ennemi qui n'est pas une\nAberration.
MSID_EquipRod_1	Clerc
MSID_H_EquipRod_1	L'unité peut être équipée de bâtons\nde niveau C maximum.
MSID_EquipRod_2	Clerc +
MSID_H_EquipRod_2	L'unité peut être équipée de bâtons\nde niveau B maximum.
MSID_EquipRod_3	Clerc ++
MSID_H_EquipRod_3	L'unité peut être équipée de bâtons\nde niveau A maximum.
MSID_Silenceproof	Anti-silence
MSID_H_Silenceproof	Immunise l'unité contre le Silence.
MSID_HealingResonance	Lumière de soins
MSID_H_HealingResonance	Quand l'unité soigne un allié à l'aide\nd'un bâton, elle récupère également\n50 % des PV restitués.
MSID_MicaiahEngage	Augmentation
MSID_H_MicaiahEngage	Confère +5 à la portée du bâton\net +1 à la zone d'effet.
MSID_H_MicaiahEngage_Dragon	Confère +5 à la portée du bâton\net +1 à la zone d'effet.\nDragon : portée du bâton +1\nsupplémentaire.
MSID_H_MicaiahEngage_Prana	Confère +5 à la portée du bâton\net +1 à la zone d'effet.\nAdepte qi : les bâtons restituent\n+20 % de PV.
MSID_MicaiahEngageAtk	Grand sacrifice
MSID_H_MicaiahEngageAtk	Restaure les PV de tous les alliés,\nmême ceux que le joueur ne contrôle\npas. L'unité s'y livrant voit ses PV\ntomber à 1.
MSID_H_MicaiahEngageAtk_Dragon	Restaure les PV de tous les alliés,\nmême ceux que le joueur ne contrôle\npas. L'unité s'y livrant voit ses PV\ntomber à 1. Dragon : l'unité voit ses\nPV du moment réduits à 30 %.
MSID_H_MicaiahEngageAtk_Heavy	Restaure les PV de tous les alliés,\nmême ceux que le joueur ne contrôle\npas. L'unité s'y livrant voit ses PV\ntomber à 1. Cuirassé : Déf +1 au\ncombat suivant pour tous les guéris.
MSID_H_MicaiahEngageAtk_Prana	Restaure les PV de tous les alliés,\nmême ceux que le joueur ne contrôle\npas. L'unité s'y livrant voit ses PV\ntomber à 1. Adepte qi : soigne\négalement les altérations d'état.
MSID_H_MicaiahEngageAtk_CMD	Soignez tous les alliés avec vos PV.
MSID_M011_MicaiahEngage_DarkSide	Augmentation noire
MSID_H_M011_MicaiahEngage_DarkSide	Confère +3 à la portée du bâton\net +1 à la zone d'effet.
MSID_HoldOut_1	In extremis
MSID_H_HoldOut_1	Si l'unité avait au moins 30 % de\nPV au début du combat et qu'elle\nreçoit un coup fatal, elle survit avec\n1 PV.
MSID_HoldOut_2	In extremis +
MSID_H_HoldOut_2	Si l'unité avait au moins 20 % de\nPV au début du combat et qu'elle\nreçoit un coup fatal, elle survit avec\n1 PV.
MSID_HoldOut_3	In extremis ++
MSID_H_HoldOut_3	Si l'unité avait au moins 10 % de\nPV au début du combat et qu'elle\nreçoit un coup fatal, elle survit avec\n1 PV.
MSID_HoldOut_4	In extremis +++
MSID_H_HoldOut_4	Si l'unité avait au moins 2 PV au\ndébut du combat et qu'elle reçoit\nun coup fatal, elle survit avec 1 PV.
MSID_ClosingAttack	Avancée
MSID_H_ClosingAttack	Permet de se déplacer d'1 case\nvers un ennemi éloigné de 2 cases,\npuis de l'attaquer.
MSID_H_ClosingAttack_CMD	Avancez d'1 case et attaquez.
MSID_RoyEngage	Élévation
MSID_H_RoyEngage	Confère +5 au niveau.
MSID_H_RoyEngage_Dragon	Confère +5 au niveau.\nDragon : confère +1 niveau\nsupplémentaire.
MSID_H_RoyEngage_Horse	Confère +5 au niveau.\nCavalerie : confère Mvt +1.
MSID_H_RoyEngage_Heavy	Confère +5 au niveau.\nCuirassé : confère PV max +5.
MSID_RoyEngageAtk	Lion flamboyant
MSID_H_RoyEngageAtk	Permet d'attaquer 3 cases devant\nsoi, contenant un ennemi adjacent.\nLa zone s'enflamme, et 2 rangées\nderrière elle. Réservé aux épées.
MSID_H_RoyEngageAtk_Dragon	Permet d'attaquer 3 cases devant\nsoi, contenant un ennemi adjacent.\nLa zone s'enflamme, et 2 rangées\nderrière elle. Réservé aux épées.\nDragon : zone d'attaque agrandie.
MSID_H_RoyEngageAtk_Magic	Permet d'attaquer 3 cases devant\nsoi, contenant un ennemi adjacent.\nLa zone s'enflamme, et 2 rangées\nderrière elle. Réservé aux épées.\nMystique : zone d'incendie agrandie.
MSID_H_RoyEngageAtk_CMD	Attaquez et incendiez une zone.
MSID_M011_RoyEngage_DarkSide	Abaissement
MSID_H_M011_RoyEngage_DarkSide	Confère +3 au niveau.
MSID_AugmentDamage_1	Bouclier d'arme
MSID_H_AugmentDamage_1	L'unité subit -3 points de dégâts\nsi son arme a l'avantage.
MSID_AugmentDamage_2	Bouclier d'arme +
MSID_H_AugmentDamage_2	L'unité subit -5 points de dégâts\nsi son arme a l'avantage.
MSID_AugmentDamage_3	Bouclier d'arme ++
MSID_H_AugmentDamage_3	L'unité subit -7 points de dégâts\nsi son arme a l'avantage.
MSID_Ambush_1	Initiative
MSID_H_Ambush_1	Si l'unité a 25 % de PV ou moins\net que l'ennemi initie le combat,\nl'unité peut contre-attaquer avant\nla première attaque ennemie.
MSID_Ambush_2	Initiative +
MSID_H_Ambush_2	Si l'unité a 50 % de PV ou moins\net que l'ennemi initie le combat,\nl'unité peut contre-attaquer avant\nla première attaque ennemie.
MSID_Ambush_3	Initiative ++
MSID_H_Ambush_3	Si l'unité a 75 % de PV ou moins\net que l'ennemi initie le combat,\nl'unité peut contre-attaquer avant\nla première attaque ennemie.
MSID_LeafEngage	Adaptation
MSID_H_LeafEngage	Si l'ennemi initie le combat, l'unité\nrépond avec la meilleure arme\ndisponible (portée, avantage des\narmes, efficacité, etc).
MSID_H_LeafEngage_Dragon	Si l'ennemi initie le combat, l'unité\nrépond avec la meilleure arme\ndisponible (portée, avantage des\narmes, efficacité, etc). Dragon :\nPrc +30 pendant ce combat.
MSID_H_LeafEngage_Coop	Si l'ennemi initie le combat, l'unité\nrépond avec la meilleure arme\ndisponible (portée, avantage des\narmes, efficacité, etc). Soutien :\nCrit +10 pendant ce combat.
MSID_H_LeafEngage_Covert	Si l'ennemi initie le combat, l'unité\nrépond avec la meilleure arme\ndisponible (portée, avantage des\narmes, efficacité, etc).\nFurtif : Esq +20 pendant ce combat.
MSID_H_LeafEngage_Heavy	Si l'ennemi initie le combat, l'unité\nrépond avec la meilleure arme\ndisponible (portée, avantage des\narmes, efficacité, etc). Cuirassé :\nDéf +5 pendant ce combat.
