MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nスタルーク\nPfff... Pfff...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nLa prochaine fois, je vous traîne au milieu\nde la foule.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nNon, je ne peux pas ! Je dois décliner...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nPourquoi vous feriez ça ? Vous inquiétez pas,\nje vous promets que vous passerez un bon\nmoment.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nJe me charge de tout ! Ahouuuuuuu !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nO-Oui. Bien sûr. Ahouu...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nPfff... Pfff...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nJ'ai les oreilles qui sifflent... les genoux en\ncoton... et tellement, tellement de regrets...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nPourquoi ? Pourquoi ai-je réessayé ?\nJe savais déjà que ce n'était pas fait pour moi...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAhouuuuuuuu !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nOh. Pandreo...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nPrince Alcryst ! Vous vous êtes bien éclaté,\ncette fois ! Je vous ai vu avec les autres sur\nla piste de danse !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nJ'y suis allé et j'ai essayé de danser, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nIl faut croire que je suis incapable de\nfaire la fête.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nPourquoi vous dites ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nJe n'avais aucune idée de ce que je faisais.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nLes gens autour de moi virevoltaient sans effort.\nMoi, je ne connais que les danses de salon.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nEt ce hurlement ! Pourquoi est-ce que tout\nle monde hurlait sans arrêt ? Mon crâne fait\nun bruit de casserole...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nAh. Je vois le problème maintenant.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nÉcoutez, Votre Altesse. Y a un truc que j'ai\noublié de vous dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nDans une fête, il faut pas penser au quoi,\nau pourquoi ou au comment. Faut surtout\npas se casser la tête.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nOui, vraiment. Y a pas de bonne façon de danser.\nEt ce hurlement... ça a aucune signification !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nAlors tous ces cris et toutes ces danses sont\nvolontairement chaotiques ? Les gens les\nimprovisent ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\nExactement. Ce qui compte, c'est de se perdre\ndans le mouvement et de passer du bon temps.\nPour le reste, tout est permis.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nMoi qui m'escrimais à comprendre la structure\nde la fête, les attitudes, les mouvements...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nPerdu dans mes pensées, j'étais bien loin\nde la piste. J'ai manqué de spontanéité.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パンドロ\nY a qu'à faire un autre essai ! Vous, moi, un\nrythme qui tape et deux têtes complètement\nvides !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パンドロ\nAhouuuuuuuu !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nAhouuu !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nPfff... Pfff...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nVotre Altesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nPandreo...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nAhouuuuuuu !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nHa ha ! Ahouuuuuuu !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nCette fête était formidable ! J'ai passé un si\nbon moment !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nJ'ai crié jusqu'à perdre mon souffle. J'ai laissé\nmon corps danser et se balancer de lui-même...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nEt je me suis tellement, tellement amusé !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nAlors c'est ça de faire la fête... J'ai l'impression\nd'avoir découvert un nouveau monde !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nAh, ouais ! Bienvenue dans le monde sauvage\nde la fête !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nMerci d'avoir été mon guide, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nJ'étais à nouveau à deux doigts de m'enfuir.\nJ'avais commencé à danser et je me sentais\nsi mal à l'aise...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nPuis je t'ai vu, les jambes partant dans tous\nles sens, le torse de travers, dansant sans\nla moindre once de gêne...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nJ'ai soudain senti une vague de soulagement.\nJ'ai oublié toute hésitation et j'ai juste... dansé.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nGrâce à tes mouvements erratiques et\nincompréhensibles, j'ai enfin pu m'amuser.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nVous savez, c'est marrant.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nMes amis aiment bien se moquer de ma\nmanière de danser. Ils appellent ça la danse\ndes ténèbres.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nAujourd'hui, j'ai plutôt vu la danse de la\nlumière, elle illuminait votre âme comme\nune grande torche brillante.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nOui ! C'est exactement l'effet que ça m'a fait,\nPandreo !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nLes fêtes sont merveilleuses. Je sais qu'on sort\njuste de l'une d'entre elles, mais est-ce qu'on\npourrait se rendre à une autre bientôt ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nOn ira à autant de fêtes que vous voulez, mon\ncher ! Il y a toujours une fiesta qui nous attend.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nPandreo, je... je...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パンドロ\nLaissez-vous aller, Votre Altesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nAhouuuuuu !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nAhouuuuuu !\x0E\x04\x00\x00
