MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nBonjour, Clanne. Qu'est-ce que vous êtes\nen train de faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nC'est juste que ça manque de puissance.\nVous devriez y ajouter une bonne poignée\nde piments.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nMais on ne peut pas faire de marinade avec\ndu piment.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nEst-ce que vous en êtes bien sûr ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nPourquoi restreindre les possibilités\nqu'offrent les légumes marinés ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nComment voulez-vous inventer une nouvelle\nrecette de légumes marinés si vous avez déjà\ndécidé quel goût cela devait avoir ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クラン\nJe... Bon, d'accord. Vous avez sûrement raison.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nJe ne fais que singer mes références passées,\nsans jamais me poser de questions.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06クラン\nSi je veux devenir un spécialiste des légumes\nmarinés, il faut que j'innove.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06クラン\nDame Veyle, vous m'avez ouvert les yeux !\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nVous avez tout compris ! Alors, vous allez\nmettre des piments avec vos légumes ?\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06クラン\nOui ! Je crois bien que je vais faire ça !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nOh, bonjour, Clanne. Avez-vous eu l'occasion\nde préparer ces légumes marinés au piment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nAlors... oui ? Mais la teinte rouge vif que\nprend la marinade m'inquiète un peu.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nAllons, tout ira bien. Je suis certaine qu'ils\nseront délicieux. J'ai même hâte d'y goûter.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nQu'y a-t-il ? Il n'est pas dans votre habitude\nde rester coi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nVous me rappelez ma sœur, tout à coup,\nc'est frappant.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nVotre sœur ? Comment cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nVous avez dit que tout irait bien, alors qu'en\nfait, vous n'en avez pas la moindre idée.\nElle fait ça tout le temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nEh bien, ce n'est pas très poli de me dire cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クラン\nAh ! Je suis désolé !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nCe n'est rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nVotre sœur et vous, vous êtes jumeaux, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nHm-hm ! Je suis le plus vieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nJe me demande ce que cela fait, d'avoir\nun frère ou une sœur à ses côtés.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nComment cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai été séparée de m\x0E\x0A\x00 \x10on frère\x0Ca sœur si longtemps,\nc'est comme si je ne savais plus vraiment\nce que l'on ressent.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\nIl est difficile de rattraper le temps perdu.\nJe ne sais pas comment me comporter avec \x0E\x0A\x00\x12\x06lui\x08elle.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nJe dois admettre que je vous envie.\nVous passez tant de temps avec votre sœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nAvoir de la famille, c'est comme... Eh bien\nje dirais qu'avoir une sœur, ou sûrement\naussi un frère, c'est comme avoir de l'air.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nOn trouve tout à fait normal d'avoir de l'air\npour respirer, mais on ressentirait cruellement\nson absence. Je ne sais pas si je suis clair...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nSi, je crois bien que j'ai compris.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nJ'aimerais avoir la même relation... Être comme\nl'air qu'\x0E\x0A\x00\x10\x04il\x08elle respire.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06クラン\nMais c'est tout à fait possible !\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06クラン\nLa famille, c'est sacré. Peu importe la distance\nqui vous sépare, pour quelqu'un, vous êtes\naussi importante que l'air.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ヴェイル\nMerci, Clanne. C'est exactement ce que j'avais\nbesoin d'entendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06クラン\nDame Veyle, les légumes marinés au piment\nsont enfin prêts !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOooh, fabuleux ! Puis-je y goûter ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nEh bien, ça a l'air horriblement épicé, mais,\neuh, oui. Servez-vous !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nDame Veyle ? Tout va bien ? Je peux vous\ndonner un verre de lait ? Ou aller chercher\nde l'aide ? Ou encore prier pour vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nC'est si...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nOh non, oh non ! C'est pas vrai !\nJe vais chercher de l'aide !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nJe... Non, ça ira.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nC'est vraiment délicieux !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nJe pourrais en manger sans m'arrêter !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クラン\nVous avez pourtant l'air de souffrir, et pas\nqu'un peu. Dites-le-moi si ça ne va pas.\nJe me sens déjà très mal, de toute façon.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nAh... Je ne pourrais pas aller mieux !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nClanne, essayez donc votre nouvelle recette.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nHein ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nN'ayez crainte. Ils sont vraiment excellents.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nOh... D'accord. Si vous dites que c'est bon...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nMiam... Mmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nArgh... Hah... Hah-haah... ça pique !\nÇa pique, ça pique ! ÇA PIQUE !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nBon, c'est très pimenté, mais... je commence\nà retrouver les sensations dans ma bouche,\nainsi que le goût.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nEt vous avez raison, en fait. Ils sont vraiment\ntrès bons !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nVous voyez ? N'êtes-vous pas satisfait d'avoir\ntenté quelque chose de nouveau ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nAh si, pour une fois, je suis vraiment content !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nVous m'avez encouragé à faire de meilleurs\nlégumes marinés. Et maintenant, j'aimerais\nbien vous faire essayer autre chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nOooh ! Avez-vous quelque chose d'encore\nplus pimenté ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nNon, ça n'a rien à voir. Je me disais que\nvous auriez peut-être envie de devenir\nma sœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nOh !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06クラン\nRien de bien sérieux, on pourrait juste\nse comporter comme si j'étais votre frère,\net vous... eh bien... ma sœur aînée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06クラン\nPuisque vous m'avez aidé à améliorer mes\nlégumes marinés, je me suis dit que je pourrais\nvous aider à apprécier le rôle de grande sœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nJ'aimerais beaucoup...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nMais en ai-je le droit ? Ne serait-ce pas\ntrop vous demander ?\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06クラン\nBon, je vais être clair. Dame Veyle, grâce à\nvous, j'ai découvert des horizons insoupçonnés\ndans l'art de faire mariner les légumes.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06クラン\nC'est le moins que je puisse faire.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ヴェイル\nOh, je vois. Dans ce cas... oui. Je serai\nvotre grande sœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06クラン\nParfait ! Bienvenue dans ma famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nAlors je suis la grande sœur et vous,\nle petit frère...\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06クラン\nMa sœur étant née la deuxième, j'ai toujours\nvoulu savoir ce que ça faisait d'avoir une sœur\nplus âgée.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ヴェイル\nEt je n'ai pas de frère plus jeune que moi, alors\nc'est parfait. À partir de maintenant, vous êtes\nmon petit frère.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06クラン\nMerci, très chère sœur !\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08ヴェイル\nHé hé, quel sentiment étrange, qu'on m'appelle\n« grande sœur ». Étrange... mais agréable.\x0E\x04\x00\x00
