MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nGoldmary, il se raconte que tu es un véritable\ncordon bleu.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNous utiliserons ces légumes pour la farce.\nVeux-tu nous les trancher en fines lamelles ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パネトネ\nAvec grand plaisir !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCe ne sont que des légumes, Panette...\nIls ne vont pas riposter.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nEt voici le coup de grâce ! Hiya !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBien, tranchés comme ça, ils ne demanderont\npas leur reste.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nJe te remercie, très chère Goldmary ! Je puis\npoursuivre la découpe, le cas échéant.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon, tu leur as... réglé leur compte. Si tu les\ntranches davantage, on va se retrouver avec\nune soupe.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPar ailleurs, la recette ne mentionne pas\nd'assaisonnement à base d'échardes de\nplanche à découper, mais... passons.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMaintenant, nous devons farcir le poulet avec\nles légumes, l'embrocher dans les règles, et\nle rôtir à point.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nCheffe cuisinière, j'ai une question à te poser !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOui ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nLe mets est-il prêt ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOn vient à peine d'entamer la cuisson...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nJe ne te remercierai jamais assez pour cette\nleçon de cuisine, Goldmary !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nForte de ton savoir-faire, j'ai préparé un poulet\nrôti en suivant ta recette au pied de la lettre.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nLa cheffe avait des étoiles dans les yeux !\nOn ne pouvait plus la faire taire, tant elle\nchantait sur la qualité du plat.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu m'en vois ravie.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSe pourrait-il que l'enseignement figure lui\naussi sur l'interminable liste de mes talents ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe suis navrée si l'éblouissante qualité de\nma leçon t'aura distraite de ta tâche.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nSeulement, je me dois de te signaler un fâcheux\ncontretemps : le plat a causé une grande\ndouleur à notre cheffe.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu m'inquiètes.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nOui, elle a croqué dans une partie dure\nde l'animal. Du cartilage, peut-être ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOu un morceau de planche à découper.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl faut décidément que tu apprennes à y aller\nplus doucement en maniant le couteau.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nCompris !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCeci mis à part, il me semble que ma\nleçon de cuisine était un franc succès.\nQu'en penses-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nUn succès éclatant, en effet ! Merci pour ton\nassistance, cheffe cuisinière.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パネトネ\nDe fait, tes enseignements m'ont valu une\npremière mission culinaire !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOn t'a confié une mission ?\nEn tant que cuisinière ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nC'est que la cheffe a grandement apprécié\nma découpe, vois-tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nQuand la guerre sera terminée, elle compte\ninviter le gratin mondain au palais de Solm\npour une démonstration de mes talents.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUne démonstration au palais ?\nDevant tout le gratin du royaume ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nGrandiose, n'est-ce pas ? Je ne manquerai pas\nde leur dire que j'ai tout appris à tes pieds !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est-à-dire... hum, en fait...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl y aura forcément quelques invités un peu\ncollet monté, même au sein d'une cour aussi\naffranchie que celle de Solm...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors je ferais mieux de m'assurer que\nton niveau de découpe soit à la hauteur.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パネトネ\nComment !? Mais je croyais avoir achevé\nmes leçons !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi mon nom est mêlé à cela, je veux que ce soit\nfait dans les règles de l'art. Ou dois-je aviser la\nprincesse Timerra que tu as refusé mes leçons ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNe devrais-tu pas déborder de reconnaissance\nà l'idée de bénéficier d'un cours particulier\nprodigué par une enseignante aussi douée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パネトネ\nSi fait, Goldmary.\x0E\x04\x00\x00
