MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nLe thé est-il à votre goût, Princesse Céline ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nLa délicatesse du goût ! La pureté de l'arôme !\nJe n'ai jamais savouré un thé noir semblable\nà celui-ci.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nIl vous a plu, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nLouis. « Me plaire » est un euphémisme.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai dégusté bien des thés au cours de ma vie,\nmais il m'a rarement été donné d'en déguster\nde cet acabit.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nJe te suis extrêmement reconnaissante\nd'avoir eu ce privilège.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nJe suis heureux de vous savoir heureuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nPourrais-tu m'en servir une autre tasse ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nBien sûr ! Je dispose d'une ample réserve\nde feuilles pour préparer une autre théière.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nMerci. Ah, ce thé est un tel ravissement...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nHé hé ! La joie manifeste sur le visage\nde ma princesse en vaut amplement\nla peine.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nAïe...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nHmm ? Votre bras vous fait-il souffrir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nNe faites pas attention. Un dérisoire incident\nqui s'est produit tandis que je me procurais\nles feuilles de thé...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nMais encore ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nCes feuilles de thé ne sont pas cultivées à la\nferme, hélas. Elles poussent dans la nature.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nY accéder est hasardeux, notamment en\nraison des bêtes féroces qui ont établi leur\nnid à proximité.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nL'une de ces bêtes s'en est prise à toi...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nNe vous en préoccupez pas.\nCe n'est qu'une égratignure, rien de plus.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nJe souffrirais mille blessures telles que celle-là\npour ces précieuses feuilles de thé.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nMais la théière est prête. Voulez-vous\nme tendre votre tasse ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\n... L'envie m'en est passée.\nBonne journée, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nAurais-je été discourtois... ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nLouis, je te dois des excuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai pris congé sans finir ce thé dont la\npréparation t'avait tant coûté.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nTu as traversé tellement d'épreuves pour\nobtenir ces feuilles...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nNe vous excusez pas, Princesse Céline.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nC'est moi qui ai compromis vos joyeuses\ndispositions.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nLouis... J'ai de nombreux plaisirs dans la vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nLa façon dont tu prépares le thé pour moi\na toujours figuré en bonne place parmi eux.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nIl est exact que le thé infusé avec ces feuilles\nspéciales m'a procuré un plaisir supérieur.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nMais... Louis, entends-moi bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nIl me chagrine de songer que tu t'exposes\nau danger pour me procurer ce plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nPrincesse Céline ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nMon seul désir est de pouvoir profiter de\nta compagnie tandis que je déguste le thé.\nQuelque thé que ce soit.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nIl n'est nul besoin de te livrer à je ne sais\nquelles extravagances. Ce petit plaisir\nquotidien me suffit.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nVous m'en voyez profondément mortifié.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nJe n'ai pas su prévenir vos besoins.\nC'est là une fâcheuse maladresse.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nMais c'est une erreur qui ne se reproduira pas.\nJe vous fais un serment, ici et maintenant...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nCelui de toujours demeurer à vos côtés afin\nde veiller aux modestes plaisirs de votre vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\nParfait. Je n'en attendais pas moins de toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nPuisque ce sujet est réglé... Puis-je te demander\nde préparer un peu de thé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nCertainement. Je suppose que vous ne serez\npas contrariée si je m'abstiens d'utiliser les\nfeuilles spéciales ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha ! Pas le moins du monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nMême le thé le plus commun voit sa saveur\nréhaussée par la joie simple que procurent\nces petits moments.\x0E\x04\x00\x00
