MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06セピア\nQuoi ?\x0E\x04\x02\x00
MID_OP1_#033	\x0E\x03\x02\x08\x06セピア\nArrête de baver. Tu as du travail, et je dois\ny aller.\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x02\x06\x04グリ\nQue dois-je faire d'eux ?\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x02\x08\x06セピア\nOh, ils reviendront la queue entre les jambes.\nIls n'ont nulle part où aller.\x0E\x04\x02\x00
MID_OP1_#036	Concentre-toi sur la tâche que je t'ai confiée.\x0E\x04\x02\x00
MID_OP1_#037	Même s'ils s'en prennent à toi, ne te disperse\npas. Nous ne pouvons pas nous permettre\nd'avoir le moindre doute.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x06\x04グリ\nJe sais, je dois m'assurer que \x0E\x0A\x00.\x14ce minable\x16cette ratée est\nbien \x0E\x0A\x00*\x14le rejeton\x12la gamine du seigneur Sombron.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nNous y voilà. Le château d'Elusia.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nSombron est probablement à l'intérieur.\nVeyle aussi.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08アイビー\nOui.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0A\x08リュール\nJ'espère qu'elle va bien. Mais nul ne sait si elle\nse présentera à nous en amie ou en ennemie.\x0E\x04\x02\x00
MID_OP2_#005	Soyez sur vos gardes. Au premier signe de\ndanger, on se replie.\x0E\x04\x02\x00
MID_OP2_#006	...\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nQu'est-ce qui ne va pas ?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nCes mots. Ce sont ceux de Marth.\x0E\x04\x02\x00
MID_OP2_#009	C'est ce qu'il m'a dit à la cathédrale de\nDestinea, avant... avant que je le perde.\x0E\x04\x02\x00
MID_OP2_#010	Les conséquences de cette défaite continuent\nde peser sur nous. Et si ça se reproduisait ?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nAucun risque. Nous sommes plus forts\nque jamais.\x0E\x04\x02\x00
MID_OP2_#012	Vous avez vraiment intégré votre rôle\nde Dragon divin.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nVous le pensez vraiment ?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nOui. C'est pour cette raison que nous savons\nque nous allons récupérer les Emblèmes.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08リュール\nJe suis honoré\x0E\x0A\x00\x06
MID_OP2_#016	Allons-y.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08リュール\nLe château d'Elusia est-il toujours\naussi silencieux ?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08アイビー\nNon. Je m'attendais au moins à voir des soldats\nroyaux monter la garde.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nPeut-être que Sombron... s'est chargé d'eux.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nVous voulez dire qu'il a pu les changer\nen Aberrations ?\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nNon...\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nPourquoi s'embarrasser de vulgaires soldats\nalors que moi, je suis là ?\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nGriss.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x06\x04グリ\nÇa faisait longtemps, Votre Divinité. Bienvenue.\nVous devez être épuisé\x0E\x0A\x00\x06
MID_OP3_#009	Oh, regardez, la princesse disparue !\nOn avait le mal du pays ?\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x06\x04グリ\nJe dois quand même vous féliciter... Deux\nanneaux de plus en poche, pas mal.\x0E\x04\x02\x00
MID_OP3_#012	Mais il vous en manque encore pour avoir\ntout l'ensemble. Comme... Celui-ci.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08リュール\nL'Anneau de la Tendre Princesse !\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x06\x04グリ\nCe n'est pas une copie, et je vais vous le\nprouver immédiatement.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x00\x0C\x06セリカ\x023\n\x0E\x03\x02\x08\x06セリカ\n...\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nCelica !\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x06\x04グリ\nJe consens à vous la rendre. Il vous suffit de\nme vaincre pour cela.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x0A\x08リュール\nQu'est-ce que ça veut dire ?\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x06\x04グリ\nRien du tout. Quoi, vous croyez que le\nseigneur Sombron va se montrer ?\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0A\x08リュール\nNous sommes en supériorité numérique. Vous\nn'avez aucune chance.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x06\x04グリ\nHmm, vous savez me parler, vous.\x0E\x04\x02\x00
MID_OP3_#022	Soyez tranquille, personne ne va venir nous\ndéranger. Et si je fais erreur, je veux bien être\nfoudroyé sur place.\x0E\x04\x00\x00
MID_OP3_#023	\x0E\x03\x02\x0A\x08リュール\nQu'est-ce que vous voulez, au juste ?\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x06\x04グリ\nSi vous souhaitez des réponses, il faudra\nme torturer.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nBien. Je ne sais pas ce que vous voulez, mais\nnous ne laisserons pas passer cette opportunité.\x0E\x04\x02\x00
MID_OP3_#026	Préparez-vous, Griss. Nous allons vous\nreprendre cet anneau.\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x06\x04グリ\nBien dit. Venez me chercher, Dragon !\x0E\x04\x02\x00
MID_OP3_#028	Taillez-moi en pièces, et prenez votre temps...\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1C\x0EM020_グリ\nSmile\n\x0E\x03\x02\x10\x0EM020_グリ\nFaisons durer le plaisir. Un bon combat,\nça se mérite.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nIl a disparu ! Grâce au pouvoir de l'Emblème\nCelica, j'imagine.\x0E\x04\x02\x00
MID_EV2_#002	\x0E\x05\x01\x16\x08リュール\nAngry\nIl se cache sûrement quelque part dans l'ombre.\nOuvrez l'œil.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nEncore ? Où est-il donc passé ?\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1C\x0EM020_グリ\nSmile\n\x0E\x03\x02\x10\x0EM020_グリ\nVous en avez assez de jouer à cache-cache ?\nMoi aussi. Allez, passons aux choses sérieuses !\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1E\x0EM020_グリ\x0CStatus\n\x0E\x03\x02\x10\x0EM020_グリ\nVous êtes déchaînée, pas vrai, Celly ?\nLaissez-vous aller, faites-vous plaisir !\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01 \x0EM020_グリ\x0EStandBy\n\x0E\x03\x02\x10\x0EM020_グリ\nHa ha ha ! Ça fait du bien ! C'est tellement\nbon que je vais vous tuer ! Je vais tous vous\ntuer !\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01 \x0EM020_グリ\x0EStandBy\n\x0E\x03\x02\x10\x0EM020_グリ\nAlors, c'est quoi le plan ? Vous allez\nm'embrocher ? Me rouer de coups ?\nMe tailler en pièces ?\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1E\x0EM020_グリ\x0CStatus\n\x0E\x03\x02\x10\x0EM020_グリ\nComment préférez-vous souffrir, Votre\nDivinité ? Vous n'avez qu'à demander.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDonnez-moi l'anneau, Griss.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x03\x02\x10\x0EM020_グリ\nHa ha ! Alors vous m'ignorez, c'est ça ?\nOh, si vous saviez à quel point ça me\nbrise le cœur.\x0E\x04\x02\x00
MID_BT2_#004	\x0E\x05\x01\x1C\x0EM020_グリ\nSmile\nTrès bien. Je vais vous donner l'anneau. Dès\nque j'aurai eu ce que je suis venu chercher.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1C\x0EM020_グリ\nSmile\n\x0E\x03\x02\x10\x0EM020_グリ\nHa ha ! Oui, joli coup...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x0A\x08リュール\nL'anneau ! Nous l'avons récupéré !\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x06\x04グリ\nHa ha !\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nPourquoi riez-vous ?\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x06\x04グリ\nMoi ? Pour rien, voyons.\x0E\x04\x02\x00
MID_ED1_#005	Vous feriez mieux de l'invoquer. Vous voulez\nla libérer de l'emprise du seigneur Sombron,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nJe sais.\x0E\x04\x02\x00
MID_ED1_#007	Emblème des Échos, veillez sur nous !\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x06\x04グリ\n...\x0E\x04\x00\x00
MID_ED2C_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06セリカ\x021\n\x0E\x03\x02\x08\x06セリカ\nJe vous remercie, \x0E\x06\x03\x00 !\x0E\x04\x00\x00
MID_ED2C_#002	\x0E\x03\x02\x0A\x08リュール\nJe suis soulagé\x0E\x0A\x00\x06
MID_ED2C_#003	\x0E\x03\x01\x08\x06セリカ\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nHa ha... Ha ha ha ha ha !\x0E\x04\x00\x00
MID_ED2C_#004	\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x00\x00
MID_ED2C_#005	\x0E\x03\x02\x06\x04グリ\nHa ha ha... Oh, bon sang.\nC'est vraiment tordant !\x0E\x04\x02\x00
MID_ED2C_#006	Zephia, votre intuition était\nd'une précision démoniaque !\x0E\x04\x00\x00
MID_ED2C_#007	\x0E\x03\x02\x0A\x08リュール\nIl est évident que vous avez perdu la tête.\x0E\x04\x00\x00
MID_ED2C_#008	\x0E\x03\x02\x06\x04グリ\nC'est gentil de vous inquiéter pour moi !\x0E\x04\x02\x00
MID_ED2C_#008_2	\x0E\x03\x02\x06\x04グリ\n« Il est évident que vous avez perdu la tête »...\x0E\x04\x02\x00
MID_ED2C_#009	La vraie question est : l'avez-vous perdue,\nvous ? Vous agissez comme \x0E\x0A\x004\x16un puissant\x1Aune puissante\nd\x0E\x0A\x00\x14\x06ieu\néesse, mais vous êtes dans le mauvais camp.\x0E\x04\x02\x00
MID_ED2C_#010	Pourquoi est-ce que vous me regardez\ncomme ça ?\x0E\x04\x02\x00
MID_ED2C_#010_2	Vous vous prenez pour un Dragon divin ?\nIl faut que je vous dise quelque chose.\x0E\x04\x02\x00
MID_ED2C_#011	Vous êtes l'enfant du Dragon déchu !\x0E\x04\x00\x00
MID_ED2C_#012	\x0E\x03\x02\x0A\x08リュール\nSon enfant ? Non, mais... Comment ?\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nComment osez-vous débiter de telles inepties ?\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x06\x04グリ\nSi le dragon lui-même ne s'en souvient\npas, comment pourriez-vous savoir quoi\nque ce soit ?\x0E\x04\x02\x00
MID_ED2_#003	Étiez-vous là il y a mille ans ? Hmm ?\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x06\x04グリ\nJe vais vous expliquer comment je l'ai\ndécouvert. Les Dragons divins et déchus\npeuvent invoquer des Emblèmes, n'est-ce pas ?\x0E\x04\x02\x00
MID_ED2_#006	Mais ils ne le font pas de la même manière. Les\nDragons divins prient. Les Dragons déchus,\nquant à eux...\x0E\x04\x02\x00
MID_ED2_#007	Ils ont recours à des incantations.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x06\x04グリ\nC'est comme cela que vous avez invoqué Celica.\nC'est comme ça que vous vous y prenez depuis\nle début, n'est-ce pas ?\x0E\x04\x02\x00
MID_ED2_#010	Ce qui signifie donc que vous êtes... roulement\nde tambours... l'enfant du Dragon déchu.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x0A\x08リュール\nMais alors... Je ne comprends pas. Pourquoi\nMère m'appelait-elle son enfant ?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x06\x04グリ\nComment le saurais-je ? Vous devrez le lui\ndemander. Oh, j'oubliais...\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x0C\nヴァンドレ\nVile fripouille !\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x06\x04グリ\nHa ha ! La bave du crapaud n'atteint pas la\nblanche colombe. Enfin, j'ai les informations\nque je cherchais.\x0E\x04\x02\x00
MID_ED2_#015	Dommage que j'aie perdu un anneau. Mais\non m'a demandé de gagner du temps, et c'est\nexactement ce que j'ai fait.\x0E\x04\x02\x00
MID_ED2_#016	Le seigneur Sombron et Dame Veyle sont\nsûrement partis depuis un moment, maintenant.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x0A\x08リュール\nVous voulez dire... qu'ils étaient ici ?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x06\x04グリ\nZut, ai-je parlé à haute voix ?\x0E\x04\x02\x00
MID_ED2_#019	Ah, tant pis. Votre Dragon divin n'est qu'un\nimposteur. Prenez le temps de vous effondrer\ncomme il se doit.\x0E\x04\x02\x00
MID_ED2_#020	Allez-vous vous disperser aux quatre vents ?\nVous découper en morceaux les uns les autres ?\nIl y a tant de possibilités !\x0E\x04\x02\x00
MID_ED2_#021	À bientôt.\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x01\x06\x04グリ\n\x0E\x03\x02\x0C\nヴァンドレ\nHalte !\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x0A\x08リュール\nJe suis... Le Dragon déchu est...\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIl mentait, Votre Divinité. Je n'en crois pas\nun traître mot.\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x00\x0E\x08アイビー\x023\n\x0E\x03\x02\x0A\x08アイビー\nGardons notre calme. Nous ne pouvons pas\nlaisser l'ennemi nous diviser de la sorte.\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nIl prétend que Sombron n'est pas là, mais ce\nn'est peut-être qu'une ruse de plus pour nous\nfourvoyer.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x10\nミスティラ\x023\n\x0E\x03\x02\x0C\nミスティラ\nVérifions par nous-mêmes.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nAlors ?\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nIl n'y a pas âme qui vive.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0A\x08アイビー\nOui. Sombron n'est plus dans le château.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nQu'allons-nous faire, maintenant ?\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED3_#006	Si Griss a dit vrai, je ferais mieux de partir.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0E\x0Cアルフレッド\nQu'entendez-vous par « partir » ?\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x0A\x08リュール\nLa nuit où Mère est morte, je me suis vu\x0E\x0A\x00\x06
MID_ED3_#009	Mes cheveux et mes yeux étaient rouges.\nMaintenant, je comprends... que ce n'était\npas un cauchemar, mais un souvenir.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nUn mauvais rêve ne prouve rien.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x0A\x08リュール\nPeut-être pas. Mais ceci oui.\x0E\x04\x02\x00
MID_ED3_#012	Emblème Sigurd.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x00\x0E\x08シグルド\x024\n\x0E\x03\x02\x0A\x08シグルド\nMe voici.\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x0A\x08リュール\nVous me connaissiez il y a mille ans, n'est-ce\npas ? Voulez-vous bien répondre à quelques\nquestions ?\x0E\x04\x02\x00
MID_ED3_#015	Griss disait-il vrai ? Suis-je l'enfant du\nDragon déchu ?\x0E\x04\x00\x00
MID_ED3_#016	\x0E\x03\x02\x0A\x08シグルド\n...\x0E\x04\x02\x00
MID_ED3_#017	En effet.\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nComment est-ce possible ?\x0E\x04\x00\x00
MID_ED3_#020	\x0E\x03\x02\x0A\x08リュール\nC'était donc vrai.\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x0A\x08シグルド\nPardonnez-moi. Comme vous aviez perdu\nla mémoire, nous pensions que vous seriez plus\nheureu\x0E\x0A\x00\x0A\x02x\x04se ainsi.\x0E\x04\x02\x00
MID_ED3_#022	C'est ce que nous avons convenu, Lumera et\nmoi, le jour où vous vous êtes réveillé\x0E\x0A\x00\x06
MID_ED3_#023	\x0E\x03\x02\x0A\x08リュール\nPourquoi Mère m'appelait-elle son enfant ?\x0E\x04\x00\x00
MID_ED3_#024	\x0E\x03\x02\x0A\x08シグルド\nSombron vous avait tourné le dos.\nVotre vie était menacée...\x0E\x04\x02\x00
MID_ED3_#025	C'était votre souhait et celui de Lumera\nde former une véritable famille.\x0E\x04\x02\x00
MID_ED3_#026	C'est tout ce que je sais.\x0E\x04\x00\x00
MID_ED3_#027	\x0E\x03\x02\x0A\x08リュール\nC'est parfait, Sigurd. Merci.\x0E\x04\x02\x00
MID_ED3_#028	Pardonnez-moi tous. Je ne suis pas un Dragon\ndivin. Je ne l'ai jamais été.\x0E\x04\x00\x00
MID_ED3_#029	\x0E\x03\x02\x0C\nヴァンドレ\nVous n'avez nul besoin de vous excuser.\x0E\x04\x00\x00
