MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nLeif, vous faites preuve d'une sagesse\nétonnante, pour un humain. Je comprends\npourquoi on vous nomme le Souverain Éclairé.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06リーフ\nLa notion d'épuisement nous est toute relative,\nen fait. Ce qui signifie que vous pourrez vous\nreposer sur moi si vos forces vous quittent.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nJ'ai appris récemment que vous aviez, vous\naussi, une sœur plus âgée. Vous auriez dû\nle mentionner.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06リーフ\nAh ! Nous avons été séparés dès l'enfance, mais\nje puis dire qu'elle est aussi forte qu'admirable.\nÀ l'exact opposé de son frère, en somme.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06リーフ\nSi elle était parmi nous aujourd'hui, notre\nvictoire serait pour ainsi dire acquise.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nJe comprends parfaitement les sentiments qui\nvous animent, mais si vous voulez conserver ma\nconfiance, cessez donc de vous rabaisser ainsi.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nPour moi qui perds mon sang-froid à la moindre\ncontrariété, votre calme et votre aplomb\nsuscitent toute mon admiration, Leif.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06リーフ\nSi on laisse nos émotions dicter notre conduite\nau combat, on met en danger sa propre vie et\ncelle des autres. Je veux éviter cela à tout prix.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe sais que j'ai livré une piètre prestation, à tel\npoint que je sens toute confiance me quitter.\nAccepteriez-vous de vous exercer avec moi ?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06リーフ\nBien entendu, je vous assisterai volontiers. Je\nresterai à vos côtés le temps qu'il faudra pour\nque vous repreniez confiance en vous.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSi seulement j'avais été aussi forte que je le\nsuis aujourd'hui, j'aurais peut-être su protéger\nle Dragon divin et Mauvier.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06リーフ\nLes regrets ne ramèneront pas les défunts à la\nvie. Notre devoir est de continuer à suivre la\nroute que nous nous sommes tracée.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06リーフ\nVivons dans le moment présent et ainsi, quand\nsera venue l'heure de quitter ce monde, vous\npourrez les rejoindre la tête haute.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOui ! Et avant de revoir leurs visages, je\nredoublerai d'efforts pour devenir une\npersonne dont ils pourront être fiers !\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJe ne suis qu'un lâche indigne du pouvoir qui\nm'a été donné par le Souverain Éclairé, mais...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06リーフ\nJe vous en prie, Gregory, ne vous dévalorisez\npas de la sorte, d'autant que vous avez été\ntout à fait impressionnant au combat.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJe vous demande pardon, Leif. Alors que vous\nm'aviez prêté vos pouvoirs, je n'avais qu'une\nenvie : partir en courant. Je suis irrécupérable...\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06リーフ\nNe dites pas cela, je vous sais parfaitement\ncapable de faire face au danger quand le\nbesoin s'en fait réellement sentir.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVotre présence à mes côtés m'a permis\nd'être plus serein sur le champ de bataille,\nplus confiant. Vous... avez vu la différence ?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06リーフ\nAbsolument. Mais gardez néanmoins à l'esprit\nque le combat n'est pas toujours la meilleure\nréponse, il faut aussi savoir battre en retraite.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06リーフ\nSi j'avais compris cela plus tôt, j'aurais pu\nsauver une vie. J'aurais beaucoup à dire à\nmon alter ego du passé, si je le pouvais...\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nJ'ignorais que nous avions vécu une situation\nsimilaire. J'aimerais beaucoup que vous me\nracontiez votre histoire, si vous êtes d'accord.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nJe me demande ce que cela signifie réellement\nd'être un chevalier. Me feriez-vous l'honneur de\nm'éclairer de vos lumières ?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06リーフ\nCe que cela signifie d'être un chevalier ? Je\ndoute qu'il existe une réponse simple à une\ntelle question, mais je tâcherai d'y réfléchir.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nJ'ai eu vent d'une rumeur prétendant que vous\naviez autrefois à votre service un chevalier en\ntous points exceptionnel.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06リーフ\nC'est on ne peut plus vrai. Il servait feu mon\npère quand mon royaume est tombé... Il m'a\npris sous son aile et nous avons fui ensemble.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nLe chevalier qui veillait sur vous devait être\nadmirable pour parvenir à vous cacher ainsi\npendant 10 ans.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06リーフ\nIl l'était, assurément. Il a maintes et maintes\nfois bravé la mort pour me protéger.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nBraver la mort est l'essence même de la\ncharge d'un chevalier. Il doit être prêt à\naffronter tous les dangers.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x08\x06リーフ\nVoilà une preuve d'intégrité qui fait honneur\nà votre rang. Puissions-nous œuvrer de\nconcert pendant longtemps encore.\x0E\x04\x00\x00
