MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x00\x0C\x06ルフレ\x024\n\x0E\x03\x02\x0A\x08リュール\nCe temple me paraît prometteur. Soyons aux\naguets, je sens que nous allons y découvrir\nun nouveau Bracelet d'Emblème.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVotre Divinité, il semblerait que ces cristaux\nfournissent l'énergie nécessaire à la barrière.\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x00\x0E\x08リュール\x02b\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nEssayons d'en détruire un et observons\nle résultat.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nHm... La barrière est toujours debout...\x0E\x04\x00\x00
MID_EV4_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIl va nous falloir briser tous les cristaux\npour ouvrir le passage.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nMalheur ! Les cristaux se sont reconstitués...\x0E\x04\x00\x00
MID_EV5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDans ce cas, il faudra agir vite, nous devons\ntous les frapper avant que ce soit au tour de\nl'ennemi de passer à l'action.\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x16\x06クロム\x0CStatus\n\x0E\x03\x02\x08\x06クロム\nL'ennemi a rompu sa formation.\nEst-ce le moment d'agir, Daraen ?\x0E\x04\x00\x00
MID_EV6_#002	\x0E\x03\x00\x0C\x06ルフレ\x02t\n\x0E\x05\x01\x16\x06ルフレ\x0CStrike\n\x0E\x03\x02\x08\x06ルフレ\nAbsolument. Passons à la phase\nsuivante de notre plan.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nToute la zone est inondée ! Est-ce là une\nstratégie pour entraver notre progression ?\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nParfait ! Nous avons détruit tous les cristaux !\x0E\x04\x00\x00
MID_EV9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLa barrière est tombée ! Vite,\npartons à l'assaut des Emblèmes !\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ルキナ\x02t\n\x0E\x05\x01\x14\x06ルキナ\nSmile\n\x0E\x03\x02\x08\x06ルキナ\nPère ! Je n'aurais jamais pensé\nvous retrouver dans ce monde.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x14\x06クロム\nRelax\n\x0E\x03\x02\x08\x06クロム\nLucina ! C'est une heureuse\nsurprise pour moi aussi.\x0E\x04\x02\x00
MID_BT1_#003	\x0E\x05\x01\x16\x06クロム\x0CStatus\nNous avons beaucoup à nous dire, mais\ncela devra attendre l'issue du combat.\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x16\x06ルキナ\x0CStatus\n\x0E\x03\x02\x08\x06ルキナ\nBien entendu ! Voilà bien longtemps que nous\nn'avons pas croisé le fer. Tâchons de ne rien\ncasser, cette fois !\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x14\x06クロム\nRelax\n\x0E\x03\x02\x08\x06クロム\nJe vois à votre posture que vous avez déjà\nlivré maints combats, vous savez parfaitement\nce que vous faites.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nJ'ai beaucoup appris au fil du temps, mais\nje n'ai pas encore atteint les objectifs que\nje me suis fixés.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x14\x06クロム\nSmile\n\x0E\x03\x02\x08\x06クロム\nVotre résolution n'a rien à envier à celle\nde Daraen, cela se voit dans votre regard.\x0E\x04\x02\x00
MID_BT2_#004	\x0E\x05\x01\x16\x06クロム\x0CStatus\nAllons, je suis prêt. Que le combat commence !\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ルキナ\x02t\n\x0E\x05\x01\x14\x06ルキナ\nSmile\n\x0E\x03\x02\x08\x06ルキナ\nDaraen ! Vous et père êtes toujours\naussi inséparables, il semblerait.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x0C\x06ルフレ\x02b\n\x0E\x05\x01\x16\x06ルフレ\x0CNormal\n\x0E\x03\x02\x08\x06ルフレ\nC'est vrai, je suis toujours\nresté aux côtés de Chrom.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01\x16\x06ルキナ\x0CStatus\n\x0E\x03\x02\x08\x06ルキナ\nL'idée d'affronter l'âme sœur de mon père\nme met quelque peu mal à l'aise, mais je\ntâcherai de ne pas en faire cas !\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x16\x06ルフレ\x0CStrike\n\x0E\x03\x02\x08\x06ルフレ\nJe comprends ce que vous ressentez,\nmais vous devez combattre sans retenue !\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ルフレ\x02b\n\x0E\x05\x01\x16\x06ルフレ\x0CNormal\n\x0E\x03\x02\x08\x06ルフレ\nJ'aimerais mesurer votre valeur. Montrez-moi\nle véritable visage de \x0E\x0A\x00\x18\ncelui\ncelle dont nous allons\nrejoindre les rangs.\x0E\x04\x00\x00
MID_BT4_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nJe m'en ferai une joie, Emblème Daraen.\x0E\x04\x02\x00
MID_BT4_#003	Notre tactique paraîtra peut-être simpliste à un\nfin stratège tel que vous, mais mes alliés ont\npour eux les liens puissants qu'ils ont noués !\x0E\x04\x00\x00
MID_BT4_#004	\x0E\x05\x01\x14\x06ルフレ\nSmile\n\x0E\x03\x02\x08\x06ルフレ\nJe pense que Chrom vous a bien jugé\x0E\x0A\x00\x06
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x08\x06ルフレ\nJ'estime avoir obtenu toutes les réponses\nque j'attendais. En est-il de même pour\nvous, Chrom ?\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x08\x06クロム\nCertainement. Nous avons assisté à une superbe\ndémonstration de force et de ténacité.\x0E\x04\x02\x00
MID_ED1_#003	Vous êtes à la fois audacieu\x0E\x0A\x00\x0A\x02x\x04se dans vos\nactions et sincère dans vos aspirations,\ncela force le respect.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nAllez-vous donc rejoindre notre armée ?\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x08\x06クロム\nVeuillez me pardonner cette formalité, mais\nje ne voulais laisser aucune place au doute.\nOui, \x0E\x06\x03\x00, nous vous aiderons.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x08\x06ルフレ\nJoignons nos forces et œuvrons\npour un monde meilleur.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nJe vous remercie, Emblème Chrom.\nEt vous aussi, Emblème Daraen.\x0E\x04\x02\x00
MID_ED1_#008	Votre présence insufflera un nouvel\nespoir aux habitants de notre monde.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06クロム\nL'espoir, oui ! Voilà la clé, car sans lui,\nrien n'est possible.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x08\x06ルフレ\nEt il nous appartient de le répandre partout\noù nous allons, afin d'éviter que ce monde\nne bascule dans le désespoir.\x0E\x04\x02\x00
MID_ED1_#011	« Espoir » est un mot qu'il faut dire et répéter\nà l'envi, pour mieux donner corps aux idéaux\nqu'il représente.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06クロム\nDe bien belles paroles. L'espoir est une graine\nque l'on doit semer de par le monde,\nsans relâche et sans retenue.\x0E\x04\x02\x00
MID_ED1_#013	Il m'est arrivé, au cours de mon existence,\nde me trouver au bord du désespoir.\x0E\x04\x02\x00
MID_ED1_#014	Dans ces moments, je n'aurais pu relever la tête\nsans l'aide de Daraen et de nos amis.\x0E\x04\x02\x00
MID_ED1_#015	Même alors que le destin m'avait condamné au\ntrépas, les liens de confiance indéfectibles qui\nnous unissent ont permis de vaincre le sort.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x08\x06ルフレ\nVoilà bien le plus important, et cela montre\nqu'aussi longtemps que vous garderez l'espoir,\nrien ne vous sera impossible.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nJe comprends, et je saurai m'inspirer\nde ces mots.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x08\x06クロム\nÀ la bonne heure ! Nous sommes impatients\nde pouvoir livrer bataille à vos côtés.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ルキナ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x08\x06ルキナ\nPère ! Daraen ! Cela faisait si longtemps.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x08\x06クロム\nLucina ! Je suis tellement heureux de te revoir.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x08\x06ルフレ\nTu sembles en pleine forme. Et voilà que\ntu es devenue un Emblème, toi aussi ?\nC'est stupéfiant.\x0E\x04\x02\x00
MID_ED2_#004	Chrom passe le plus clair de son temps à\ns'inquiéter pour toi, à tel point que ça en\ndevient proprement éreintant.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06クロム\nInutile d'évoquer le sujet devant elle, merci.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x08\x06ルキナ\nVous inquiétez-vous réellement à ce point ?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x08\x06クロム\nC'est bien naturel, tu sais... Je suis ton père.\x0E\x04\x02\x00
MID_ED2_#008	Mais maintenant que nous sommes réunis,\nje vais enfin pouvoir avoir l'esprit tranquille.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x08\x06ルキナ\nJ'ai moi aussi le sentiment d'avoir été\nlibérée d'un terrible poids.\x0E\x04\x02\x00
MID_ED2_#010	Nous pourrons à nouveau combattre ensemble,\ncomme nous le faisions en Ylisse.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x08\x06クロム\nRien ne me rendrait plus heureux.\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x08\x06ルフレ\nŒuvrons pour un monde meilleur, ensemble !\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x08\x06ルキナ\nEnsemble !\x0E\x04\x00\x00
