MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nSalut, Lapis. Tu aurais une minute ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nJe suis ravie que ça te plaise !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nCette machine est si réussie que j'en viens à\nme demander si tu n'aurais pas une passion\npour la musculation, toi aussi...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nJe m'y intéresse un peu, sans plus. Je soulève\njuste des pierres... comme celle-là. Ou ce gros\nrocher, là-bas.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nDes rochers... avec tes bras tout mollassons ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nエーティエ\nMais... comment tu t'y prends ? J'ai du mal\nà me l'imaginer.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nIl faut absolument que tu m'expliques ça, à\nl'occasion. Je sens qu'on va bien s'entendre\ntoutes les deux.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nVraiment ? Eh bien... d'accord ! Ça me ferait\ntrès plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nJe voulais te remercier pour cette machine que\ntu m'as fabriquée. Elle est formidable pour\nmes exercices de musculation.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\nTant mieux, Etie ! Je suis contente qu'elle\nte plaise.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nÀ vrai dire, je me sens un peu gênée. Tu m'as\noffert une quantité incroyable de feuilles de thé\nfiréniennes pour me remercier.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nNe t'en fais pas pour moi. Ton Optimiseur de\nmuscles version III valait largement ma caisse\nde thé tout entière.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nエーティエ\nTiens, à propos, qu'est-ce que tu manges là ?\nOn dirait... des sortes de pommes de terre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nAh ! Ç-Ça ? Eh bien, euh...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nBon... En fait, je viens d'un petit village brodien\noù on cultive principalement des patates...\neuh, des pommes de terre.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ラピス\nParfois, mes parents me font parvenir de leur\nferme des tranches de patate douce séchées.\nC'est teeellement bon...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nDe la patate séchée... d'une région rurale de\nBrodia ? S'agit-il bien de ce que je crois ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nC'est cette source de féculents riche en calories\net pauvre en graisses dont rêvent tous les\npassionnés de musculation ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nQuoi ? Tu en as déjà entendu parler ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nJe ne savais absolument pas où m'en procurer...\nEt voilà que je tombe dessus par hasard !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nVeux-tu en goûter une ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nTu plaisantes ? Bien sûr, voyons !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nMiam !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nUne seule bouchée de ce délice, et ma fatigue\nmusculaire a totalement disparu !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nJe suis si émue... je crois que je vais me mettre\nà pleurer, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nMoi aussi ! Je n'ai jamais vu personne apprécier\nautant les patates de chez nous ! Je n'aurais\njamais imaginé ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nTiens, prends-en d'autres !\nJ'en ai des quantités !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nTu es sûre que ça ne te dérange pas ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nAlors là, ça ne me dérange pas du tout !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nC'est trop gentil de ta part. Je ne sais\npas comment te remercier pour tout ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nEh bien... est-ce que tu accepterais que\nje m'entraîne avec toi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nJe ne manque pas de force, mais mon énergie\na tendance à décliner quand un combat\ns'éternise.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ラピス\nJ'aimerais bien renforcer mon endurance. Nous\npourrions peut-être courir ensemble ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nエーティエ\nCe serait tout à fait possible, aucun problème !\nPour toi, je serais prête à cavaler jusqu'à en\navoir les jambes qui tremblent !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nOn pourrait essayer avec et sans patate séchée,\npour voir si cela fait une différence.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nエーティエ\nQui sait quels sommets nous allons atteindre\nen nous entraînant ensemble !\x0E\x04\x00\x00
