MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHa ! Hyah ! Han !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nシトリニカ\nBonne nuit, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x02\x08\x06ラピス\nAh, j'adore les colis envoyés de la maison.\nJe me demande ce qu'il y a dedans...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nHa ha, comme si je ne le savais pas déjà.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nOoh, ils m'en ont envoyé de superbes !\nElles ont l'air délicieuses, miam...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nLapis ? C'est vous que j'entends gazouiller ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nAH ! Citrinne ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nVous m'avez flanqué une de ces frousses !\nIl ne faut pas surprendre les gens dans le noir\ncomme ça, en faisant une tête à faire peur...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nAurais-je dû porter un masque ?\nJe doute que cela eût été moins effrayant.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nC'est simplement mon visage, Lapis.\nInutile d'être cruelle.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nExcusez-moi. Je ne pensais pas ce que j'ai dit.\nVous m'avez vraiment fait sursauter.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nOh, mais ça m'a l'air délicieux ! Avez-vous\nenvoyé quelqu'un les chercher à la campagne ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nNon. Cela vient, euh... de...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nOn dirait que cela vient de vos parents. Votre\nfamille possède-t-elle des terres près d'une\nplantation de pommes de terre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nJ'avais cru comprendre que votre famille\nvivait en ville. N'est-ce pas le cas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nTrès bien. Je vais vous dire la vérité, Citrinne.\nMes parents ne vivent pas en ville. Au contraire.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nMes parents vivent à la campagne, comme\ntoute ma famille d'ailleurs. C'est de là que\nviennent ces patates.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nVraiment ? Mais vous avez toujours dit que...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nJ'ai menti. Je n'aurais pas dû mais je l'ai fait.\nS'il vous plaît, n'en parlez à personne, c'est\nd'accord ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nBien entendu. Je n'en dirai pas un mot.\nMais je suis un peu confuse. Pourquoi\nmentir à un tel sujet ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nJ'essayais d'apparaître un peu moins...\nvous savez... rustique.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nÇa me tourmente en permanence. Le prince\nAlcryst est de sang royal. Vous-même faites\npartie de sa famille.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ラピス\nUne paysanne comme moi n'a rien à faire\nen si noble compagnie.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nシトリニカ\nLapis ! C'est faux ! Ça n'a pas d'importance si...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ラピス\nÇa en a pour moi. J'aimerais que mon arbre\ngénéalogique soit aussi impressionnant que\nle vôtre, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ラピス\nLes choses ne sont pas ainsi.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nシトリニカ\nOh, Lapis...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nシトリニカ\nVous et moi formons une paire parfaite.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x08\x06ラピス\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nシトリニカ\nVous voyez le statut de votre famille comme\nvotre fardeau, et je vois mon manque de force\ncomme le mien.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0C\nシトリニカ\nChacune possède ce qu'il manque à l'autre.\x0E\x04\x00\x00
MID_RELIANCE_B_#032	\x0E\x03\x02\x08\x06ラピス\n... Vous avez raison.\x0E\x04\x00\x00
MID_RELIANCE_B_#033	\x0E\x03\x02\x0C\nシトリニカ\nVotre secret sera bien gardé. Je vous laisse\nà présent. Je dois effectuer mon entraînement\nnocturne, après tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#034	\x0E\x03\x02\x0C\nシトリニカ\nBonne nuit, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#035	\x0E\x03\x02\x08\x06ラピス\nBonne nuit, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nVous voilà, Citrinne ! Je vous attendais.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nOh ? Et pourquoi donc, Lapis ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nJ'espérais me joindre à votre entraînement\nnocturne. C'est plus amusant à deux, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nEh bien ! Mais il serait indigne de ma part\nde vous priver d'une nuit de sommeil.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nS'il vous plaît. C'est moi qui ai été indigne.\nJe me sens encore mal à cause de notre\ndernière conversation.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nEt puis je ne pourrais pas dormir en sachant\nqu'une amie s'entraîne toute la nuit.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nLapis... Vous êtes si gentille.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nJ'ai aussi quelque chose pour vous. Tenez.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nUne note ? Non, une adresse.\nQu'est-ce que c'est ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nC'est l'adresse de l'un des manoirs de ma\nfamille, en ville.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nNous n'y avons pas résidé depuis longtemps.\nSeuls les jardiniers et domestiques l'habitent.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nD'accord... mais pourquoi me donnez-vous\ncette adresse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nSi vous voulez cacher vos origines rurales,\nvous devez faire attention à la provenance\nde vos colis.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nVoyez ça comme un service de réexpédition !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nSi vos parents vous envoient un paquet là,\nnos domestiques changeront l'adresse\navant de l'envoyer ici.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nEn fait, votre famille pourrait s'en servir comme\nmaison de vacances. Ou même y habiter.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nCe manoir est à leur disposition.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nOuah...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nCitrinne, merci. Je ne m'étais pas rendu\ncompte de votre affection.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nCe n'est rien. Je prends juste soin d'une\nde mes plus chères amies.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nC'est une offre merveilleuse, mais...\nJe ne peux pas l'accepter.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nMais ?! Pourquoi pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nMa famille n'est pas noble, mais je suis fière\nd'elle. Je ne peux pas leur demander de cacher\nleurs origines.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nJ'ai toujours peur qu'on découvre mon\nsecret. Mais auprès de vous, au moins,\nje ne m'en fais plus.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nQuelle paire bien assortie, pas vrai ?\nChacune possède ce qu'il manque à l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nEt toutes deux sont prêtes à s'entraider.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nPas mal, comme relation de travail.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ラピス\nPas mal du tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\nVous pensez que le prince Alcryst pensait à\nça quand il nous a acceptées pour vassales ?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nOh, j'en doute. Je sais que vous avez le béguin\npour lui, mais Alcryst n'est pas intelligent à ce\npoint.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ラピス\nQuoi ? C-C'est faux !\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nシトリニカ\nGrands dieux ! Vous rougissez. Vos joues sont\naussi rouges que les tapis de la cour royale.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06ラピス\nAllez, arrêtez de vous moquer.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06ラピス\nEt puis ces tapis ne sont pas si rouges que ça.\nVous devriez voir les tomates qu'on fait pousser\ndans mon village !\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nシトリニカ\nOh ? Ça pourrait être une excursion amusante.\nVous pourriez m'emmener là-bas, à l'occasion ?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06ラピス\nBien sûr ! Mais n'emportez pas d'argent.\nLà d'où je viens, les fermiers préfèrent le troc.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nシトリニカ\nComme c'est pittoresque ! J'ai toujours voulu\nessayer. Je pourrais me séparer de quelques\ncolliers...\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06ラピス\nHé, faites attention ! Avec des marchandises\npareilles, vous aurez assez de tomates pour\nremplir tous vos manoirs vides !\x0E\x04\x00\x00
