MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nM'aiderez-vous à rétablir aussi vite\nque possible la paix en ce monde ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nBien entendu. Voilà un geste qui comblera\nsans doute Sa Majesté Lumera.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nQue faites-vous, Vander ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOh, vous surprenez seulement un vieil homme\nen train de perdre son temps à tricoter.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06セリカ\nJe suis fascinée par le mouvement de vos\nmains. Puis-je continuer à vous observer ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nBien entendu. Vous pouvez rester\nautant qu'il vous plaira.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nClanne ? Pourquoi êtes-vous si loin ?\nApprochez-vous, qu'on discute.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nEuh, moi ? Discuter avec Dame Celica,\net tout seul ? Je crois que je vais m'évanouir...\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nClanne ? Vous avez toujours ce pot avec vous.\nQu'y a-t-il dedans ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nDes légumes marinés ! Ils sont trop bons,\nje les mange au petit-déjeuner, ils me donnent\nun coup de fouet !\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06クラン\nVous êtes si bonne, si douce, et je sais que\nje peux compter sur vous. Vous êtes un peu\ncomme une grande sœur pour moi.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06セリカ\nHi hi ! Une grande sœur ?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nOh non... J'ai dit ça tout haut.\nBougre de moi...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06セリカ\nMais détendez-vous, je suis très contente\nd'avoir un petit frère. Notre coopération n'en\nsera que plus amusante.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\nJ'ai tellement de questions à vous poser !\nVotre plat préféré par exemple, ou votre\ncouleur favorite, ou votre...\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06セリカ\nHa ha ! Calmez-vous, Framme. Je peux\nrépondre à toutes vos questions, à condition\nque vous ne m'en posiez qu'une à la fois.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\nDame Celica ! Vous ne devinerez jamais\nla dernière ! Aujourd'hui, je me suis entraînée\navec Sa Divinité !\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06セリカ\nVous l'adorez vraiment. Vous voir si heureuse\nm'emplit également de joie.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\nEuh... Dame Celica ? Qu'est-ce que je dois\nfaire pour être aussi élégante que vous ?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06セリカ\nJe suis touchée que vous me trouviez élégante,\nmais vous n'avez rien à changer, vous êtes\nadorable telle que vous êtes.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nAlors là, pas du tout ! J'agace tout le monde\navec ma maladresse !\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06セリカ\nDétrompez-vous, vous débordez d'énergie,\nà tel point qu'on ne peut que vous adorer.\nRestez la merveilleuse personne que vous êtes.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nQui aurait pensé que l'anneau de notre royaume\nrecelait un Emblème aussi dévoué ?\nC'est un plaisir de vous rencontrer.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06セリカ\nVoilà un sentiment réciproque, Alfred.\nNotre concours à tous les deux sera nécessaire\npour instaurer la paix dans votre monde.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nAlfred, l'aube pointe à peine. Pourquoi\nn'êtes-vous plus au lit ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est l'heure de ma patrouille, et celle\nde mon entraînement quotidien suit juste\naprès. Voulez-vous m'accompagner ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nAlfred ? Ne participez-vous pas au conseil de\nguerre aujourd'hui ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi, mais ça piétine un peu, là. Je suis sorti\nquelques instants pour faire un peu d'exercice\net rassembler mes pensées.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nVous êtes notre Emblème national, après tout.\nIl doit sortir de ce conseil quelque décision\ndont vous pourrez être fière.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06セリカ\nVoilà une charmante préoccupation de votre\npart, Alfred. Je crois que je vais venir courir\navec vous.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nOh non... On dirait que vous avez pleuré.\nEst-ce que quelque chose de grave est arrivé ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nC'est juste ce livre qui m'a ému jusqu'aux\nlarmes. Mais merci de vous soucier de moi.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nブシュロン\nVous savez ce que j'aimerais pouvoir faire ?\nMe rendre dans votre monde pour en lire toutes\nles histoires.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06セリカ\nJ'ignore comment vous pourriez y parvenir,\nmais je peux du moins vous raconter celles\nque je connais.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nブシュロン\nIl est rare que vous me demandiez une faveur,\nest-ce que quelque chose vous préoccupe ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06セリカ\nJ'ai entendu parler d'une forêt magnifique,\net je voudrais la voir. Mais c'est assez loin et\nje ne peux pas m'y rendre par moi-même.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nPas de problème, je peux mettre l'anneau et\nvous y emmener. Je voulais aussi la voir, mais\nje me perds si facilement...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06セリカ\nAlors vous vous occuperez de la marche\net moi de l'orientation, et nous passerons\ntous les deux un agréable moment.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nOh, quelle charmante fleur !\nOù l'avez-vous trouvée ?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nDans le champ, juste là-bas. Je l'ai cueillie\ntout en courant.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVous êtes si frêle, Celica. J'aurais cru que dans\nles familles royales, on se piquait d'avoir un\npeu de musculature autour des os.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06セリカ\nJe ne vois pas le rapport avec les familles\nroyales. C'est peut-être le fait d'être au service\nd'Alfred qui vous met ces idées dans la tête.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nSi vous vouliez être plus musclée, est-ce que\nça serait possible ? Sachant que vous êtes\nun Emblème ?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06セリカ\nJe n'ai jamais essayé, alors je ne peux rien\nvous dire avec certitude.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nImaginez, on pourrait s'entraîner ensemble !\nVous avez pas envie de tenter le coup ?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06セリカ\nC'est vrai que ce serait amusant ! Et puis même\ns'il n'en ressort rien du tout, je serai heureuse\nde passer plus de temps avec vous.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMoi qui ai tant rêvé de m'entretenir avec\nvous, voilà que les mots se dérobent\nle moment venu.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06セリカ\nJe connais ce sentiment. Mais nous avons\ntout le temps de faire connaissance.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nLes arômes du thé sont enivrants, aujourd'hui.\nD'où vient-il ?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nD'un village réputé pour ses champs de thé.\nIl s'agit de mon thé préféré, alors je suis\nbien aise de vous voir l'apprécier.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nChaque jour où nous pouvons deviser ensemble\nest un jour de joie, Celica.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06セリカ\nVous êtes bien aimable. Je ressens exactement\nla même chose.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nLa seule ombre à ce charmant tableau,\nc'est ma crainte que je ne serai peut-être\nplus jamais aussi heureuse qu'aujourd'hui.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06セリカ\nNe vous tracassez pas pour cela. Je suis\npersuadée que l'avenir nous réserve des\njours plus radieux encore.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nJe commence à m'habituer à votre façon\nde vous battre. Il me semble que nous\nformons une bonne équipe.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nJe partage cet avis. J'ai d'ailleurs hâte de vous\nprésenter à tous mes amis.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04ルイ\nRien n'est plus émouvant que d'observer deux\namis passer de bons moments ensemble.\nN'êtes-vous pas d'accord ?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06セリカ\nContempler les amitiés naissantes est\nmerveilleux. J'ai toutefois aussi beaucoup\napprécié de devenir amie avec vous.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nVous semblez distant ces temps-ci.\nAi-je dit quelque chose qui vous a blessé ?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nNon, Celica. Vous avez toujours autant de crédit\nauprès de moi.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x08\x06セリカ\nAlors pourquoi rester à l'écart ? Je dois me\ncontenter de deviner votre présence lorsque\nje m'entretiens avec d'autres personnes.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ルイ\nS'imposer dans votre cercle reviendrait à\n« améliorer » un chef-d'œuvre en agitant le\npinceau en tous sens. Je ne ferais jamais cela.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06クロエ\nCelica, vous êtes tellement adorable que\nvous semblez sortir tout droit d'un conte\nde fées.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06セリカ\nMerci pour ce compliment, Chloé, qui peut\ntout aussi bien s'appliquer à vous.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06クロエ\nVoir des Emblèmes travailler main dans\nla main avec des têtes couronnées ne manque\njamais de m'égayer.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06セリカ\nOui, c'est un spectacle qui donne du cœur à\nl'ouvrage. Le duo que nous formons toutes\ndeux commence d'ailleurs à s'avérer efficace.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06クロエ\nCelica, pourriez-vous me dire ce que l'on\nmange, dans votre monde ? En particulier\nen termes de cuisine de rue.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06セリカ\nMon monde contient sa part de spécialités\ngastronomiques, si c'est ce que vous entendez\npar là. Moi, je raffolais du filet de dagon.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nLe filet de dagon ? Rien qu'au nom, on sent\nque c'est un plat incroyable ! Mais qu'est-ce\nque c'est, au juste ?\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06セリカ\nC'est une tranche d'une créature marine\noriginaire de Zofia. Il suffit d'en manger\nune bouchée pour ne plus éprouver de fatigue !\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nC'est un honneur de combattre aux côtés\nd'un Emblème de Firene. Me prodiguerez-vous\nquelque conseil de combat ?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06セリカ\nC'est moi qui suis honorée, Diamant. Je serais\nravie de pouvoir vous conseiller.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nComment les affaires du gouvernement se\nrèglent-elles dans votre monde, Celica ?\nUn regard extérieur me serait fort utile.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06セリカ\nJe n'ai pas été élevée comme une princesse,\nalors je ne sais trop quoi vous dire... Mais je\nvous décrirai ce que je pourrai avec joie.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJe vous suis si reconnaissant d'avoir épousé\nnotre cause, Celica. Vous qui n'avez pas le\nmoindre lien qui vous unisse à notre monde...\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06セリカ\nJe n'irais pas jusqu'à dire que je n'ai aucun\nlien. Il me semble que c'était mon destin,\nd'être invoquée en Elyos.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nDans ce cas, j'espère que vous nous aiderez\nà mener la destinée d'Elyos à son terme.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06セリカ\nBien entendu, Diamant. Nous instaurerons\nla paix dans ce monde aussi rapidement\nque possible.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nHé, Celica, ma question va vous surprendre,\nmais... Est-ce que vous aimez les alpagas ?\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06セリカ\nLes alpagas ? Qu'est-ce que c'est, au juste ?\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nAmber, vous n'avez pas manqué un seul\njour d'entraînement. Voilà une attitude\nremarquable !\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nC'est normal ! Les héros légendaires ne se\nfont pas en un seul entraînement, et je compte\nbien en devenir un !\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nPuisque la légende des Emblèmes était vraie,\nça doit être le cas de toutes les autres !\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x08\x06セリカ\nOui, qui sait ! Ce monde est empli de mystères.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nAh mais vous êtes d'accord avec moi, Celica ?!\nOuah ! C'est génial ! Allez, partons à la\nrecherche de légendes !\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06セリカ\nAttendez... Vous voulez y aller tout de suite ?\nEt vous m'emmenez avec vous ? C'est...\nabsolument typique de vous, Amber.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nIl paraît que vous écrivez des romans, Jade.\nPourrai-je en parcourir un à l'occasion ?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nHein ? Oh, pardon, Celica, j'étais en pleine\nméditation. Que disiez-vous ?\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nOù puisez-vous l'inspiration pour tous vos\nromans, Jade ?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nAvant tout, j'observe les gens. La réalité est\nnettement plus amusante qu'on ne veut bien\nle dire.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nNos conversations m'ont inspirée, Celica.\nJ'écris actuellement une nouvelle histoire...\nVous plairait-il que je vous en parle ?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06セリカ\nMais je vous en prie ! Je suis toujours ravie\nde vous écouter parler de votre travail.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nC'est l'histoire d'une héroïne qui se réveille\ndans un monde inconnu, une héroïne dotée du\npouvoir de vaincre une mystérieuse menace.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06セリカ\nOh, comme c'est poignant... et intéressant !\nDites-moi quand vous aurez achevé ce livre,\nque je le dévore !\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nスタルーク\nJe me sais à l'abri du danger entre vos mains\nexpertes, Celica, mais je suis navré que vous\ndeviez faire équipe avec quelqu'un comme moi.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06セリカ\nNe dites pas une chose pareille, Alcryst.\nJe suis heureuse de combattre à vos côtés.\nMettons nos forces en commun !\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nVous voilà, Alcryst ! Votre frère vous cherchait\ntout à l'heure.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nOh ! Merci de me le dire... Je suis tellement\ndésolé que vous ayez dû prendre cette peine\npour moi !\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nVous avez fait preuve d'une incroyable force\nface à nos ennemis au cours de la dernière\nbataille. Bien joué, Alcryst.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\nNe racontez pas d'histoires ! Je vous en prie,\noubliez-moi. Je devrais être en train de\nramper sous un rocher, là où est ma place...\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x08\x06セリカ\nC'est la vérité, Alcryst ! Après tout, il faut de\nvéritables compétences pour pouvoir brandir\nla puissance d'un Emblème tel que moi.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nMerci pour ces mots, Dame Celica.\nJe n'en suis pas sûr, mais... je crois\nêtre un peu plus heureux.\x0E\x04\x00\x00
