MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJade ! Affrontez-moi ! Je veux voir ce que\nvous valez au combat !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nJe n'ai pas pu supporter l'idée de vivre ma vie\nentière dans ce village sans jamais rien savoir\ndu monde extérieur.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nOh ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nVoilà. C'est pour cela que j'ai décidé de partir.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nJ'ai laissé un mot pour m'expliquer, dans lequel\nje leur demandais de ne pas chercher à me\nretrouver.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nJe suis parti, et voilà comment je suis ici\naujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ジェーデ\nQuelle histoire extraordinaire, Kagetsu ! Votre\nvie a tout du récit d'aventure, il n'y aurait plus\nqu'à le coucher sur le papier !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nNous avons tous nos histoires.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nÀ présent, acceptez-vous de m'affronter ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ジェーデ\nBien sûr. Je n'ai plus de questions, et nous\navons passé un marché, vous et moi. Je suis\nprête quand vous voulez.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nQuelle puissance extraordinaire ! Vous\nm'avez mis au pied du mur, plus qu'aucun\nautre adversaire !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nVous n'y êtes pas allé de main morte non plus.\nJ'ai du mal à croire que nous soyons restés sur\nune égalité.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nEt je m'en satisfais, une fois n'est pas coutume !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nJe vous rejoins complètement !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nComment avez-vous développé une telle force,\nJade ? Vous vient-elle de votre famille ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nAbsolument pas. Mon éducation a plutôt été\ncalme et paisible.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nMon père est gemmologue, et ma mère est\njoaillère. Elle façonne des bijoux ravissants...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nCe ne sont donc pas des combattants, ni l'un\nni l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nNon, pas du tout. Quand j'étais petite,\nj'aidais ma mère à réaliser ses bijoux.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nMalheureusement, je ne suis pas du tout habile\nde mes mains... Du coup, j'ai accepté un poste\nde garde pour la mine du coin.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nUn changement d'orientation radical.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nVous trouvez ? Je ne sais pas, j'ai toujours bien\naimé tout ce qui est physique.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nIl y avait toujours un bandit pour tenter sa\nchance à la mine, ça me permettait de bien\nme dépenser ! C'était le bon temps.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nAh. Voilà qui explique tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai passé des années à garder cette mine.\nAu village, on m'appelait la « Muraille d'acier ».\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nEt puis un jour, un soldat du roi a entendu\nparler de moi, et il m'a proposé de m'inscrire\nau tournoi de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nVous l'avez gagné sans effort, je suppose.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai défait tous mes adversaires l'un après\nl'autre, fait la connaissance du prince Diamant\net accepté de devenir sa vassale.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nOh oh... J'avais de nouvelles questions à vous\nposer, mais je me rends compte que je n'ai fait\nque parler de moi !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nIl faut croire que vous aviez raison, Kagetsu.\nNous avons tous nos histoires...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nEn effet. Et à présent que les fils de nos destins\nse sont entremêlés, ils nous dessinent un avenir\ncommun !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ジェーデ\nQui se dévoile à chaque page que l'on\ntourne, comme dans un roman.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06カゲツ\nTout à fait ! Alors, quand voulez-vous que nous\nnous affrontions à nouveau ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nQuand vous voudrez, où vous voudrez.\nJe serai là.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nDans le roman qu'est ma vie, je ne pense jamais\nme lasser de relire les pages où nous nous\naffrontons !\x0E\x04\x00\x00
