MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n♪Hmm hmm hmm...♪\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nC'est magnifique, Seadall. Chacun de vos\ngeste est empreint d'une beauté incroyable.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nJ'ai renoncé à bien des plaisirs de la vie pour\nque ma danse ne soit que perfection.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nCe n'est pas facile. Je travaille scrupuleusement\nchaque pas et je fais très attention à mes\nressources énergétiques.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nMes talents de danseur sont célèbres dans tout\nSolm. La suffisance et la médiocrité ne sont pas\nenvisageables.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nQuelle discipline. Je vous admire.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nJe sens aussi quelque chose d'éthéré en vous.\nQuelque chose dont je devrais me méfier.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08セアダス\nPuis-je reprendre mon spectacle maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08リュール\nOh ! Oui, bien sûr.\nExcusez-moi de vous avoir interrompu.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nEsprits des cartes ! J'en appelle à la lune et\naux étoiles ! Éclairez-moi de votre divine\nlumière et répondez-moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nSeadall ? Que cherche-t-il à découvrir aussi...\ndésespérément ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nJe vous conjure de me répondre... Ce plat\nm'apportera-t-il l'énergie nécessaire pour\ndanser ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nManger ne me suffit plus ! J'ai besoin que ce\nsoit bon ! Esprits des cartes, je vous en conjure !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\nGrr ! Ça n'est pas la réponse que j'attendais !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nOh... Il ne se comporte absolument pas\ncomme la dernière fois. Pas du tout, même.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nCalmez-vous, Seadall. Je vous en prie.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nVotre Divinité !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nJ'ignore ce qui se passe, mais cela ne vous\nressemble pas. Quelle est cette histoire de\nvouloir manger quelque chose de bon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nÊtes-vous en train de me dire que je pourrais\nmanger ça sans être trop fatigué pour danser ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nC'est une pâte frite dans du beurre, puis\nbaignée dans une sauce à l'huile. Un vrai régal.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nOh, j'en ai déjà mangé. C'est en effet délicieux.\nÀ mon avis, l'apport énergétique pour votre\ndanse n'en serait que supérieur.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nVous croyez vraiment à ce que vous dites ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nVous parlez sans savoir, n'est-ce pas ?\nSeules mes cartes me fourniront la vérité !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nOui enfin... Je suis quand même à peu près\nsûr\x0E\x0A\x00\x06
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nVous dansez tant que ce ne peut pas être\nmauvais pour vous, surtout quand c'est si bon !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nVous ne comprenez pas. Un danseur de mon\nenvergure doit s'imposer une certaine discipline.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nSur le champ de bataille, il m'incombe d'inspirer\ndu courage à tous ceux qui me regardent.\nCe que je mange doit être irréprochable.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nSi je ne fais pas attention... si ma danse en pâtit\net que nous perdons des troupes... Je ne peux\npas me le permettre.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nSeadall, je suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nJe vais rentrer dans mon cabinet de prédictions\net me préparer un repas sans fritures.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08リュール\nSeadall, je vous en prie, écoutez-moi...\nJe trouve que votre danse est parfaite.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nEt vous permettre quelques petits plaisirs\nde temps en temps n'y changera rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nPourquoi dites-vous cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nJe sais que vos pas de danse sont majestueux\ncar vous vous imposez une discipline de fer.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nMais si vous ne mangez que pour nourrir\nvotre danse, vous n'apporterez jamais le\nréconfort nécessaire à votre âme.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nLa bonne chère nourrirait mon âme ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nVotre danse est également nourrie de votre\njoie intérieure, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nLorsque vous dansiez au clair de lune en\npensant aux disparus... c'était tout bonnement\nmagnifique.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nJe suis sûr\x0E\x0A\x00\x06
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nVous essayez de me dire que mes privations\namoindrissent la qualité de ma danse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nNourrissez-la de ce qui vous fait plaisir\nafin que nous puissions également ressentir\nde la joie en vous contemplant.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nJe comprends que vous vouliez protéger\nvos amis et remporter des batailles grâce\nà une danse parfaite.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nEt c'est justement la raison pour laquelle\nvous devez entretenir votre art en mangeant\nce qui vous fait plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nVotre Divinité, vous ne comprenez pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nCe que vous dites reviendrait vraiment\nà jouer avec le feu.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nEn tant que danseur, je n'ai jamais pu me\npermettre de savourer ce qui me chantait.\nL'apport énergétique a toujours primé.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nToutefois... Je commence à comprendre\nque je dois également nourrir mon âme.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nVos attentions me font chaud au cœur.\nJe vous en remercie.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nJe vais d'ailleurs suivre ce conseil,\npuisqu'il vient de vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nD'ailleurs, je n'ai cessé de penser à cette pâte\nbaignant dans sa sauce à l'huile de l'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nAlors allons en commander !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nLa question est maintenant : combien puis-je\nen manger en une seule fois ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nEt si nous demandions l'avis des esprits\ndes cartes ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nAh, vous m'avez entendu, l'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08セアダス\nVotre Divinité, je crains que vous n'ayez vu\nque mon côté insupportable, récemment.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08リュール\nJ'ai aussi vu un côté des plus séduisants.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セアダス\nEh bien, dorénavant, vous verrez une meilleure\npartie de moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nJe comprends maintenant que la beauté de\nla danse n'est pas seulement extérieure.\nLa prochaine fois, tout sera parfait !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08リュール\nSi vous êtes heureux, je le serai aussi, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08セアダス\nVotre Divinité, je vous attendais. J'aimerais\ninterpréter une danse spéciale pour vous,\nce soir.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nUne danse spéciale ?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08セアダス\nOui. C'est une danse pensée pour\nune seule personne : vous et personne d'autre.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08セアダス\nBien, commençons.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x04\x03\x04
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nSeadall, c'était incroyable ! Cette danse\nm'a vraiment ému\x0E\x0A\x00\x06
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08セアダス\nJ'ai suivi vos conseils. J'ai nourri mon âme\nde plats copieux, et ma danse a suivi\nd'elle-même.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Cela me fait vraiment plaisir.\nMais en quoi ai-je mérité une danse spéciale ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08セアダス\nLaissez-moi d'abord vous expliquer\nce qu'elle signifie.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nAh oui, je veux bien.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08セアダス\nCette danse est une promesse... une promesse\nque je ne peux faire qu'à une seule personne.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08セアダス\nVous êtes unique à mes yeux, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08セアダス\nJe vais vous le dire en toute simplicité.\nJ'ai des sentiments pour vous depuis notre\npremière rencontre, dans cette forteresse.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08セアダス\nJe sais bien que je ne suis pas le seul à tenir\nautant à vous. Et c'est normal. Mais leurs\nsentiments ne sont rien par rapport aux miens.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08セアダス\nJe me demande donc... Se pourrait-il que\nvous ressentiez la même chose à mon égard ?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nSeadall, laissez-moi vous expliquer...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08セアダス\nPardon, je vois bien que j'ai dépassé\nles limites.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nPas du tout, je suis très heureu\x0E\x0A\x00\x0A\x02x\x04se de votre\nconfession. Tout simplement parce que je\nressens la même chose.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08セアダス\nVraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nOui. D'ailleurs, cela fait quelque temps que\nje songe à cet anneau... qui vous irait si bien.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08セアダス\nL'Anneau du Pacte ?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nLui-même.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08セアダス\nJ'ai l'impression que la lune et les étoiles\ns'illuminent dans ma poitrine.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08セアダス\nJe vous promets que je travaillerai\nd'arrache-pied pour vous rendre fi\x0E\x0A\x00\x0E\x04er\x06ère\nde m'avoir à vos côtés.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Vous brillez de mille feux, j'espère\nque ma présence saura rehausser encore\nvotre éclat.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nSeadall, je suis comblé\x0E\x0A\x00\x06
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08セアダス\nOh, \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08セアダス\nRien dans ce monde si incroyable et mystérieux\nne saurait me séparer de vous.\x0E\x04\x00\x00
