MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHé, Jade ! Tu aurais une seconde ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nEn effet. Toutes les mines de la région\nsemblent être épuisées...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nSi nous étions venues ici plus tôt, peut-être\naurions-nous pu trouver quelque chose...\nmais rien n'est moins sûr.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nGrr... Je veux juste une paire de joyaux.\nCe n'est pas grand-chose, quand même !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nJ'étais tellement enthousiaste à l'idée\nde te voir en porter un... Je parie qu'il aurait\nété magnifique sur toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nHein ? Serais-tu en train de rire ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nEh oui, je ris.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nSans aucune raison particulière. Je me sens\njuste heureuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nEt... pourquoi cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nJe suis heureuse que vous ayez autant\nd'attentions à mon égard.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nVous aviez dit vouloir vous trouver des joyaux,\net voilà qu'à présent vous ne pensez plus qu'à\nen trouver un pour moi...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nJe m'accorde un petit moment pour apprécier\nce sentiment de bonheur.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nEh bien ! Tu deviens sentimentale, tout à coup.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nEn fait, je pense juste que tu mérites de profiter\nd'un peu plus de beauté dans la vie, vois-tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nEt je vous en suis très reconnaissante,\nPrincesse Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nGrr...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nNon ! Cette aventure ne peut pas se terminer\ncomme ça. Viens, nous allons nous rendre\nchez un joaillier sur-le-champ !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nHein ?! Finalement, vous allez vous contenter\nd'acheter des joyaux, après tous ces efforts\npour en trouver par nous-mêmes ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nHé hé...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nEh oui ! J'abandonne officiellement la voie des\nefforts, à l'ancienne. Qu'y a-t-il de mal à cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nAbsolument rien. En fait, on n'avait pas besoin\nde chercher une pierre précieuse... J'avais une\nperle à mes côtés pendant toute cette aventure !\x0E\x04\x00\x00
