MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Yaaah !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nラファール\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'étais un enfant faible et malingre.\nPromis à une mort précoce.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Mais lorsque mon père est tombé malade et\nnous a quittés, j'ai juré de me battre de toutes\nmes forces pour acquérir une santé robuste.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Je me suis alors attelé à la tâche et je me\nsuis musclé, afin de pouvoir protéger ma\nmère et ma sœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nラファール\nAfin de protéger votre sœur, dites-vous...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nDepuis ce jour, je n'ai jamais manqué un\nentraînement. Et le résultat se passe\nde commentaires.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Je n'aurais jamais pu vous accompagner sur\nle champ de bataille, vous et le Dragon divin,\nsi tous ces efforts avaient été vains.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nJe vois. Je vous dois des excuses pour avoir\naussi sévèrement jugé votre pratique.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh... Sérieusement ?\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Je savais que vous changeriez d'avis ! Je savais\nqu'on finirait par s'entraîner ensemble !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nNe vous emballez pas. Je n'ai jamais dit\nune telle chose.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	D'ailleurs, je suis las de courir. Cependant,\nje pourrais peut-être essayer une autre activité.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Si vous êtes en mesure de me conseiller une\nforme d'exercice susceptible de maintenir mon\nintérêt, je me laisserai peut-être convaincre.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nRien n'est plus facile, Messire Rafal !\nJe m'en occupe !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nEssayez de répondre à ça !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nPas mal... Mais pas suffisant !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nVotre lance a atteint ma nuque, tandis\nque la mienne a touché votre poitrine.\nConcluons à une égalité.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nラファール\nHors de question. Vous l'auriez largement\nemporté si vous aviez utilisé votre main\ndominante.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nPeut-être, mais je suis également bien\nplus habitué à manier la lance que vous.\nUne égalité me paraît dans l'ordre des choses.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nSoit. Mais accordez-moi une autre manche\naprès notre pause, maintenant que je sais\nà qui j'ai affaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nComme vous voudrez. Au fait, puis-je vous\ndemander quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nラファール\nJe vous écoute.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nVous avez l'air de prendre particulièrement\nplaisir aux séances d'entraînement ces derniers\ntemps. Y a-t-il une raison à cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nラファール\nC'est à vous qu'en revient la faute.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nÀ moi ? Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nL'évocation de votre passé m'a remémoré\nle mien. J'étais faible, moi aussi, quand j'étais\nenfant. Sans cesse à la traîne, même.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Humilié de devoir toujours m'en remettre à la\nprotection des autres, j'ai entamé une quête de\npuissance qui devait m'occuper ma vie durant.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nOui, j'ai vécu exactement la même chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nラファール\nNous avons entrepris un voyage similaire,\nmais il nous a conduits à arpenter des voies\nfort différentes.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Ma soif de pouvoir s'est avérée si pressante\nque j'étais prêt à m'en prendre à tout le monde\npour l'étancher.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Or, sans compassion, la puissance n'est pas\nseulement inutile, elle est nuisible. J'ai enfin\ncompris cela, et c'est en partie grâce à vous.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Votre cœur est bien plus généreux que le mien.\nMais peut-être qu'avec de l'entraînement,\nje pourrai protéger ceux qui me sont chers.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nVous le pouvez, et vous y parviendrez.\nJe n'ai pas le moindre doute à ce sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nラファール\nÀ mon tour de vous poser une question.\nPourquoi passez-vous du temps avec moi ?\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Firene, dont vous êtes le prince, vénère\nle Dragon divin. Un Dragon déchu ne devrait\nvous inspirer que du mépris.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe n'aime pas affubler ainsi les gens d'une\nétiquette. Je préfère juger de mes propres yeux.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Quand je vous regarde, je vois quelqu'un de\nbien. En plus, vous vous êtes mis à l'exercice\nphysique, alors que pourrais-je vous reprocher ?\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Et nous avons connu des enfances similaires\nde surcroît. Pour moi, vous êtes un peu comme\nmon frère.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nUn grand frère beaucoup plus âgé, alors,\nmais je comprends ce que vous voulez dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nEn fait, j'estimais que c'était plutôt moi, l'aîné,\neu égard à ma plus grande expérience de\nl'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nラファール\nCe qu'il ne faut pas entendre... Les années qui\nnous séparent forment un gouffre que vous\npouvez à peine concevoir.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt si on réglait ça à la pointe de la lance ?\nLe gagnant sera intronisé frère aîné.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nラファール\nVous regretterez d'avoir proposé un tel enjeu,\npetit frère.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa ha ! En garde !\x0E\x04\x00\x00
