MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nAh, Rafal. Je vous cherchais.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nVous pourriez au moins avoir la décence de\nprendre un air embarrassé. Le ton que vous\nadoptez n'est guère engageant.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Enfin, puisque vous êtes là... De quoi\nsouhaitez-vous tellement me parler ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nJe voulais d'abord vous interroger sur ce que\nvous aimiez ou non, mais si je devais aborder\nun autre sujet...\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Je vous demanderais comment vous aviez\ntué le temps en attendant le réveil de Nel.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nラファール\nIl n'y a pas grand-chose à en dire.\nJ'attendais. Tout seul.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Si vous désirez vraiment connaître les détails...\nJe lui tenais la main et me livrais à des prières\nperpétuelles pour qu'elle ouvre les yeux.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Je priais pour que me soit accordée la chance\nd'être un frère pour elle. Un frère digne de ce\nnom, cette fois.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Je priais pour avoir la possibilité de la rendre\nheureuse. Et surtout, je voulais qu'elle\nconnaisse mon véritable nom.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nMais en dehors de cela, je me concentrais sur\ndes pensées très simples : si elle ne s'éveille pas\naujourd'hui, peut-être s'éveillera-t-elle demain...\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Sans même que je m'en aperçoive, un millénaire\ns'était écoulé.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nIl en a sans doute été de même pour ma mère.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nLe temps n'avait aucune prise sur moi. Les jours\nqui ont précédé son éveil se confondent dans\nma mémoire en un brouillard insignifiant.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Mais le sourire qu'elle m'a offert lorsqu'elle\na enfin ouvert les yeux y restera gravé à jamais.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Il n'y a rien d'autre à en dire. Elle s'est éveillée,\nnous sommes venus ici, et vous connaissez\nla suite.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nÀ vous écouter, on dirait que passer mille ans à\nattendre est une formalité. Une telle patience\nn'est pas à la portée de tout un chacun.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nラファール\nJe ne mérite pas cet éloge. J'ai agi par pur\négoïsme, croyez-moi.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	D'autre part, je me serais sans doute abstenu si\nvous n'aviez pas prononcé ces paroles avant\nque nous nous séparions.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	De ce point de vue, Nel vous doit son retour\nautant qu'à moi. Et c'est moi qui vous remercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nHa ha ! On croirait entendre Nel.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Votre ressemblance commence à s'étendre\nau-delà de vos traits.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nラファール\nEt maintenant, vous vous moquez de moi ?\nJe n'aurais jamais dû prendre part à\ncette conversation.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08リュール\nNon, Rafal... Je ne voulais pas...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nラファール\nAssez bavassé ! Adieu !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nVous ! Tenez.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nHein ? Qu'est-ce que... Un assortiment de...\nOh, des friandises !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nLe personnel de cuisine m'a retenu en otage\njusqu'à ce que je consente à préparer cela.\nJe me suis donc exécuté.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nVous les avez préparées vous-même ? Merci du\nfond du cœur, Rafal, elles ont l'air délicieuses !\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Vous permettez que j'en déguste une\ntout de suite ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nラファール\nJe vous en prie, mais il y a une chose\nque vous devez savoir.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Je vous ai préparé deux sortes de friandises.\nCertaines sont tout à fait ordinaires, tandis que\nles autres sont relevées d'une saveur spéciale.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nJ'avoue que vous éveillez ma curiosité, mais\nje vais garder les friandises spéciales pour la fin.\nCommençons par les ordinaires.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Miam, c'est... sucré ! Très sucré ! Trop...\nArgh, ça brûle ! C'est normal que ça brûle ?\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Et c'est la saveur ordinaire, celle-ci ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nラファール\nHa ha ! Ça valait la peine de se donner tant de\npeine, ne serait-ce que pour voir l'expression\nde votre visage à l'instant.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	J'aurais dû être plus précis... J'entendais que\nces friandises étaient ordinaires pour moi. Si\nelles étaient moins sucrées, je ne sentirais rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nJ'ai des sueurs froides à l'idée de ce que vous\nappelez le goût spécial... Je ne suis pas sûr\x0E\x0A\x00\x06
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nラファール\nSi vous êtes trop effrayé\x0E\x0A\x00\x06
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nVous savez aussi bien que moi que je ne ferais\njamais une chose pareille. D'ailleurs, vous\nm'avez convaincu\x0E\x0A\x00\x06
MID_RELIANCE_A_#016	Oh. Ouah. C'est incroyable. Toutes mes saveurs\npréférées réunies dans une harmonie parfaite...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nラファール\nConnaissant la sensibilité de votre palais,\nje n'ai intégré qu'une minuscule quantité\nde chaque saveur.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nC'est donc cela que vous entendiez\npar « spécial »...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nラファール\nJe vous recommande de les savourer comme\nil se doit, car ce sont les dernières friandises\nque je confectionne.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Non que je regrette l'effort fourni. Comme\ndisent les gens d'ici, les actes illustrent\nmieux la gratitude que les mots.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nJe n'oublierai jamais ce goût. Merci.\nIl est évident que vous avez mis tout\nvotre cœur dans ces friandises.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Par contre, il y a un problème, Rafal.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nLequel ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nComment vais-je faire pour avoir\nencore de l'appétit au dîner ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nラファール\nHa ha ! Je vous suggère une longue\npromenade digestive, votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nMerci de m'avoir donné un coup de main pour\nles fournitures. Je ne m'en serais jamais sorti\x0E\x0A\x00\x06
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nラファール\nJe n'avais rien de particulier à faire.\nN'en parlons plus.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nParlons-en, au contraire. C'est vous qui vous\navez porté le plus lourd.\x0E\x04\x02\x00
MID_RELIANCE_S_#004	Comment vous remercier... Oh, j'ai trouvé !\nQue diriez-vous d'une bonne tasse de thé\ntout à l'heure ?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nラファール\nVotre comportement me laisse pantois.\nOù puisez-vous une telle gentillesse\nau milieu de cette guerre atroce ?\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Quand j'ai appris que vous étiez un Dragon\ndéchu dans ce monde, j'en suis resté stupéfait.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	Si vous aviez vu le jour au sein de ma fratrie,\nvos douces dispositions vous auraient promis\nà une mort rapide.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nHmm. Et si vous me disiez plutôt ce que\nvous ressentiez vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nラファール\nJe ne vous parle pas de sentiments.\nLes faits sont criants.\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Généreu\x0E\x0A\x00\x0A\x02x\x04se au-delà du raisonnable, indifférent\x0E\x0A\x00\x06
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nOn dirait que la compagnie des idiots vous\nest particulièrement agréable, ces temps-ci.\x0E\x04\x02\x00
MID_RELIANCE_S_#012	Vous avez entrepris un périple depuis un autre\nmonde au péril de votre vie pour un\x0E\x0A\x00\x06
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nラファール\nDites ce qu'il vous plaira.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nEn effet, car je sais que vous avez beau vous\nen défendre, vous écoutez ce que je dis\net vous vous en préoccupez.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Cela m'apparaît clairement, désormais.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nラファール\nHmpf...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nVous disiez que les actes illustraient mieux\nla gratitude que les mots, Rafal, et vous aviez\nparfaitement raison.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	J'y ai réfléchi pendant un moment,\net j'ai décidé de vous offrir ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nラファール\nOh ! Est-ce bien ce que je crois ?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nIl s'agit de l'Anneau du Pacte, le symbole\nd'un lien profond. D'un partenariat.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nラファール\nJe ne suis peut-être pas tout à fait dénué d'un\ncharme superficiel, mais me donner cela relève\nde la folie, même selon vos critères.\x0E\x04\x02\x00
MID_RELIANCE_S_#022	De surcroît, ce serait une erreur. Je n'ai rien\nfait qui mérite un tel honneur.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Quelque autre partenaire que vous choisissiez,\ncette personne serait plus... pure.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nAvez-vous oublié que j'étais moi aussi\nun Dragon déchu ? Vous l'avez dit vous-même.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	Moi aussi, je me suis un jour battu\x0E\x0A\x00\x06
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nラファール\nMais tout de même...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nC'est à vous que je souhaite donner ceci,\nRafal. À vous et à personne d'autre.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Vous avez déjà pris une place unique dans\nma vie. Je ne vous demande rien d'autre\nque de poursuivre sur cette lancée.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Présenté ainsi, je n'ai guère le choix.\nQui d'autre pourrait veiller sur vous ?\x0E\x04\x02\x00
MID_RELIANCE_S_#031	Entendu, vous avez ma parole. Je demeurerai\nà vos côtés et combattrai pour votre cause\njusqu'à mon dernier souffle.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Le monde entier pourrait se retourner\ncontre vous que je serais toujours là.\nJ'en fais le serment.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nMerci. Cela représente beaucoup pour moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nラファール\nÉcoutez bien, car je ne me répéterai pas.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	Vous avez dit que vous vouliez que\nje sois heureux.\x0E\x04\x02\x00
MID_RELIANCE_S_#036	Lorsque j'ai débarqué ici, le fait de démarrer\nune nouvelle vie et de devenir quelqu'un d'autre\nsuffisait à me contenter.\x0E\x04\x02\x00
MID_RELIANCE_S_#037	Mais plus je passe de temps avec vous, et plus...\nvous me manquez, lorsque vous n'êtes pas là.\x0E\x04\x02\x00
MID_RELIANCE_S_#038	C'est pourquoi j'aimerais vous demander\nde prononcer un serment à votre tour,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nラファール\nPromettez de ne jamais me quitter, et que\nnous découvrirons ensemble tout ce que\nl'avenir réserve.\x0E\x04\x00\x00
