MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nAAAAH !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci du fond du cœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nヴァンドレ\nSurtout, garde à l'esprit que ce n'est\nqu'un raccommodage. Cela ne règle pas\ndéfinitivement le problème.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBonjour, Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nQuel que soit l'objet de cette visite, je pense\nque cela peut attendre que j'aie fini mon tricot.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe voulais seulement vous remercier d'avoir\nreprisé ma manche l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nIl se trouve que j'étais là. N'importe qui en\naurait fait autant.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais c'est vous qui vous êtes arrêté pour\nm'aider, alors c'est vous que je remercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPuis-je vous demander ce sur quoi\nvous travaillez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nDe la dentelle. J'ignore ce que j'en ferai ensuite,\nje lui trouverai bien un usage.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe parie que vous pourriez fabriquer toutes\nsortes d'accessoires propres à accentuer\nmon charisme naturel.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nヴァンドレ\nUn accessoire, bonne idée.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vous admire, Vander. Vous êtes fort,\nmais vous avez un côté raffiné. C'est tout\nà fait charmant.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai été au service de Sa Majesté Lumera\npendant de longues années.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nCette charge exigeait que je sache coudre,\ncuisiner, nettoyer... Tous les arts ménagers,\nen somme.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe pensais exceller dans ce domaine,\nmais je m'aperçois que j'ai trouvé encore\nmeilleur que moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAvec tous ces talents qui sont les vôtres, vous\ndevez avoir fait tourner bien des têtes dans\nvotre jeunesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nPas tellement.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nJe me concentrais bien trop sur mon devoir\npour avoir du temps à consacrer à de\ntelles futilités.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nSi je te donne cela, me feras-tu le plaisir\nde prendre congé ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous m'offrez cette dentelle ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci, mais je ne veux pas priver la personne\nà qui elle est destinée.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nヴァンドレ\nTu ne prives personne. Je ne tricote que\npour m'occuper les mains tandis que mon\nesprit œuvre de son côté.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nRegardez cela, Vander.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nTu as manifestement su faire bon usage de\nma dentelle. Voilà un accessoire délicat.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe suis navrée si la grâce avec laquelle je le\nporte éclipse la qualité de votre travail...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nAu moins, tu ne manques pas de confiance\nen toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPermettez-moi d'y voir un compliment.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nTu fais bien. La confiance est une excellente\nchose. Ne change rien, surtout.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi je puis me permettre, Vander...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'aimerais vous demander quelque chose...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nDe quoi s'agit-il ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous disiez que le tricot vous permettait\nd'occuper vos mains tandis que votre\nesprit œuvrait de son côté.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe me demandais si vous accepteriez de...\nme faire bénéficier d'une partie de ce travail ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nQu'entends-tu par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe voudrais que vous m'appreniez à tricoter.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe pense que cela constituerait une bonne\ncorde à l'arc en perpétuelle extension de\nmes nombreux talents.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nヴァンドレ\nPitié, accordez-moi de la patience... Je me\ndemande comment j'ai pu imaginer que\ntu avais une once d'humilité.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vous en demande trop ? Pardonnez-moi...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNon, je t'enseignerai ce que je sais. Je suis\ncurieux de voir où cela te mènera.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, merci, vous me faites bien plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEn retour, vous aurez bien sûr la joie de profiter\nde mon éblouissante conversation.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSous peu, vous vous demanderez comment\nvous pouviez tricoter seul.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nHa ha ! Tu es un drôle d'oiseau, décidément.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nTon assurance est telle qu'elle confine à\nl'effronterie. Tu n'hésites pas à dire tout\nce qui te passe par la tête.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nToutefois, cela confère un certain charme à\nta conversation, il me faut en convenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nSoit, c'est entendu. Il est toujours agréable\nde bavarder un peu. Peut-être même que\ncela s'avérera très divertissant.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÇa, vous pouvez en être sûr.\x0E\x04\x00\x00
