MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nQuoi ? Vraiment ? Ici ? Hmm... est-ce que\nj'interprète cela correctement ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nFaire tomber... Vous voulez dire... Qu'il se mette\nà pleuvoir ? Des gouttes qui tombent du ciel ?\nComment je dois faire ça ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nCela... je n'en sais rien. Ce n'est pas moi\nle sauveur, c'est vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nOh, voyons ! Personne ne peut faire tomber\nla pluie, juste comme ça.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nMais si vous êtes bien le sauveur légendaire,\nvous devriez en être capable. Les cartes\nont parlé.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nOuah... Les cartes ont vraiment à ce point foi\nen moi ? Je ne peux pas les décevoir...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nBon, très bien. C'est trois fois rien. Je suis\nun sauveur légendaire, après tout. Je dois\nmaîtriser le talent de faire tomber la pluie.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nUie-plu... Uie-plu... Uie-plu...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nC'est cela, oui...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nUie-plu... Uie-plu... Uie-plu... Be-tom du el-ci !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nJe n'avais encore jamais entendu cette...\nhem... « incantation »...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nAl-pa-ga ! Un, deux, trois, tous les alpagas...\nVeulent la pluie, la pluie, la pluiiiie !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nVoiiiii-lààààà, la pluiiiiie !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nOn aura tout vu...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\nAlors, c'était comment ? Il s'est mis\nà pleuvoir, ça y est ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nPas la moindre goutte.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nOh, mais non !\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nJe crois... que la prédiction était erronée.\nDésolé. Il me semblait l'avoir bien interprétée.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アンバー\nNon, ce n'est pas votre faute. Je viens juste\nde me ridiculiser. Dites à vos cartes que je suis\ndésolé...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nAmber, est-ce que je peux vous dire un mot ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nOh, Seadall. Je suis désolé, mais... je préfère\nrester seul, encore quelque temps.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nJe me sens toujours gêné par cette histoire\ndu « sauveur qui fait tomber la pluie ».\nJe suis un imbécile, vraiment...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nC'est justement de cela que je voulais vous\nparler. Il a plu. Vous avez bien agi en sauveur,\nfinalement !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nOuah.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nAttendez, mais non ! J'étais là. J'ai gesticulé\ncomme un fou... et il n'est pas tombé une seule\ngoutte de pluie !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nC'est gentil d'essayer de me remonter le moral...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nMais ce n'est pas en étant cajolé ainsi\nque je me sentirai moins bête.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nCe n'était pas du tout mon intention. Je vous le\ndis, Amber... Vous avez réussi à faire tomber la\npluie, tout comme les cartes l'avaient prédit.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nIl ne s'est pas mis à pleuvoir là où nous étions,\nmais sur un village à quelques kilomètres de là.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nVraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nIl n'y avait pas eu de pluie depuis des lustres,\nlà-bas. À vrai dire, les cultures étaient sur\nle point de périr.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nEt tout à coup, il s'est mis à pleuvoir à verse.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nJe vous assure : c'est arrivé juste après votre\nétrange incantation à la pluie.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nOuah. Ça alors... C'est pas possible.\nJ'ai fait ça ? Moi ? Vraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nJ'ai réussi ! Je suis le sauveur légendaire d'un\npetit village je ne sais où !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nJe suis si... content. Sauver des vies, il n'y a\nvraiment rien de plus satisfaisant au monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nLorsque les combats se seront apaisés, que\ndiriez-vous d'aller rendre visite à ce village ?\nJe me chargerai des présentations.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\n« Oyez, oyez, humbles villageois ! Venez saluer\nvotre sauveur, le passionné d'alpagas ! »\nOui, voilà ce que je leur dirai.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nNon, ne me présentez pas de cette façon-là !\nÇa n'est pas très flatteur, encore une fois !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nNe vous en faites pas. Je vous promets de vous\nprésenter correctement, comme « l'homme aux\ninnombrables légendes ». Vous le méritez.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nOuais ! Et ensuite, je remercierai le génial diseur\nde bonne aventure qui a prédit ma venue !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nHa ha ha ! C'est à mon tour de me sentir gêné.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nOn fait un beau duo, tous les deux...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nJe ne pense pas que nous ayons le choix...\nSi j'en crois ma dernière prédiction, nous\nsommes destinés à devenir amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nHa ha ! Que ces cartes sont perspicaces !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nVive notre amitié naissante ! Nous paraderons\ndans ce village sous un ciel radieux. Enfin...\nsauf si je fais tomber la pluie, bien sûr !\x0E\x04\x00\x00
