MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nMessire Vander, c'est vrai que vous étiez\nau service de la reine Lumera à Lythos ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nC'est vrai que vous avez pas dansé...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nBien sûr que non ! Mon vieux dos se briserait en\nmorceaux si je me livrais à de telles cabrioles !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nEn tout cas, j'apprécie votre ouverture d'esprit.\nAu début, certains fidèles se plaignaient...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nAh, vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nEh oui ! En Solm, ils sont pas du genre dévots.\nÇa se bousculait pas franchement, à l'église...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nAlors il m'est venu une idée pour arranger\nles choses.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nDonner à l'office des allures de fête.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\nExactement ! Si on veut être entendu, il faut\nparler une langue que l'auditoire comprend.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nヴァンドレ\nTu as travaillé dur pour remettre l'église sur\npied. Je regrette d'avoir parlé de « carnaval ».\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nヴァンドレ\nBien que... peu orthodoxes, tes méthodes savent\nattirer de nouveaux fidèles. C'est appréciable.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パンドロ\nVenant de vous, c'est là un grand éloge,\nMessire Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nヴァンドレ\nTu sais, peut-être que notre monde gagnerait en\nfaisant un peu montre de ton ouverture d'esprit.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nGrr ! Enfin, Vander. Tu ne vas pas te laisser\nhumilier par une bande de gamins...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nVander, qu'est-ce que vous faites ? C'est une\ntechnique que vous avez apprise à Lythos ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nNon ! Ce n'est rien ! Hors de ma vue !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nOh... Je passais juste dire salut en ami.\nDésolé de vous avoir dérangé.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nPandreo, attends. J'étais en train de...\nd'apprendre à danser.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nOh, OK. Vous apprenez à danser.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パンドロ\nAttendez... Quoi ? Vous apprenez à danser ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nOui.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nMais je croyais que votre dos\nvous faisait souffrir !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nCesse de m'interrompre, veux-tu ! J'essaie\nde saisir ce qui plaît tant aux jeunes gens\nlà-dedans.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nMais ces mouvements... j'en suis incapable. J'ai\nbeau me sentir jeune, mon corps n'est pas dupe.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nBah, vous avez pas l'habitude, c'est tout. Tout\nle monde y arrive avec un peu d'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nHmm... Dans ce cas, je vais poursuivre\nmes efforts.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nHm, hm !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nOn peut dire que vous avez une volonté de fer.\nJe vous admire pour ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nEst-ce là l'un de ces sarcasmes que les jeunes\ngens d'aujourd'hui affectionnent tant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nNon ! On est pas de la même génération, mais\non partage la même foi, le même sacerdoce.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nJe crois qu'on a tout à gagner à chercher à\ns'enrichir mutuellement de nos expériences.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nTenez, c'est comme les histoires que vous\nracontiez à ma fête. Je suis ravi que vous\nayez partagé ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nヴァンドレ\nJe suis toujours heureux de transmettre\nce que j'ai appris.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nEnrichissons-nous de nos savoirs respectifs.\nPour l'avenir de l'Église, et celui du monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nBien parlé !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nC'est dans ce dessein que je dompterai la danse\nafin de « swinguer » comme il convient lors de\nta prochaine fête. Hop !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nARGH... MON DOS !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nOh ! Par tous les dieux ! Comment avez-vous\nfait pour le tordre à ce point ?!\x0E\x04\x00\x00
