MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous êtes le cœur qui anime ce groupe.\nJe ferai tout ce qui est en mon pouvoir\npour vous protéger du danger.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nVous trouvez ? Eh bien dans ce cas, je vais\ntâcher de redoubler d'efforts pour continuer\nà vous impressionner !\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJe me demandais ce qui peut faire plaisir\naux jeunes filles de ce monde...\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nEh bien... pour ma part, j'aime beaucoup\nles betteraves. Bien rouges et délicieuses.\nJ'en ai toujours sur moi !\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous êtes une grande admiratrice du Dragon\ndivin, n'est-ce pas ? J'ai l'impression qu'\x0E\x0A\x00\x10\x04il\x08elle\nrevient sans arrêt dans nos conversations...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nEn effet. Mais vous-même, vous évoquez bien\nsouvent Dame Corrin... J'imagine que vous\néprouvez tout autant d'admiration pour elle ?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nC'est agréable de parler des gens qui comptent\npour nous, je trouve. Et je dois avouer que\nj'aime beaucoup bavarder avec vous !\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06カミラ\nCela me fait très plaisir aussi. Mais nous\navons assez discuté des autres, parlez-moi\ndonc de vous, à présent...\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJe songeais qu'il serait agréable de passer\ndu temps tous les deux. Que diriez-vous\nde courir un peu ?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06カミラ\nCela semble une excellente idée. Toutefois,\nje préfère vous suivre à dos de wyverne,\nsi vous n'y voyez pas d'inconvénient.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nQuels sont vos secrets d'entraînement pour\nêtre toujours en forme et prête à livrer bataille ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06カミラ\nHmm, je ne crois pas avoir de techniques\nparticulières... Je bois beaucoup de lait,\npeut-être ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nLorsque j'étais enfant, j'étais très faible. Ma\npetite sœur en concevait de vives inquiétudes.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06カミラ\nVraiment ? De toute évidence, vous avez\nbeaucoup d'affection l'un pour l'autre.\nMais parlez-moi encore de votre enfance...\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe serais ravi d'en discuter à nouveau tout\nen courant ensemble, et j'espère que vous\nme parlerez également de vos frères et sœurs.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06カミラ\nMes frères et sœurs ? Votre chevelure dorée\nme fait justement penser à eux. Nous avons\nbien des souvenirs d'enfance à partager.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCela fait un moment que je vous vois passer\net repasser ici. Vous marchez pour vous\nentraîner ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNon... Je cherche à me rendre à la grotte, mais\nje rate à chaque fois l'endroit où il faut tourner\net je me retrouve à mon point de départ.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nAvez-vous déjà chevauché une wyverne ?\nAvoir une vue d'ensemble du paysage vous\naiderait peut-être à trouver votre chemin.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nHmm, je n'y avais jamais songé. Mais... si\njamais je me perdais dans le ciel, je serais\nvraiment dans de beaux draps.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nブシュロン\nVisiblement, je me retrouve toujours là où\nvous êtes. C'est peut-être parce que j'aime\nbien discuter avec vous...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06カミラ\nJe suis ravie de l'entendre. J'apprécie moi aussi\nnos petites discussions. Puisque vous êtes là,\nque diriez-vous de bavarder un peu ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06カミラ\nIl me semble commencer tout juste à vous\nconnaître. J'aimerais en savoir plus sur vous.\nQuelle est votre activité favorite, par exemple ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nJ'adore la lecture. Cela me permet de passer\nle temps quand je me perds. Voulez-vous que\nje vous parle du dernier livre que j'ai lu ?\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJe ne sais pas si j'ai déjà rencontré une fille\naussi passionnée par les exercices physiques\nque vous, Etie. C'est vraiment admirable.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nC'est dans ma nature, tout simplement. Mais\nvous suivez certainement un entraînement\nphysique rigoureux, vous aussi !\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVous avez sûrement des techniques secrètes\nde votre monde d'origine pour vous entraîner.\nAccepteriez-vous de me les enseigner ?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06カミラ\nJe ne vois rien qui serait particulier à Nohr.\nJe me suis simplement entraînée pour devenir\nforte et protéger mes frères et sœurs.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nエーティエ\nÀ quoi ressemblait Nohr ? Je viens de Firene,\nune contrée réputée pour ses superbes fleurs.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06カミラ\nUn pays de fleurs, voilà qui paraît merveilleux...\nNohr est un royaume bien sombre, alors\nles fleurs y étaient rares.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh, mais c'est bien aussi d'avoir de l'ombre !\nÇa permet de s'entraîner en plein air, sans\nrisquer de prendre des coups de soleil !\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06カミラ\nHa ha ! Je ne l'avais jamais vu sous cet angle.\nPourquoi ne pas nous entraîner plus souvent\nensemble, et peu importe le temps qu'il fait ?\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous avez fait merveille sur le champ de\nbataille. Vous incarnez le parfait équilibre\nentre puissance et bonté.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nLe combat ne me procure nul plaisir, mais\nla paix est à ce prix. Ensemble, nous mettrons\nun terme à cette guerre.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe n'ignore pas que le soleil brille timidement\nau-dessus de Nohr, mais êtes-vous en mesure\nd'y cultiver quelque thé particulier ?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06カミラ\nHmm... il m'arrivait d'y déguster un délicieux\nthé, mêlé de pétales d'un jasmin qui ne fleurit\nqu'au clair de lune.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe n'ai pas pu trouver le jasmin que vous\névoquiez, mais j'ai cependant déniché\nune fleur similaire. Qu'en dites-vous ?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06カミラ\nQuel arôme merveilleux. Ce n'est pas le jasmin\nde ma terre natale, mais il me l'évoque tout\nde même.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nJ'en suis ravie. Voulez-vous que nous devisions\nensemble autour de ce doux fumet ? Je désirais\njustement vous remercier pour votre aide.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06カミラ\nOh, Princesse Céline, c'est moi qui voulais\nvous remercier ! Oui, en effet, je crois que\nnous avons bien des choses à nous dire.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLouis ? Puis-je savoir pourquoi vous portez\nun regard appuyé dans ma direction ?\nDésirez-vous me dire quelque chose ?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nOh, pardonnez-moi. Mon esprit battait\nla campagne.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x06\x04ルイ\nVous vous entendez si bien avec chacun,\nici... C'est un plaisir de vous voir profiter\nde cette joyeuse compagnie.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06カミラ\nJe me régale en effet ! Et le temps que je passe\navec vous ne fait pas exception.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x06\x04ルイ\nMoi qui ai grandi entouré de mes frères,\nje demeure ébahi devant toutes les femmes\npuissantes qui fréquentent ces lieux.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06カミラ\nÀ Nohr, je veillais à recruter des vassales\nqui soient aussi fortes que charmantes.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nQuelle adorable garde devait vous entourer...\nJ'espère avoir la chance d'en rencontrer\nles membres un jour.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06カミラ\nElles seraient sûrement ravies de faire votre\nconnaissance. Elles sont un peu originales,\nmais ce sont les meilleures des alliées.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クロエ\nLa princesse d'une contrée privée de soleil...\nOn se croirait dans un conte de fées !\nJe veux que vous me racontiez tout !\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06カミラ\nHa ha ! Je ne pense pas qu'on puisse\nqualifier cela de conte de fées, mais\nje peux vous en parler avec plaisir.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クロエ\nQu'est-ce que vous préférez manger ?\nLaissez-moi deviner... Je dirais... un plat\nde viande bien saignante.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06カミラ\nDans le mille ! J'ai beau avoir toujours dit que\nj'aimais les fruits, la viande était en réalité\nce dont je raffolais par-dessus tout.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJe dois avouer que vos habitudes culinaires\nsont peu communes, mais je les trouve tout\nà fait charmantes. Vous êtes... fascinante.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nOh, mais vous allez me faire rougir !\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06カミラ\nNous devrions aller faire un tour dans les airs\ntoutes les deux, à l'occasion. Tout là-haut,\npersonne n'entendra nos secrets !\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nJe me réjouis rien qu'à y penser ! Et je nous\napporterai toutes sortes de plats fascinants !\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJe suis Camilla, princesse héritière de Nohr...\nJugez-vous que les salutations formelles soient\nnécessaires, entre personnalités royales ?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nNous sommes des alliés et nous œuvrons\nà un but commun. Je préférerais que nous\névitions un tel formalisme.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nL'histoire de votre contrée natale m'intéresse.\nA-t-elle subi de nombreuses invasions ?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06カミラ\nNohr était en guerre avec une autre nation\ndu nom d'Hoshido. Mais ma sœur Corrin\ny a mis un terme.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nLorsque je serai roi, je compte engager ma\nnation sur la voie de la prospérité. J'entends\nque mon peuple vive confortablement.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06カミラ\nSi vous coopérez avec les autres pays pour\ndévelopper cette prospérité, vous diminuerez\négalement d'autant les risques de conflit.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nVos paroles m'affermissent dans mes projets.\nMême si Brodia est un royaume où prédomine\nla force militaire, je ne veux pas de la guerre.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06カミラ\nJe suis certaine qu'au cours de votre règne,\nBrodia sera une terre de paix. Puisse ce temps\nvenir bientôt.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMa wyverne est capricieuse, mais ne semble\npas dérangée par votre présence. Visiblement,\nles animaux vous apprécient, Amber.\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08アンバー\nMa famille a toujours vécu dans une ferme, alors\nj'ai grandi entouré d'animaux. Votre wyverne\nest franchement magnifique !\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08アンバー\nVotre armure est aussi élégante que peu\ncommune. Aurait-elle par hasard une histoire\nlégendaire ? J'adore ce genre de choses !\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06カミラ\nMerci pour le compliment. Cette armure a toute\nune histoire, en effet. Je vous la raconterai,\nà l'occasion.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMon armure a pour nom « Swaläups Mena »,\nla Lune resplendissante ! Elle évoque la beauté\ndu ciel nocturne.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nOuaaah ! Ça, c'est un nom qui claque !\nJe savais que c'était une armure légendaire !\nOooh, c'est excellent !\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06カミラ\nHa ha ha ! Je transmettrai votre enthousiasme à\nl'homme qui lui a donné ce nom. Je crois que\nvous vous entendriez bien, tous les deux.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nFaites-lui part de mon admiration. J'ai\nbeaucoup d'estime pour ceux qui parviennent\nà saisir en un mot tout l'esprit de l'aventure !\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous ne faites pas de quartier au combat,\nn'est-ce pas ? C'est formidable. Je sens que\nnous allons bien nous entendre.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nEn tant que vassale du Prince Diamant, il est\nbien sûr de mon devoir d'annihiler nos ennemis.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJ'apprécie l'importance que vous accordez au\ndevoir. Cela me rappelle une vassale entrée à\nmon service après avoir été un assassin.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nQue ce soit bien claire : je ne suis pas et n'ai\njamais été une tueuse. J'assurais auparavant\nla garde d'une mine.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMême si vous ne les prononcez pas, je sais\nqu'une foule de mots se bouscule dans\nvotre tête.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nJe n'ai jamais été très à l'aise pour parler. C'est\nce qui m'a poussée à développer mon goût\npour l'écriture.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x08\x06カミラ\nVraiment ? Et qu'est-ce que vous écrivez ?\nJ'adorerais lire quelques-uns de vos textes...\nCela m'aiderait à mieux vous connaître.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nJ'écris des romans, pour mon plaisir. Je ne suis\npas sûre qu'ils soient tout à fait à votre goût,\nmais je pourrai vous en prêter.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nスタルーク\nJe saisirais bien l'occasion pour me présenter\nà vous dans les formes, Dame Camilla, mais je\nne voudrais pas vous faire perdre votre temps...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06カミラ\nMa foi, voilà un comportement étrange...\nVotre attitude est bien différente de celle\nque vous avez sur le champ de bataille.\x0E\x04\x00\x00
