MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh, Rosado. Depuis toujours, c'était là\nnotre destinée.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nVraiment ?! Non, c'est impossible !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nCes lapins nains sont si doux et si mignons !\nRegarde-moi un peu celui-là !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nEh oui ! J'ai eu la chance d'apercevoir ce petit\nbonhomme. Alors bien sûr, je l'ai dessiné.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nEt avec force détails, de surcroît ! Tu sais\nà quel point j'adore les animaux rares !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nMême si cela me peine de l'admettre, Rosado...\nTon dessin si mignon m'a vraiment conquise.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nJ'ai donc gagné !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nPas si vite. Tu n'as pas vu ce que j'ai apporté.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nIl s'agit d'une barrette ornementale, avec\nune wyverne très détaillée en filigrane !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nOh non, c'est pas vrai ! De toute ma vie,\nj'ai jamais rien vu d'aussi classe !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nJe savais à quel point tu aimais les wyvernes.\nTon petit cœur ne pouvait pas résister.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nRegarde-le bien ! Chaque croc a été réalisé\navec le plus grand soin, dans le souci du\ndétail.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nC'est du vrai travail d'artiste ! Et c'est vraiment\nla classe incarnée !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nOh... Vive la classe !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ロサード\nOh... Vive le charme !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nCe concours...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ロサード\n... se termine dans une impasse !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nRosado, je crois que j'ai enfin trouvé\nune solution.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nCela fait un bout de temps que nous faisons\nconcourir la classe face au charme, sans\npouvoir déterminer de vainqueur.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nEh oui. On ne s'en sort pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nJ'ai été chamboulé par chacun de tes objets\ndébordant de classe, sans exception.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nIl en va de même pour moi. J'ai adoré tous\nles objets mignons que tu m'as présentés.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nNous ne pouvons être sûrs que d'une chose :\nle charme et la classe sont tous deux des atouts\nqui nous font fondre le cœur !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nTout à fait ! Peu importe qui l'emporterait.\nCe sont deux qualités formidables, et c'est\ntout ce qui compte !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nJe m'excuse d'avoir fait s'éterniser cette\ncompétition stupide.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nMais de quoi t'excuses-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nÇa en valait totalement la peine, au contraire.\nMaintenant, nous savons que la classe et\nle charme se valent !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nAttends un peu...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nQuelque chose ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nTu respirais la classe en disant ça, Rosado.\nBien plus que moi ces derniers temps,\nqui plus est.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nAh... Mais tu sais, je peux en dire autant de toi\net de ton charme !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nTon sourire de satisfaction à chaque fois\nque j'étais conquis par un objet... Le charme,\nc'est rien à côté !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nHa ha ! Merci, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nJe suggère donc que chacun de nous continue\nd'entretenir son style de la manière la plus\nformidable possible.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nBonne idée. Tu resteras la classe incarnée\ntandis que je continuerai à aspirer aux\nhautes sphères du charme.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nNous pouvons être des rivaux aux aspirations\ndifférentes, mais sans cesser de nous\nencourager mutuellement.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nHé, oui ! Rosado et Merrin, les meilleurs\nennemis du monde !\x0E\x04\x00\x00
