MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nJe suis heureuse de rencontrer un autre dragon,\net je ferai tout mon possible pour vous aider à\nmettre un terme à cette guerre.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カムイ\nJe vous comprends, j'ai moi aussi connu cette\ndouleur, ainsi que le poids de devoir reprendre\nle flambeau laissé par un compagnon d'arme.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カムイ\nLes survivants que nous sommes doivent\nperpétuer la volonté de leurs alliés, et amener\nla paix pour laquelle ils se sont sacrifiés.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOui. En attendant ce jour glorieux,\nrestons soudées et efforçons-nous\nde toujours revenir saines et sauves.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nCorrin, je ne pense pas avoir déjà rencontré\nquelqu'un d'aussi déterminé et gentil à la fois.\nJ'ai l'impression de pouvoir compter sur vous.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06カムイ\nJe suis heureuse de vous l'entendre dire,\net je ferai tout mon possible pour vous\ngarder du danger.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nAutrefois, les combats me faisaient horreur,\nmais j'ai appris qu'il fallait prendre les armes\npour protéger ceux que nous aimons.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nJe le comprends très bien, mais je pense\naussi qu'il faut savoir battre en retraite...\nPour des raisons stratégiques, bien sûr.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJe suis jaloux de votre tenue, elle a l'air\ntotalement à l'épreuve des coups.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06カムイ\nElle est certes efficace face aux épées,\nmais beaucoup moins contre d'autres\ntypes d'attaques.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nJe vois... Dans ce cas, pas le choix, je vais\ndevoir me secouer un peu pour éviter qu'il\nvous arrive du mal.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06カムイ\nVous êtes si prévoyant, Gregory.\nSi quelqu'un ose vous blesser,\nil devra en répondre devant moi.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nOn m'a narré que vous aviez accordé le pardon,\net même votre confiance, à vos ennemis. Que\nvoilà une mansuétude toute chevaleresque.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06カムイ\nJ'abhorrais les combats car j'étais en proie à\nla peur, mais grâce à vous et à tous les autres,\nje pense être devenue plus forte que jamais.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nVotre force de caractère est admirable,\nMadeline. Vous appliquez le crédo des\nchevaliers sans jamais faillir.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nJe n'aspire point à recevoir de tels éloges,\nmais simplement à devenir un chevalier\naussi valeureux que mes parents.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nLa perspective de combattre et de voir souffrir\nautrui m'emplissait d'effroi, alors que j'étais\nplus âgée que vous. Je suis impressionnée.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nJe n'y suis pas parvenue seule, et ma vie\naurait été bien différente sans le soutien\nde mes parents et de mes alliés.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06カムイ\nMême quand l'on est tétanisé par la peur,\nnos amis peuvent nous aider à avancer.\nMarchons ensemble, vous et moi.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nVolontiers. Je ne suis pas de nature à m'en\nremettre constamment aux autres, mais il\nest rassurant de vous savoir à mes côtés.\x0E\x04\x00\x00
