MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08アイビー\nMauvier ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nJ'ai juré d'aider mes prochains, et j'espère\nainsi qu'on finira par m'accepter.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nAinsi, j'aurai trouvé ma place dans ce monde.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nJe vous comprends tout à fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nVous n'en tirerez peut-être pas grand réconfort,\nmais je vous accepte et vous considère\ncomme un ami.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nEt croyez-moi, pour espérer les entendre\nun jour de la part de nos alliés, je connais\nla valeur de ces mots.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nJe vous remercie pour votre franchise,\nPrincesse Ivy.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nEst-ce vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nVous vénérez le Dragon divin ? Pourtant,\nElusia tout entière voue un culte au Dragon\ndéchu...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nC'est la vérité.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nTous les adorateurs du Dragon déchu que\nj'ai pu rencontrer vouaient leur existence au\nmensonge et à l'intrigue.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nAussi ai-je décidé de leur tourner le dos et de\nprier le Dragon divin. En secret, bien entendu.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nVous avez fait preuve de beaucoup de courage\nmalgré votre jeune âge.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nÀ bien y réfléchir, vous n'avez peut-être\npas tort...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nVous êtes également originaire d'Elusia,\nn'est-ce pas ? Vénérez-vous le Dragon déchu ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nJe suis né à Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nJ'étais encore jeune quand mon père a\nsuccombé à la maladie. Ma mère et moi\nsommes ensuite partis pour Elusia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nLes prières de ma mère au Dragon divin n'ont\npas sauvé mon père. Nous avons donc changé\nde divinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nEt comment se porte votre mère, aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nElle est morte peu après le début de notre\nnouvelle vie en Elusia.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nJ'ai été recueilli par une église elusienne. Tout\ncomme d'autres orphelins.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nJe l'ignorais. Je suis sincèrement désolée.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\nJe n'ai rien à cacher.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nJ'ai été élevé par des adorateurs du Dragon\ndéchu, mais je n'ai jamais été un vrai croyant.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nComme ma mère avant moi, j'ai senti que mon\ndieu ne s'était jamais intéressé ni à moi, ni à\nmes aspirations pacifiques.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nVous étiez entouré de disciples du Dragon\ndéchu, et avez pourtant choisi de ne pas\népouser leur foi.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nJe ne l'admets que très rarement, mais non,\nen effet. Je suppose que c'est un point que\nnous avons en commun.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nOn dirait bien. Je me demande si nous\npartageons d'autres choses.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nC'est curieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nJe n'ai pas pour habitude de m'étendre sur\nmon passé, mais avec vous, je me livre à des\nconfidences.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nIl en va de même pour moi. Pour une raison\nqui m'échappe, je vous révèle chacun de mes\nsecrets.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nNous voilà tous deux dans une situation\ndélicate.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nÀ ce rythme, je risque fort de finir par vous\ndévoiler mes points faibles.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nPeut-être que chacun de nous espère\nsecrètement que l'autre sera le premier\nà s'exposer...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nNous sommes vraiment semblables\nvous et moi...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nVous vous rappelez peut-être ce que je vous\nai dit, l'autre fois...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nJe m'efforce de me faire accepter unanimement\nen tant qu'allié. C'est mon dessein, et le moteur\nde chacune de mes décisions.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nJe n'ai pas oublié.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nCe n'est peut-être pas le bon état d'esprit.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nQue voulez-vous dire par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nSi une seule personne pouvait m'accepter,\nje serais heureux. Le reste n'a pas d'importance.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nL'acceptation d'une seule personne me\nsuffirait pour me sentir à ma place.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nAinsi, si vous êtes disposée à m'accepter...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nJe serais sûr que ma place serait ici.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nC'est une belle manière de voir les choses.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nEt nous lutterons ensemble pour protéger ce\nnouveau foyer qui est le nôtre aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nOui.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nContinuerons-nous de nous dévoiler\nnos secrets les mieux gardés ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nVous pouvez compter sur moi pour protéger\nvos secrets, Princesse Ivy.\x0E\x04\x00\x00
