MID_OP1C_#001	\x0E\x02\x00\x06\x04PP\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNous avons traversé la frontière, nous\nvoilà sur le territoire de Brodia.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu as une impressionnante façon de te\nprosterner, soldat. Elle doit mettre tes\narticulations à rude épreuve.\x0E\x04\x02\x00
MID_OP1_#003	Hmm... un instant. Ton visage me rappelle\nconfusément quelqu'un.\x0E\x04\x02\x00
MID_OP1_#004	Tu n'es pas qu'un simple soldat, n'est-ce pas ?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nスタルーク\nNon. Je suis Alcryst, second prince de Brodia.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nUn prince ?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlors c'est bien vous, Prince Alcryst !\nComment vous portez-vous ?\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0C\nスタルーク\nEncore pire que d'ordinaire. Je suis confus\nd'avoir mis si longtemps à me présenter.\x0E\x04\x02\x00
MID_OP1_#009	Ah, et voici mes vassales, Lapis et Citrinne.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x00\x10\nシトリニカ\x023\n\x0E\x03\x02\x0C\nシトリニカ\nC'est un honneur de vous rencontrer, vous\net vos suivants.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x00\x0C\x06ラピス\x023\n\x0E\x03\x02\x08\x06ラピス\nOui, bienvenue à Brodia.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nJe mentirais en prétendant me sentir bienvenu\x0E\x0A\x00\x06
MID_OP1_#013	\x0E\x03\x02\x0C\nスタルーク\nC'est seulement que nous sommes sur la brèche\nces temps-ci.\x0E\x04\x02\x00
MID_OP1_#014	Mon père, le roi Morion, a reçu une missive\nde la reine Ève nous informant de votre arrivée.\x0E\x04\x02\x00
MID_OP1_#015	Il nous a ordonné de vous attendre à la frontière\net de vous souhaiter officiellement la bienvenue.\x0E\x04\x02\x00
MID_OP1_#016	Nous avons longuement attendu, mais nous\navons surtout accueilli d'étranges créatures.\nOu encore des bandits.\x0E\x04\x02\x00
MID_OP1_#017	Nous vous avons pris pour un groupe\nd'assaillants de plus...\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nDésolés d'avoir été si longs. Nous avons dû\nnous fendre d'un petit détour.\x0E\x04\x02\x00
MID_OP1_#019	Quand bien même, si votre flèche avait touché\nSa Divinité, c'est la réputation de tout Brodia\nqui en aurait été ébranlée.\x0E\x04\x02\x00
MID_OP1_#020	Tâchez de faire plus attention à l'avenir,\nPrince Alcryst.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0C\nスタルーク\nC'est promis. Je suis on ne peut plus navré.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x01\x08\x06ラピス\n\x0E\x03\x00\x10\nシトリニカ\x023\n\x0E\x03\x02\x0C\nシトリニカ\nTu ne peux pas être tenu pour responsable,\nAlcryst. Tu ignorais qui ils étaient.\x0E\x04\x02\x00
MID_OP1_#023	N'était-il pas envisageable pour votre groupe\nde se présenter d'une façon plus royale et...\nplus cérémonieuse ?\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x00\x0C\x06ラピス\x023\n\x0E\x03\x02\x08\x06ラピス\nC'est le royaume des guerriers, ici. Si vous\nne pouvez même pas esquiver une flèche,\nvous n'êtes pas dignes d'entrer.\x0E\x04\x02\x00
MID_OP1_#025	Chez nous, le faible est au service du fort.\nPeut-être devrions-nous d'abord nous assurer\nde votre force.\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nPlaît-il ?\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x0C\nスタルーク\nCe n'est pas du tout ce qu'elle voulait dire !\nPardon... Ma nation a tendance à valoriser\nla force au-delà du raisonnable.\x0E\x04\x02\x00
MID_OP1_#028	D'ailleurs, vous n'avez rien à prouver. Nul n'est\nmieux renseigné que moi quant à vos prouesses\nsur le champ de bataille, Prince Alfred.\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh. Eh bien... Merci.\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x0C\nスタルーク\nJe suis navré. Absolument navré. Et de surcroît,\nje suis navré d'être celui qui vous accueille, au\nlieu d'une personne plus digne...\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x0A\x08リュール\nVous pouvez arrêter d'être navré.\nJe suis reconnaissant\x0E\x0A\x00\x06
MID_OP1_#032	\x0E\x03\x02\x0C\nスタルーク\nVraiment ? Vous êtes reconnaissant\x0E\x0A\x00\x06
MID_OP1_#033	\x0E\x03\x02\x0A\x08リュール\nOui. Je dirais même honoré\x0E\x0A\x00\x06
MID_OP1_#034	\x0E\x03\x02\x0C\nスタルーク\nAh, c'est fort courtois de votre part.\nJe vois que vos manières sont divines,\nelles aussi.\x0E\x04\x02\x00
MID_OP1_#035	Mais je vous en prie, gardez-vous d'avoir tant\nd'égards à mon endroit. Votre éclat ne fait que\nsouligner davantage ma fadeur...\x0E\x04\x00\x00\n
MID_OP1_#036	\x0E\x03\x02\x0A\x08リュール\nEuh... D'accord.\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x02\x0C\nスタルーク\nVenez, suivez-moi. Laissez-moi vous conduire\nau château de Brodia.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスタルーク\nNous approchons du Grand passage.\nAprès l'avoir franchi, nous serons au\nchâteau.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nEntendu.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0C\nスタルーク\nVotre Divinité, si je puis me permettre...\nJe voulais vous demander quelque chose\nau sujet de la missive de la reine Ève.\x0E\x04\x02\x00
MID_OP2_#004	Est-il exact qu'Elusia a libéré Sombron ?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nOui. Nous l'avons appris de la bouche même\nd'une unité elusienne que nous avons affrontée.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0C\nスタルーク\nJe vois.\x0E\x04\x02\x00
MID_OP2_#007	Des rumeurs similaires nous sont parvenues,\nmais je n'osais pas y croire.\x0E\x04\x02\x00
MID_OP2_#008	Je ne peux croire qu'ils se livrent à une telle\nvilenie. Vous aurez besoin de tous les anneaux\npour vaincre le Dragon déchu, n'est-ce pas ?\x0E\x04\x02\x00
MID_OP2_#009	Mon pays a l'Anneau du Jeune Lion en sa\npossession depuis des générations.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nL'Anneau du Jeune Lion...\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0C\nスタルーク\nIl est serti d'une pierre rouge et enveloppé\nd'une... aura de vaillance.\x0E\x04\x02\x00
MID_OP2_#012	Diamant, le prince héritier, a dit avoir\nrécemment entendu l'anneau parler\nde vive voix.\x0E\x04\x02\x00
MID_OP2_#013	C'est quelqu'un de remarquable. J'ai de\nla chance de l'avoir comme grand frère.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nOn dirait que vous l'aimez profondément.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0C\nスタルーク\nOh, oui. Il est puissant, sage, humble...\nLe roi, tout comme notre peuple, l'adorent.\x0E\x04\x02\x00
MID_OP2_#016	Quant à moi, je suis tout juste bon à ramasser\nles miettes de sa grandeur.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nNe soyez pas si dur avec vous-même.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0C\nスタルーク\nAh, nous y sommes. Le Grand passage.\x0E\x04\x02\x00
MID_OP2_#019	Il semble y avoir de très nombreuses troupes\naujourd'hui... Attendez, ce sont...\x0E\x04\x02\x00
MID_OP2_#020	Des soldats elusiens ! Ils ont pris possession\ndu pont !\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\nNon...\x0E\x04\x00\x00
MID_OP2C_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est pas trop tôt ! On vous a jamais dit qu'il\nétait mal élevé de faire attendre une princesse ?\x0E\x04\x00\x00
MID_OP2C_#002	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x10\nスタルーク\x024\n\x0E\x03\x02\x0C\nスタルーク\nUne princesse ?\x0E\x04\x00\x00
MID_OP2C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nEh oui, c'est moi, Hortensia,\nprincesse cadette d'Elusia !\x0E\x04\x00\x00
MID_OP2C_#003_2	\x0E\x03\x02\x0E\x0Cオルテンシア\nBien. Bonjour tout le monde !\x0E\x04\x00\x00
MID_OP2C_#004	\x0E\x03\x02\x0A\x08リュール\nPrincesse cadette... d'Elusia ?\x0E\x04\x00\x00
MID_OP2C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nHi hi ! En chair et en os ! Et vous,\nvous êtes le Dragon divin !\x0E\x04\x00\x00
MID_OP2C_#006	\x0E\x03\x02\x0A\x08リュール\nOui.\x0E\x04\x00\x00
MID_OP2C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'en étais sûre ! Je l'ai deviné parce que...\nvous êtes l\x0E\x0A\x00\x08\x02e\x02a plus mignon\x0E\x0A\x00\x08
MID_OP2C_#008	En fait, j'ai appris récemment que Lumera n'était\npas le seul Dragon divin. Ça m'a coupé le sifflet.\x0E\x04\x02\x00
MID_OP2C_#009	Ouah... Vous avez des yeux... fascinants.\x0E\x04\x00\x00
MID_OP2_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x12\x0Cオルテンシア\x023\n\x0E\x03\x02\x0C\nスタルーク\nNe vous approchez pas davantage.\x0E\x04\x02\x00
MID_OP2_2_#002	Les abjects Elusiens de votre espèce ne sont\npas dignes d'être en présence du Dragon divin !\x0E\x04\x00\x00
MID_OP2_2_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHmpf. Personne ne vous a sonné, le Brodien.\nEt puis, c'est pas nous qui sommes abjects.\nC'est vous !\x0E\x04\x00\x00
MID_OP2_2_#004	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_OP2_2_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nMon père dit toujours que Brodia est une\ncontrée de barbares ravagés par la cupidité.\x0E\x04\x02\x00
MID_OP2_2_#006	Vous n'arrêtez pas d'envahir notre territoire,\nde nous prendre nos terres. C'est du propre !\x0E\x04\x02\x00
MID_OP2_2_#007	Vous vous rendez compte du nombre de gens\nqui en souffrent ? Et je ne parle pas que des\nsoldats, mais aussi des gens ordinaires !\x0E\x04\x00\x00
MID_OP2_2_#008	\x0E\x03\x02\x0C\nスタルーク\nNos assauts n'ont pas lieu pour étendre\nnotre territoire.\x0E\x04\x02\x00
MID_OP2_2_#009	Nous cherchons à nous prémunir contre vos\nmanœuvres aussi imprévisibles que suspectes.\x0E\x04\x02\x00
MID_OP2_2_#010	En somme, vous ripostez ? Vous envahissez\nBrodia pour étancher votre soif de vengeance ?\x0E\x04\x00\x00
MID_OP2_2_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nHa ha ha ! Nan. On ne me confierait pas\nune attaque aussi ambitieuse.\x0E\x04\x02\x00
MID_OP2_2_#012	Je suis juste passée en coup de vent\npour piquer les anneaux. Ordre de mon\npère, le roi Hyacinth.\x0E\x04\x00\x00
MID_OP2_2_#013	\x0E\x03\x02\x0A\x08リュール\nIl vous a donné cet ordre ?\x0E\x04\x00\x00
MID_OP2_2_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nOuais. Alors si on en a fini avec la parlotte,\nenvoyez les anneaux, qu'on puisse tous\nrentrer sagement à la maison.\x0E\x04\x00\x00
MID_OP2_2_#015	\x0E\x03\x02\x0A\x08リュール\nJamais.\x0E\x04\x00\x00
MID_OP2_2_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh, la tuile. Je pensais que vous chiper vos\nanneaux serait de la tarte.\x0E\x04\x02\x00
MID_OP2_2_#017	Ma grande sœur a de la chance, elle doit\nattaquer le château à la place...\x0E\x04\x00\x00
MID_OP2_2_#018	\x0E\x03\x02\x0A\x08リュール\nLa princesse héritière ? Elle est en train de\nmarcher sur le château de Brodia ?\x0E\x04\x00\x00
MID_OP2_2_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nOups ! J'aurais peut-être dû me taire, moi...\x0E\x04\x00\x00
MID_OP2_2_#020	\x0E\x03\x02\x0C\nスタルーク\nNous devons partir sur-le-champ !\x0E\x04\x00\x00
MID_OP2_2_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh, comme si j'allais vous laisser passer !\nMon père sera tellement fier de moi !\x0E\x04\x02\x00
MID_OP2_2_#022	Soldats d'Elusia, à l'attaque ! Apportez-moi\nces anneaux !\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nスタルーク\x02b\n\x0E\x05\x01\x18\nスタルーク\nAngry\n\x0E\x03\x02\x0C\nスタルーク\nNous devons nous charger d'eux promptement\net retourner au château de Brodia. Il n'y a pas\nun instant à perdre.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x16\x06ラピス\x0CStrike\n\x0E\x03\x02\x08\x06ラピス\nEntendu, Prince Alcryst. Comptez sur nous !\x0E\x04\x00\x00
MID_EV1_#003	\x0E\x03\x01\x08\x06ラピス\n\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x18\nシトリニカ\nSmile\n\x0E\x03\x02\x0C\nシトリニカ\nJe gage que nous serons rentrés pour le dîner.\x0E\x04\x00\x00
MID_EV1_#004	\x0E\x05\x01\x18\nスタルーク\nSmile\n\x0E\x03\x02\x0C\nスタルーク\nJ'apprécie votre assurance. Mais je souhaite\néviter autant de morts que possible.\x0E\x04\x02\x00
MID_EV1_#005	\x0E\x05\x01\x1C\nスタルーク\x0EStandBy\nJe vous protégerai toutes les deux.\x0E\x04\x00\x00
MID_EV1_#006	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x1A\x06ラピス\x10Surprise\n\x0E\x03\x02\x08\x06ラピス\nVous êtes si courageux...\x0E\x04\x02\x00
MID_EV1_#007	\x0E\x05\x01\x10\x06ラピス\x06Sad\nMais, euh, en tant que vassales, c'est plutôt\nà NOUS de VOUS protéger.\x0E\x04\x00\x00
MID_EV1_#008	\x0E\x05\x01\x18\nスタルーク\nAngry\n\x0E\x03\x02\x0C\nスタルーク\nÀ présent, restez derrière moi.\x0E\x04\x00\x00
MID_EV1_#009	\x0E\x05\x01\x1A\x06ラピス\x10Surprise\n\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x08\x06ラピス\nHein ?!\x0E\x04\x00\x00
MID_EV1_#010	\x0E\x03\x00\x10\nシトリニカ\x02b\n\x0E\x05\x01\x18\nシトリニカ\nSmile\n\x0E\x03\x02\x0C\nシトリニカ\nHa ha ! Oh, Alcryst, ne sois pas ridicule.\nEn tant qu'archer, c'est à toi de te mettre\nen deuxième ligne.\x0E\x04\x00\x00
MID_EV1_#011	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x05\x01\x1A\x06ラピス\x10Surprise\n\x0E\x03\x02\x08\x06ラピス\nPas si vite, Citrinne ! Vous aussi, vous êtes\ncensée demeurer à l'arrière !\x0E\x04\x02\x00
MID_EV1_#012	\x0E\x05\x01\x12\x06ラピス\x08Pain\nVous deux, alors...\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nOn s'amuse bien tou\x0E\x0A\x00\x0C\x02s\x06tes les deux, pas vrai,\nDragon divin ? Moi oui, en tout cas.\x0E\x04\x02\x00
MID_EV2_#002	Alors j'espère que ça ne vous dérangera\npas... mais j'ai ramené une copine !\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nC'est un... Emblème !\x0E\x04\x02\x00
MID_EV3_#002	D'où vient-elle ? Je ne l'ai pas invoquée !\x0E\x04\x00\x00
MID_EV3_#003	\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nSurpris\x0E\x0A\x00\x06
MID_EV3_#004	Non, vous êtes pas l\x0E\x0A\x00\x08\x02e\x02a seul\x0E\x0A\x00\x06
MID_EV3_#005	Il s'appelle l'Anneau de la Sainte-Lignée.\nC'est un joli nom, pas vrai ?\x0E\x04\x00\x00
MID_EV3_#006	\x0E\x03\x02\x0A\x08リュール\nC'est un des anneaux que protégeait\nma mère ! Rendez-le-moi !\x0E\x04\x00\x00
MID_EV3_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nNan ! C'est l'anneau d'Elusia, dorénavant. Par\ncontre, si vous voulez y jeter un œil...\x0E\x04\x02\x00
MID_EV3_#008	Approchez-vous donc. Vous\npourrez le voir de plus près !\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x14\x06ラピス\nAngry\n\x0E\x03\x02\x08\x06ラピス\nPrince Alcryst, Citrinne, restez en arrière.\nJe m'en charge.\x0E\x04\x02\x00
MID_EV4_#002	Je ferai reculer quiconque se dressera\nsur notre route.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x16\x06ラピス\x0CStrike\n\x0E\x03\x02\x08\x06ラピス\nC'est notre chance de les vaincre !\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M007_ロサード\x02b\n\x0E\x05\x01 \x12M007_ロサード\nSmile\n\x0E\x03\x02\x14\x12M007_ロサード\nOn dirait que les choses se précisent.\nTout le monde à son poste.\x0E\x04\x00\x00
MID_EV6_#002	\x0E\x03\x00\x1C\x16M007_ゴルドマリー\x02t\n\x0E\x05\x01&\x16M007_ゴルドマリー\x0CNormal\n\x0E\x03\x02\x18\x16M007_ゴルドマリー\nOh ! Le Dragon divin est absolument...\x0E\x04\x00\x00
MID_EV6_#003	\x0E\x03\x02\x14\x12M007_ロサード\nAbsolument pas aussi magnifique que nous,\nc'est ça ?\x0E\x04\x00\x00
MID_EV6_#004	\x0E\x05\x01 \x16M007_ゴルドマリー\x06Sad\n\x0E\x03\x02\x18\x16M007_ゴルドマリー\nOui, exactement.\x0E\x04\x00\x00
MID_EV6_#005	\x0E\x03\x02\x14\x12M007_ロサード\nHé hé ! J'adore humilier les ennemis avant\nde les vaincre.\x0E\x04\x02\x00
MID_EV6_#006	\x0E\x05\x01 \x12M007_ロサード\nRelax\nAllez, faisons en sorte qu'Hortensia soit fière\nde nous et volons ces anneaux. Prête ?\x0E\x04\x00\x00
MID_EV6_#007	\x0E\x05\x01 \x16M007_ゴルドマリー\x06Sad\n\x0E\x03\x02\x18\x16M007_ゴルドマリー\nOui, Rosado. Débarrassons-nous vite d'eux.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x14\x06マルス\nAngry\n\x0E\x03\x02\x08\x06マルス\nCet Emblème est un redoutable adversaire.\x0E\x04\x00\x00
MID_EV7_#002	\x0E\x03\x02\x08\x06マルス\nLes ennemis proches peuvent même participer\nà ses attaques. Faisons preuve de prudence.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M007_オルテンシア\x02b\n\x0E\x05\x01$\x16M007_オルテンシア\nAngry\n\x0E\x03\x02\x18\x16M007_オルテンシア\nVous avez un Anneau d'Emblème ? Si oui, vous\navez intérêt à me le donner !\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nRendez-nous l'anneau.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x1C\x16M007_オルテンシア\x02b\n\x0E\x05\x01(\x16M007_オルテンシア\x0EStandBy\n\x0E\x03\x02\x18\x16M007_オルテンシア\nDans vos rêves. C'est moi qui suis\nvenue prendre les anneaux !\x0E\x04\x02\x00
MID_BT2_#003	\x0E\x05\x01$\x16M007_オルテンシア\nAngry\nÇa aurait pu être si simple, mais non, il a fallu\nque vous fassiez votre tête de mule !\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nC'est moi, la tête de mule ?\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M007_オルテンシア\x02b\n\x0E\x05\x01"\x16M007_オルテンシア\x08Pain\n\x0E\x03\x02\x18\x16M007_オルテンシア\nJ'ai perdu ? C'est pas juste !\x0E\x04\x02\x00
MID_BT3_#002	Mais vous aurez pas mon anneau !\nJe vais pas laisser tomber Père comme ça.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M007_ロサード\x02b\n\x0E\x03\x02\x14\x12M007_ロサード\nC'est votre jour de chance.\nM'affronter, c'est pas rien !\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M007_ロサード\x02b\n\x0E\x05\x01 \x12M007_ロサード\nSmile\n\x0E\x03\x02\x14\x12M007_ロサード\nOh, mais c'est le Dragon divin ! Alors je suis\nravi de vous rencontrer, mais j'aimerais autant\nque vous me donniez vos anneaux.\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nFigurez-vous que de mon côté, j'aimerais\nautant que vous baissiez les armes.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M007_ロサード\x02b\n\x0E\x05\x01\x1E\x12M007_ロサード\x08Pain\n\x0E\x03\x02\x14\x12M007_ロサード\nJe suis désolé, Hortensia. Je dois me retirer...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M007_ゴルドマリー\x02b\n\x0E\x05\x01$\x16M007_ゴルドマリー\nAngry\n\x0E\x03\x02\x18\x16M007_ゴルドマリー\nJe vais vous le demander poliment...\nVeuillez mourir maintenant.\x0E\x04\x00\x00
